Year,Start_Close,End_Close,Return,Market
2000,1455.219970703125,1320.280029296875,-9.27%,Sideways
2001,1283.27001953125,1148.0799560546875,-10.53%,Sideways
2002,1154.6700439453125,879.8200073242188,-23.80%,Bear
2003,909.030029296875,1111.9200439453125,22.32%,Bull
2004,1108.47998046875,1211.9200439453125,9.33%,Sideways
2005,1202.0799560546875,1248.2900390625,3.84%,Sideways
2006,1268.800048828125,1418.300048828125,11.78%,Sideways
2007,1416.5999755859375,1468.3599853515625,3.65%,Sideways
2008,1447.1600341796875,903.25,-37.58%,Bear
2009,931.7999877929688,1115.0999755859375,19.67%,Sideways
2010,1132.989990234375,1257.6400146484375,11.00%,Sideways
2011,1271.8699951171875,1257.5999755859375,-1.12%,Sideways
2012,1277.06005859375,1426.18994140625,11.68%,Sideways
2013,1462.4200439453125,1848.3599853515625,26.39%,Bull
2014,1831.97998046875,2058.89990234375,12.39%,Sideways
2015,2058.199951171875,2043.93994140625,-0.69%,Sideways
2016,2012.6600341796875,2238.830078125,11.24%,Sideways
2017,2257.830078125,2673.610107421875,18.42%,Sideways
2018,2695.81005859375,2506.85009765625,-7.01%,Sideways
2019,2510.030029296875,3230.780029296875,28.71%,Bull
2020,3257.85009765625,3756.070068359375,15.29%,Sideways
2021,3700.64990234375,4766.18017578125,28.79%,Bull
2022,4796.56005859375,3839.5,-19.95%,Sideways
2023,3824.139892578125,4769.830078125,24.73%,Bull
