Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,2.056,2.098,52.799,0.247,0.331,-54.508
Average,TSLA,2.056,2.098,52.799,0.247,0.331,-54.508
2022-10-05_2023-06-10,NFLX,77.367,79.437,39.688,1.594,2.780,-20.421
Average,NFLX,77.367,79.437,39.688,1.594,2.780,-20.421
2022-10-05_2023-06-10,AAPL,24.558,25.113,24.804,0.906,1.418,-19.508
Average,AAPL,24.558,25.113,24.804,0.906,1.418,-19.508
2022-10-05_2023-06-10,COIN,-23.761,-24.179,81.791,0.024,0.039,-54.402
Average,COIN,-23.761,-24.179,81.791,0.024,0.039,-54.402
2022-10-05_2023-06-10,NIO,-51.569,-52.275,65.220,-0.858,-1.290,-53.563
Average,NIO,-51.569,-52.275,65.220,-0.858,-1.290,-53.563
2022-10-05_2023-06-10,MSFT,32.629,33.389,27.671,1.071,1.657,-14.452
Average,MSFT,32.629,33.389,27.671,1.071,1.657,-14.452
2022-10-05_2023-06-10,GOOG,20.884,21.349,31.039,0.683,0.973,-20.278
Average,GOOG,20.884,21.349,31.039,0.683,0.973,-20.278
2022-10-05_2023-06-10,AMZN,2.193,2.238,34.643,0.150,0.218,-32.177
Average,AMZN,2.193,2.238,34.643,0.150,0.218,-32.177
Average,All,10.545,10.896,44.707,0.477,0.766,-33.664
