Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,-3.973,-6.715,33.133,-0.151,-0.172,-23.173
Average,TSLA,-3.973,-6.715,33.133,-0.151,-0.172,-23.173
2022-10-05_2023-06-10,NFLX,-8.393,-13.954,16.789,-0.855,-1.130,-18.545
Average,NFLX,-8.393,-13.954,16.789,-0.855,-1.130,-18.545
2022-10-05_2023-06-10,AAPL,21.054,38.756,15.679,1.423,3.710,-6.030
Average,AAPL,21.054,38.756,15.679,1.423,3.710,-6.030
2022-10-05_2023-06-10,COIN,1.286,2.215,70.622,0.232,0.518,-35.559
Average,COIN,1.286,2.215,70.622,0.232,0.518,-35.559
2022-10-05_2023-06-10,NIO,22.047,40.713,32.879,0.810,1.705,-17.976
Average,NIO,22.047,40.713,32.879,0.810,1.705,-17.976
2022-10-05_2023-06-10,MSFT,32.057,61.072,21.044,1.641,4.291,-8.746
Average,MSFT,32.057,61.072,21.044,1.641,4.291,-8.746
2022-10-05_2023-06-10,GOOG,8.497,15.005,23.996,0.382,0.818,-17.035
Average,GOOG,8.497,15.005,23.996,0.382,0.818,-17.035
2022-10-05_2023-06-10,AMZN,13.731,24.679,26.531,0.599,1.176,-18.910
Average,AMZN,13.731,24.679,26.531,0.599,1.176,-18.910
Average,All,10.788,20.222,30.084,0.510,1.365,-18.247
