Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,27.850,28.488,28.095,0.928,0.588,-11.642
Average,TSLA,27.850,28.488,28.095,0.928,0.588,-11.642
2022-10-05_2023-06-10,NFLX,18.942,19.361,16.225,0.987,1.061,-10.641
Average,NFLX,18.942,19.361,16.225,0.987,1.061,-10.641
2022-10-05_2023-06-10,AMZN,3.487,3.559,19.055,0.123,0.078,-14.892
Average,AMZN,3.487,3.559,19.055,0.123,0.078,-14.892
2022-10-05_2023-06-10,MSFT,7.744,7.906,13.664,0.407,0.338,-11.955
Average,MSFT,7.744,7.906,13.664,0.407,0.338,-11.955
2022-10-05_2023-06-10,COIN,-8.999,-9.173,48.691,-0.020,-0.016,-33.895
Average,COIN,-8.999,-9.173,48.691,-0.020,-0.016,-33.895
2022-10-05_2023-06-10,NIO,31.344,32.071,35.115,0.874,0.884,-17.995
Average,NIO,31.344,32.071,35.115,0.874,0.884,-17.995
2022-10-05_2023-06-10,GOOG,7.188,7.338,15.423,0.343,0.282,-13.519
Average,GOOG,7.188,7.338,15.423,0.343,0.282,-13.519
2022-10-05_2023-06-10,AAPL,3.337,3.406,14.479,0.098,0.070,-12.498
Average,AAPL,3.337,3.406,14.479,0.098,0.070,-12.498
Average,All,11.362,11.620,23.843,0.468,0.411,-15.880
