Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,32.058,61.073,33.785,1.104,2.054,-18.492
Average,TSLA,32.058,61.073,33.785,1.104,2.054,-18.492
2022-10-05_2023-06-10,NFLX,-9.479,-15.695,15.900,-1.009,-1.353,-18.531
Average,NFLX,-9.479,-15.695,15.900,-1.009,-1.353,-18.531
2022-10-05_2023-06-10,AAPL,25.257,47.116,16.312,1.648,4.146,-6.114
Average,AAPL,25.257,47.116,16.312,1.648,4.146,-6.114
2022-10-05_2023-06-10,COIN,-7.461,-12.447,74.254,0.087,0.216,-40.883
Average,COIN,-7.461,-12.447,74.254,0.087,0.216,-40.883
2022-10-05_2023-06-10,NIO,-9.412,-15.588,19.988,-0.771,-1.129,-18.732
Average,NIO,-9.412,-15.588,19.988,-0.771,-1.129,-18.732
2022-10-05_2023-06-10,MSFT,30.344,57.506,21.558,1.526,3.937,-8.883
Average,MSFT,30.344,57.506,21.558,1.526,3.937,-8.883
2022-10-05_2023-06-10,GOOG,13.659,24.543,24.154,0.635,1.291,-14.985
Average,GOOG,13.659,24.543,24.154,0.635,1.291,-14.985
2022-10-05_2023-06-10,AMZN,11.765,21.008,26.431,0.513,0.998,-21.030
Average,AMZN,11.765,21.008,26.431,0.513,0.998,-21.030
Average,All,10.841,20.939,29.048,0.467,1.270,-18.456
