Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,49.722,50.950,20.544,1.961,3.948,-6.823
Average,TSLA,49.722,50.950,20.544,1.961,3.948,-6.823
2022-10-05_2023-06-10,MSFT,0.644,0.657,8.672,-0.224,-0.378,-6.970
Average,MSFT,0.644,0.657,8.672,-0.224,-0.378,-6.970
2022-10-05_2023-06-10,NFLX,26.970,27.585,16.918,1.349,2.238,-12.548
Average,NFLX,26.970,27.585,16.918,1.349,2.238,-12.548
2022-10-05_2023-06-10,GOOG,59.155,60.659,16.246,2.818,5.772,-4.073
Average,GOOG,59.155,60.659,16.246,2.818,5.772,-4.073
2022-10-05_2023-06-10,AAPL,0.361,0.368,17.764,-0.059,-0.086,-16.512
Average,AAPL,0.361,0.368,17.764,-0.059,-0.086,-16.512
2022-10-05_2023-06-10,NIO,-21.999,-22.390,23.345,-1.094,-1.351,-31.205
Average,NIO,-21.999,-22.390,23.345,-1.094,-1.351,-31.205
2022-10-05_2023-06-10,AMZN,23.316,23.840,22.678,0.925,1.406,-18.694
Average,AMZN,23.316,23.840,22.678,0.925,1.406,-18.694
Average,All,19.738,20.239,18.024,0.811,1.650,-13.832
