Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,-19.142,-27.292,42.161,-0.595,-0.788,-39.599
Average,TSLA,-19.142,-27.292,42.161,-0.595,-0.788,-39.599
2022-10-06_2023-04-10,MSFT,12.979,20.087,15.005,1.036,2.060,-7.709
Average,MSFT,12.979,20.087,15.005,1.036,2.060,-7.709
2022-10-06_2023-04-10,NFLX,2.992,4.522,19.314,0.150,0.289,-12.231
Average,NFLX,2.992,4.522,19.314,0.150,0.289,-12.231
2022-10-06_2023-04-10,COIN,25.169,40.037,38.716,0.933,1.871,-22.906
Average,COIN,25.169,40.037,38.716,0.933,1.871,-22.906
2022-10-06_2023-04-10,AMZN,11.007,16.957,23.272,0.622,1.173,-15.842
Average,AMZN,11.007,16.957,23.272,0.622,1.173,-15.842
Average,All,6.601,10.862,27.694,0.430,0.921,-19.657
