Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,-24.747,-35.567,45.366,-0.769,-0.733,-44.655
Average,TSLA,-24.747,-35.567,45.366,-0.769,-0.733,-44.655
2022-10-06_2023-04-10,NFLX,-4.996,-7.618,16.754,-0.558,-0.458,-13.244
Average,NFLX,-4.996,-7.618,16.754,-0.558,-0.458,-13.244
2022-10-06_2023-04-10,AMZN,-7.105,-10.769,26.559,-0.402,-0.507,-20.615
Average,AMZN,-7.105,-10.769,26.559,-0.402,-0.507,-20.615
2022-10-06_2023-04-10,MSFT,31.619,52.921,18.243,2.115,2.656,-3.475
Average,MSFT,31.619,52.921,18.243,2.115,2.656,-3.475
2022-10-06_2023-04-10,COIN,-24.371,-35.069,43.904,-0.795,-0.759,-40.733
Average,COIN,-24.371,-35.069,43.904,-0.795,-0.759,-40.733
Average,All,-5.920,-7.220,30.165,-0.082,0.040,-24.545
