Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2022-10-06_2023-04-10,MSFT,11.972,25.155,34.672,0.738,1.187,-17.499
Average,MSFT,11.972,25.155,34.672,0.738,1.187,-17.499
2022-10-06_2023-04-10,NFLX,41.167,98.203,51.030,1.543,2.938,-20.417
Average,NFLX,41.167,98.203,51.030,1.543,2.938,-20.417
2022-10-06_2023-04-10,COIN,-8.605,-16.351,104.742,0.306,0.541,-55.827
Average,COIN,-8.605,-16.351,104.742,0.306,0.541,-55.827
2022-10-06_2023-04-10,AMZN,-3.819,-7.436,4.374,-2.444,0.000,-3.819
Average,AMZN,-3.819,-7.436,4.374,-2.444,0.000,-3.819
Average,All,8.143,19.914,38.964,0.029,0.933,-19.512
