Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,10.520,21.954,47.518,0.593,0.641,-30.144
Average,TSLA,10.520,21.954,47.518,0.593,0.641,-30.144
2022-10-06_2023-04-10,NFLX,-2.460,-4.822,3.476,-2.278,-0.287,-2.460
Average,NFLX,-2.460,-4.822,3.476,-2.278,-0.287,-2.460
2022-10-06_2023-04-10,AMZN,4.257,8.625,9.875,0.589,0.390,-2.746
Average,AMZN,4.257,8.625,9.875,0.589,0.390,-2.746
2022-10-06_2023-04-10,MSFT,-1.679,-3.304,28.246,-0.086,-0.100,-14.963
Average,MSFT,-1.679,-3.304,28.246,-0.086,-0.100,-14.963
2022-10-06_2023-04-10,COIN,-8.196,-15.607,11.582,-1.674,-0.211,-8.196
Average,COIN,-8.196,-15.607,11.582,-1.674,-0.211,-8.196
Average,All,0.488,1.369,20.139,-0.571,0.087,-11.702
