Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,10.710,22.371,53.156,0.587,0.872,-33.856
Average,TSLA,10.710,22.371,53.156,0.587,0.872,-33.856
2022-10-06_2023-04-10,NFLX,41.167,98.203,51.030,1.543,2.937,-20.417
Average,NFLX,41.167,98.203,51.030,1.543,2.937,-20.417
2022-10-06_2023-04-10,AMZN,-13.764,-25.460,40.316,-0.610,-0.871,-30.681
Average,AMZN,-13.764,-25.460,40.316,-0.610,-0.871,-30.681
2022-10-06_2023-04-10,MSFT,17.874,38.584,35.432,1.020,1.685,-14.519
Average,MSFT,17.874,38.584,35.432,1.020,1.685,-14.519
2022-10-06_2023-04-10,COIN,-3.953,-7.691,89.114,0.307,0.460,-45.462
Average,COIN,-3.953,-7.691,89.114,0.307,0.460,-45.462
Average,All,10.407,25.202,53.809,0.569,1.017,-28.987
