Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,-5.540,-16.066,38.602,-0.293,-0.487,-18.517
Average,TSLA,-5.540,-16.066,38.602,-0.293,-0.487,-18.517
2022-10-06_2023-04-10,MSFT,18.289,67.562,20.821,1.515,4.624,-8.746
Average,MSFT,18.289,67.562,20.821,1.515,4.624,-8.746
2022-10-06_2023-04-10,NFLX,-8.285,-23.341,20.477,-1.020,-1.590,-15.942
Average,NFLX,-8.285,-23.341,20.477,-1.020,-1.590,-15.942
2022-10-06_2023-04-10,COIN,15.215,54.534,90.853,0.566,1.487,-33.219
Average,COIN,15.215,54.534,90.853,0.566,1.487,-33.219
2022-10-06_2023-04-10,AMZN,-4.433,-13.009,27.084,-0.420,-0.658,-18.910
Average,AMZN,-4.433,-13.009,27.084,-0.420,-0.658,-18.910
Average,All,3.049,13.936,39.567,0.070,0.675,-19.067
