Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,3.639,5.073,31.042,0.219,0.302,-11.642
Average,TSLA,3.639,5.073,31.042,0.219,0.302,-11.642
2022-10-06_2023-04-10,MSFT,0.970,1.345,15.097,-0.034,-0.052,-11.955
Average,MSFT,0.970,1.345,15.097,-0.034,-0.052,-11.955
2022-10-06_2023-04-10,NFLX,8.383,11.791,17.194,0.559,1.070,-10.641
Average,NFLX,8.383,11.791,17.194,0.559,1.070,-10.641
2022-10-06_2023-04-10,COIN,21.242,30.565,49.357,0.713,1.362,-21.522
Average,COIN,21.242,30.565,49.357,0.713,1.362,-21.522
2022-10-06_2023-04-10,AMZN,0.039,0.053,20.722,-0.037,-0.049,-14.892
Average,AMZN,0.039,0.053,20.722,-0.037,-0.049,-14.892
Average,All,6.854,9.766,26.682,0.284,0.527,-14.130
