Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,3.741,11.948,42.062,0.215,0.576,-18.492
Average,TSLA,3.741,11.948,42.062,0.215,0.576,-18.492
2022-10-06_2023-04-10,MSFT,16.576,60.213,21.503,1.334,3.993,-8.883
Average,MSFT,16.576,60.213,21.503,1.334,3.993,-8.883
2022-10-06_2023-04-10,NFLX,-6.004,-17.327,19.826,-0.803,-1.214,-14.290
Average,NFLX,-6.004,-17.327,19.826,-0.803,-1.214,-14.290
2022-10-06_2023-04-10,COIN,12.655,44.225,94.180,0.517,1.381,-33.259
Average,COIN,12.655,44.225,94.180,0.517,1.381,-33.259
2022-10-06_2023-04-10,AMZN,-6.121,-17.644,26.831,-0.563,-0.902,-21.030
Average,AMZN,-6.121,-17.644,26.831,-0.563,-0.902,-21.030
Average,All,4.169,16.283,40.880,0.140,0.767,-19.191
