Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2020-01-01_2021-01-01,QRVO,-11.592,-8.176,24.014,-0.358,-0.461,-30.127
Average,QRVO,-11.592,-8.176,24.014,-0.358,-0.461,-30.127
2004-01-01_2005-01-01,AET,52.701,34.052,14.301,1.914,2.820,-12.676
Average,AET,52.701,34.052,14.301,1.914,2.820,-12.676
2022-01-01_2023-01-01,TSLA,-21.475,-15.528,33.385,-0.426,-0.544,-32.103
Average,TSLA,-21.475,-15.528,33.385,-0.426,-0.544,-32.103
2005-01-01_2006-01-01,AMD,15.269,10.428,21.253,0.435,0.524,-14.000
2010-01-01_2011-01-01,AMD,36.895,24.511,22.975,0.940,1.350,-16.611
Average,AMD,26.082,17.469,22.114,0.687,0.937,-15.305
2014-01-01_2015-01-01,DAL,28.793,19.203,15.327,1.029,1.725,-11.327
Average,DAL,28.793,19.203,15.327,1.029,1.725,-11.327
2015-01-01_2016-01-01,MNST,20.711,13.959,14.432,0.772,1.164,-12.980
Average,MNST,20.711,13.959,14.432,0.772,1.164,-12.980
2008-01-01_2009-01-01,RX,27.735,18.467,27.603,0.640,1.085,-28.035
Average,RX,27.735,18.467,27.603,0.640,1.085,-28.035
2011-01-01_2012-01-01,MWW,-47.322,-36.074,30.504,-1.408,-1.628,-56.708
Average,MWW,-47.322,-36.074,30.504,-1.408,-1.628,-56.708
2019-01-01_2020-01-01,NLSN,-23.551,-17.008,14.716,-1.394,-1.726,-26.501
Average,NLSN,-23.551,-17.008,14.716,-1.394,-1.726,-26.501
2020-01-01_2021-01-01,TGT,27.680,18.432,20.016,0.798,0.997,-24.778
Average,TGT,27.680,18.432,20.016,0.798,0.997,-24.778
2009-01-01_2010-01-01,APOL,-28.917,-21.097,24.975,-0.936,-1.031,-34.283
Average,APOL,-28.917,-21.097,24.975,-0.936,-1.031,-34.283
2019-01-01_2020-01-01,SBUX,22.744,15.289,8.998,1.297,1.857,-7.424
Average,SBUX,22.744,15.289,8.998,1.297,1.857,-7.424
2021-01-01_2022-01-01,GE,8.246,5.687,16.222,0.240,0.316,-11.724
Average,GE,8.246,5.687,16.222,0.240,0.316,-11.724
2005-01-01_2006-01-01,UVN,28.838,19.349,62.542,0.538,0.885,-44.605
Average,UVN,28.838,19.349,62.542,0.538,0.885,-44.605
2006-01-01_2007-01-01,CIEN,89.477,56.419,32.909,1.431,2.431,-19.134
2007-01-01_2008-01-01,CIEN,15.549,10.584,22.697,0.427,0.531,-15.534
Average,CIEN,52.513,33.502,27.803,0.929,1.481,-17.334
2017-01-01_2018-01-01,CFG,20.882,14.197,10.731,1.015,1.453,-6.870
Average,CFG,20.882,14.197,10.731,1.015,1.453,-6.870
2008-01-01_2009-01-01,CNX,-28.317,-20.585,59.017,-0.138,-0.169,-59.752
Average,CNX,-28.317,-20.585,59.017,-0.138,-0.169,-59.752
2005-01-01_2006-01-01,KMG,209.547,120.068,52.861,1.697,2.604,-16.562
Average,KMG,209.547,120.068,52.861,1.697,2.604,-16.562
2023-01-01_2024-01-01,APA,43.401,28.702,19.968,1.215,1.843,-15.938
Average,APA,43.401,28.702,19.968,1.215,1.843,-15.938
2012-01-01_2013-01-01,GWW,33.207,22.025,15.757,1.154,1.789,-6.639
Average,GWW,33.207,22.025,15.757,1.154,1.789,-6.639
2016-01-01_2017-01-01,ATVI,3.040,2.112,16.866,0.033,0.041,-17.022
Average,ATVI,3.040,2.112,16.866,0.033,0.041,-17.022
2006-01-01_2007-01-01,VIAV,19.544,13.310,27.704,0.481,0.755,-19.558
2007-01-01_2008-01-01,VIAV,8.303,5.710,18.119,0.232,0.377,-12.820
Average,VIAV,13.924,9.510,22.911,0.356,0.566,-16.189
2009-01-01_2010-01-01,XOM,6.300,4.333,12.996,0.163,0.239,-10.740
Average,XOM,6.300,4.333,12.996,0.163,0.239,-10.740
2022-01-01_2023-01-01,DVN,45.556,29.959,25.679,1.034,1.380,-17.490
Average,DVN,45.556,29.959,25.679,1.034,1.380,-17.490
2012-01-01_2013-01-01,FFIV,34.345,22.748,20.408,0.961,1.411,-8.107
Average,FFIV,34.345,22.748,20.408,0.961,1.411,-8.107
2017-01-01_2018-01-01,RF,3.854,2.682,9.503,0.014,0.021,-9.673
Average,RF,3.854,2.682,9.503,0.014,0.021,-9.673
2016-01-01_2017-01-01,CAM,-8.262,-8.262,15.334,-1.868,-2.462,-11.379
Average,CAM,-8.262,-8.262,15.334,-1.868,-2.462,-11.379
2018-01-01_2019-01-01,DHI,3.666,2.531,17.771,0.062,0.087,-13.644
Average,DHI,3.666,2.531,17.771,0.062,0.087,-13.644
2018-01-01_2019-01-01,ALGN,76.052,48.090,23.853,1.641,2.479,-17.623
2020-01-01_2021-01-01,ALGN,70.431,44.645,29.046,1.313,2.042,-28.385
2021-01-01_2022-01-01,ALGN,15.356,10.486,20.340,0.445,0.679,-17.296
Average,ALGN,53.946,34.407,24.413,1.133,1.733,-21.101
2008-01-01_2009-01-01,RIG,-17.133,-12.200,31.720,-0.341,-0.409,-46.648
Average,RIG,-17.133,-12.200,31.720,-0.341,-0.409,-46.648
2009-01-01_2010-01-01,FDO,19.690,13.289,18.414,0.607,0.964,-15.682
Average,FDO,19.690,13.289,18.414,0.607,0.964,-15.682
2005-01-01_2006-01-01,DALRQ,-29.928,-21.985,49.801,-0.308,-0.407,-56.145
Average,DALRQ,-29.928,-21.985,49.801,-0.308,-0.407,-56.145
2023-01-01_2024-01-01,RCL,81.917,52.024,21.394,1.926,3.128,-7.619
Average,RCL,81.917,52.024,21.394,1.926,3.128,-7.619
2013-01-01_2014-01-01,GME,144.544,86.039,22.615,2.727,5.803,-5.102
Average,GME,144.544,86.039,22.615,2.727,5.803,-5.102
2014-01-01_2015-01-01,FSLR,-10.991,-7.765,17.649,-0.537,-0.653,-15.700
2023-01-01_2024-01-01,FSLR,18.267,12.462,36.091,0.413,0.712,-22.177
Average,FSLR,3.638,2.349,26.870,-0.062,0.030,-18.938
2013-01-01_2014-01-01,DXC,26.081,17.455,12.161,1.140,1.761,-5.381
Average,DXC,26.081,17.455,12.161,1.140,1.761,-5.381
2017-01-01_2018-01-01,LNC,7.152,4.954,11.155,0.224,0.281,-13.734
Average,LNC,7.152,4.954,11.155,0.224,0.281,-13.734
2011-01-01_2012-01-01,JCP,3.446,2.393,18.508,0.060,0.083,-14.760
Average,JCP,3.446,2.393,18.508,0.060,0.083,-14.760
2014-01-01_2015-01-01,MU,18.012,12.184,14.785,0.651,1.011,-11.381
2018-01-01_2019-01-01,MU,39.053,25.718,28.765,0.836,1.190,-18.854
Average,MU,28.532,18.951,21.775,0.743,1.101,-15.118
2006-01-01_2007-01-01,A,11.018,7.591,14.363,0.375,0.506,-17.685
Average,A,11.018,7.591,14.363,0.375,0.506,-17.685
2018-01-01_2019-01-01,DLTR,-11.764,-8.321,18.939,-0.515,-0.529,-21.744
Average,DLTR,-11.764,-8.321,18.939,-0.515,-0.529,-21.744
2012-01-01_2013-01-01,HAR,67.031,42.781,19.252,1.792,3.076,-9.085
Average,HAR,67.031,42.781,19.252,1.792,3.076,-9.085
2015-01-01_2016-01-01,AABA,16.798,11.382,16.923,0.546,0.845,-14.975
Average,AABA,16.798,11.382,16.923,0.546,0.845,-14.975
2010-01-01_2011-01-01,CLF,11.090,7.618,29.511,0.294,0.442,-23.741
Average,CLF,11.090,7.618,29.511,0.294,0.442,-23.741
2015-01-01_2016-01-01,VRTX,55.655,35.957,25.139,1.230,1.771,-11.117
Average,VRTX,55.655,35.957,25.139,1.230,1.771,-11.117
2023-01-01_2024-01-01,SLB,0.175,0.123,18.969,-0.055,-0.071,-18.315
Average,SLB,0.175,0.123,18.969,-0.055,-0.071,-18.315
2015-01-01_2016-01-01,EW,12.738,8.679,15.628,0.420,0.643,-10.251
Average,EW,12.738,8.679,15.628,0.420,0.643,-10.251
2014-01-01_2015-01-01,NFLX,-5.189,-3.632,23.303,-0.162,-0.174,-24.334
Average,NFLX,-5.189,-3.632,23.303,-0.162,-0.174,-24.334
2011-01-01_2012-01-01,NVDA,-60.212,-47.447,27.111,-2.343,-2.914,-62.481
2016-01-01_2017-01-01,NVDA,-24.112,-17.519,16.270,-1.283,-1.530,-29.079
2017-01-01_2018-01-01,NVDA,75.604,48.311,20.502,1.882,2.708,-11.867
2022-01-01_2023-01-01,NVDA,32.192,21.509,37.574,0.624,1.031,-29.747
Average,NVDA,5.868,1.213,25.364,-0.280,-0.176,-33.294
2004-01-01_2005-01-01,ESRX,18.778,12.652,15.468,0.656,0.900,-7.618
2006-01-01_2007-01-01,ESRX,8.880,6.136,17.319,0.260,0.315,-16.088
Average,ESRX,13.829,9.394,16.394,0.458,0.607,-11.853
2018-01-01_2019-01-01,URI,27.152,18.147,19.624,0.798,1.012,-15.934
Average,URI,27.152,18.147,19.624,0.798,1.012,-15.934
2004-01-01_2005-01-01,NCR,52.848,34.142,17.327,1.611,2.419,-10.689
Average,NCR,52.848,34.142,17.327,1.611,2.419,-10.689
2007-01-01_2008-01-01,AMZN,19.785,13.391,24.180,0.511,1.038,-15.211
2010-01-01_2011-01-01,AMZN,18.402,12.515,23.252,0.495,0.730,-19.635
Average,AMZN,19.094,12.953,23.716,0.503,0.884,-17.423
2008-01-01_2009-01-01,DE,13.760,9.336,36.682,0.341,0.534,-42.532
Average,DE,13.760,9.336,36.682,0.341,0.534,-42.532
2009-01-01_2010-01-01,PBCT,14.196,9.653,17.434,0.445,0.628,-13.642
Average,PBCT,14.196,9.653,17.434,0.445,0.628,-13.642
2012-01-01_2013-01-01,PHM,78.534,49.537,26.421,1.542,2.410,-13.261
Average,PHM,78.534,49.537,26.421,1.542,2.410,-13.261
2016-01-01_2017-01-01,GAS,2.728,2.728,2.737,0.377,0.667,-1.194
Average,GAS,2.728,2.728,2.737,0.377,0.667,-1.194
2011-01-01_2012-01-01,KMX,1.808,1.259,19.445,0.010,0.014,-21.791
Average,KMX,1.808,1.259,19.445,0.010,0.014,-21.791
2019-01-01_2020-01-01,WBA,5.671,3.904,13.971,0.132,0.170,-9.515
Average,WBA,5.671,3.904,13.971,0.132,0.170,-9.515
2021-01-01_2022-01-01,FCX,62.173,40.145,25.509,1.334,2.200,-17.275
Average,FCX,62.173,40.145,25.509,1.334,2.200,-17.275
2022-01-01_2023-01-01,F,-15.589,-11.158,25.188,-0.461,-0.620,-28.503
Average,F,-15.589,-11.158,25.188,-0.461,-0.620,-28.503
2013-01-01_2014-01-01,THC,30.681,20.414,20.540,0.862,1.297,-10.470
Average,THC,30.681,20.414,20.540,0.862,1.297,-10.470
2019-01-01_2020-01-01,ULTA,41.703,27.377,17.079,1.329,1.901,-9.410
Average,ULTA,41.703,27.377,17.079,1.329,1.901,-9.410
2020-01-01_2021-01-01,STT,1.709,1.180,27.971,0.075,0.104,-26.094
Average,STT,1.709,1.180,27.971,0.075,0.104,-26.094
2014-01-01_2015-01-01,BIIB,34.922,23.113,19.413,1.015,1.552,-10.495
Average,BIIB,34.922,23.113,19.413,1.015,1.552,-10.495
2004-01-01_2005-01-01,CTX,2.814,1.940,19.058,0.040,0.058,-20.775
Average,CTX,2.814,1.940,19.058,0.040,0.058,-20.775
2012-01-01_2013-01-01,RHT,21.138,14.239,18.361,0.655,1.015,-8.826
2019-01-01_2020-01-01,RHT,4.211,4.211,2.891,0.984,1.621,-1.610
Average,RHT,12.675,9.225,10.626,0.819,1.318,-5.218
2013-01-01_2014-01-01,ANF,-31.313,-22.953,25.042,-1.022,-1.015,-41.364
