Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2019-01-01_2020-01-01,ULTA,-11.928,-8.763,26.291,-0.311,-0.326,-29.719
Average,ULTA,-11.928,-8.763,26.291,-0.311,-0.326,-29.719
2006-01-01_2007-01-01,VIAV,-9.666,-7.136,22.948,-0.339,-0.537,-22.338
2007-01-01_2008-01-01,VIAV,4.961,3.569,13.901,0.097,0.159,-16.087
Average,VIAV,-2.352,-1.784,18.424,-0.121,-0.189,-19.213
2012-01-01_2013-01-01,HAR,-12.466,-9.166,18.170,-0.596,-0.803,-24.070
Average,HAR,-12.466,-9.166,18.170,-0.596,-0.803,-24.070
2011-01-01_2012-01-01,MWW,-30.731,-23.406,44.361,-0.432,-0.532,-53.201
Average,MWW,-30.731,-23.406,44.361,-0.432,-0.532,-53.201
2009-01-01_2010-01-01,XOM,1.540,1.109,15.554,-0.048,-0.055,-17.224
Average,XOM,1.540,1.109,15.554,-0.048,-0.055,-17.224
2005-01-01_2006-01-01,AAPL,17.524,12.442,14.842,0.643,0.992,-8.279
2006-01-01_2007-01-01,AAPL,-2.015,-1.471,19.278,-0.140,-0.226,-25.458
2008-01-01_2009-01-01,AAPL,-24.092,-18.001,35.410,-0.460,-0.626,-39.090
Average,AAPL,-2.861,-2.343,23.177,0.015,0.047,-24.276
2014-01-01_2015-01-01,BIIB,13.495,9.571,16.237,0.445,0.669,-11.350
Average,BIIB,13.495,9.571,16.237,0.445,0.669,-11.350
2020-01-01_2021-01-01,TGT,-1.241,-0.895,22.488,-0.063,-0.081,-15.955
Average,TGT,-1.241,-0.895,22.488,-0.063,-0.081,-15.955
2021-01-01_2022-01-01,FCX,7.743,5.565,16.701,0.218,0.353,-13.947
Average,FCX,7.743,5.565,16.701,0.218,0.353,-13.947
2014-01-01_2015-01-01,MU,29.352,20.423,18.032,0.931,1.404,-15.759
2018-01-01_2019-01-01,MU,3.243,2.331,21.338,0.069,0.105,-22.781
Average,MU,16.298,11.377,19.685,0.500,0.754,-19.270
