Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2019-01-01_2020-01-01,ULTA,-12.626,-9.414,29.284,-0.265,-0.285,-33.155
Average,ULTA,-12.626,-9.414,29.284,-0.265,-0.285,-33.155
2006-01-01_2007-01-01,VIAV,-9.048,-6.769,30.839,-0.172,-0.252,-33.387
2007-01-01_2008-01-01,VIAV,13.584,9.810,14.889,0.479,0.787,-16.102
Average,VIAV,2.268,1.520,22.864,0.154,0.268,-24.744
2012-01-01_2013-01-01,HAR,4.297,3.130,10.588,0.047,0.091,-10.640
Average,HAR,4.297,3.130,10.588,0.047,0.091,-10.640
2011-01-01_2012-01-01,MWW,5.510,4.032,41.168,0.216,0.323,-43.098
Average,MWW,5.510,4.032,41.168,0.216,0.323,-43.098
2009-01-01_2010-01-01,XOM,18.069,12.939,8.019,1.136,2.099,-4.929
Average,XOM,18.069,12.939,8.019,1.136,2.099,-4.929
2005-01-01_2006-01-01,AAPL,-1.111,-0.820,17.330,-0.137,-0.170,-21.673
2006-01-01_2007-01-01,AAPL,-8.012,-5.985,17.104,-0.448,-0.747,-22.330
2008-01-01_2009-01-01,AAPL,-35.412,-27.335,35.544,-0.784,-1.019,-49.364
Average,AAPL,-14.845,-11.380,23.326,-0.456,-0.645,-31.122
2014-01-01_2015-01-01,BIIB,18.232,13.053,15.261,0.655,1.248,-7.419
Average,BIIB,18.232,13.053,15.261,0.655,1.248,-7.419
2020-01-01_2021-01-01,TGT,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TGT,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,FCX,2.495,1.832,20.499,0.037,0.069,-16.947
Average,FCX,2.495,1.832,20.499,0.037,0.069,-16.947
2014-01-01_2015-01-01,MU,18.830,13.472,14.167,0.721,1.330,-13.531
2018-01-01_2019-01-01,MU,-38.973,-30.357,27.973,-1.229,-1.519,-49.448
Average,MU,-10.072,-8.442,21.070,-0.254,-0.095,-31.490
2022-01-01_2023-01-01,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2013-01-01,PHM,73.021,49.424,25.049,1.556,3.362,-8.987
Average,PHM,73.021,49.424,25.049,1.556,3.362,-8.987
2013-01-01_2014-01-01,WHR,3.712,2.706,16.000,0.048,0.095,-13.745
Average,WHR,3.712,2.706,16.000,0.048,0.095,-13.745
2015-01-01_2016-01-01,EW,2.962,2.162,5.839,-0.137,-0.151,-5.404
Average,EW,2.962,2.162,5.839,-0.137,-0.151,-5.404
2012-01-01_2013-01-01,RHT,-6.129,-4.528,19.893,-0.283,-0.398,-14.437
2019-01-01_2020-01-01,RHT,0.864,0.864,1.556,-1.194,-1.559,-0.586
Average,RHT,-2.632,-1.832,10.724,-0.739,-0.978,-7.512
2011-01-01_2012-01-01,JCP,-3.254,-2.408,25.767,-0.088,-0.125,-32.890
Average,JCP,-3.254,-2.408,25.767,-0.088,-0.125,-32.890
2021-01-01_2022-01-01,TPR,27.689,19.735,22.647,0.749,1.146,-17.317
Average,TPR,27.689,19.735,22.647,0.749,1.146,-17.317
2008-01-01_2009-01-01,CNX,-34.684,-26.738,73.358,-0.093,-0.128,-67.866
Average,CNX,-34.684,-26.738,73.358,-0.093,-0.128,-67.866
2017-01-01_2018-01-01,KEY,19.945,14.385,9.098,1.147,2.561,-5.475
Average,KEY,19.945,14.385,9.098,1.147,2.561,-5.475
2019-01-01_2020-01-01,NLSN,-5.457,-4.027,12.058,-0.526,-0.683,-9.924
Average,NLSN,-5.457,-4.027,12.058,-0.526,-0.683,-9.924
2018-01-01_2019-01-01,URI,-24.037,-18.241,26.827,-0.710,-0.869,-38.207
Average,URI,-24.037,-18.241,26.827,-0.710,-0.869,-38.207
2008-01-01_2009-01-01,RX,-14.781,-11.026,354.996,0.595,2.987,-86.231
Average,RX,-14.781,-11.026,354.996,0.595,2.987,-86.231
2013-01-01_2014-01-01,DXC,0.397,0.290,14.815,-0.113,-0.122,-13.941
Average,DXC,0.397,0.290,14.815,-0.113,-0.122,-13.941
2007-01-01_2008-01-01,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2017-01-01,GAS,1.211,1.211,1.616,-0.780,-0.927,-0.984
Average,GAS,1.211,1.211,1.616,-0.780,-0.927,-0.984
2007-01-01_2008-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,AMZN,11.703,8.497,18.042,0.359,0.551,-18.722
Average,AMZN,5.851,4.248,9.021,0.179,0.276,-9.361
2009-01-01_2010-01-01,APOL,-1.233,-0.905,12.253,-0.261,-0.344,-14.860
Average,APOL,-1.233,-0.905,12.253,-0.261,-0.344,-14.860
2022-01-01_2023-01-01,TSLA,-24.505,-18.709,36.106,-0.466,-0.623,-44.149
Average,TSLA,-24.505,-18.709,36.106,-0.466,-0.623,-44.149
2021-01-01_2022-01-01,GM,-3.263,-2.414,16.740,-0.242,-0.309,-18.289
Average,GM,-3.263,-2.414,16.740,-0.242,-0.309,-18.289
2016-01-01_2017-01-01,ATVI,6.532,4.773,15.020,0.173,0.249,-14.628
Average,ATVI,6.532,4.773,15.020,0.173,0.249,-14.628
2004-01-01_2005-01-01,ESRX,3.396,2.469,14.576,0.025,0.052,-17.197
2006-01-01_2007-01-01,ESRX,-13.366,-10.060,17.956,-0.656,-0.836,-25.114
Average,ESRX,-4.985,-3.795,16.266,-0.315,-0.392,-21.155
2017-01-01_2018-01-01,CFG,21.196,15.265,12.699,0.910,1.580,-10.052
Average,CFG,21.196,15.265,12.699,0.910,1.580,-10.052
2020-01-01_2021-01-01,QRVO,8.036,5.808,37.511,0.247,0.387,-32.179
Average,QRVO,8.036,5.808,37.511,0.247,0.387,-32.179
2006-01-01_2007-01-01,CIEN,5.901,4.328,23.895,0.159,0.271,-27.320
2007-01-01_2008-01-01,CIEN,20.738,14.850,13.097,0.860,1.536,-8.712
Average,CIEN,13.320,9.589,18.496,0.509,0.903,-18.016
2007-01-01_2008-01-01,JNPR,2.397,1.756,13.145,-0.039,-0.039,-11.205
Average,JNPR,2.397,1.756,13.145,-0.039,-0.039,-11.205
2008-01-01_2009-01-01,DE,-38.748,-30.095,46.139,-0.595,-0.803,-55.069
Average,DE,-38.748,-30.095,46.139,-0.595,-0.803,-55.069
2004-01-01_2005-01-01,NOVL,5.755,4.172,22.522,0.149,0.266,-19.025
Average,NOVL,5.755,4.172,22.522,0.149,0.266,-19.025
2023-01-01_2024-01-01,RCL,-5.380,-4.005,19.043,-0.277,-0.389,-21.975
Average,RCL,-5.380,-4.005,19.043,-0.277,-0.389,-21.975
2015-01-01_2016-01-01,MNST,5.517,4.013,9.816,0.127,0.230,-12.159
Average,MNST,5.517,4.013,9.816,0.127,0.230,-12.159
2005-01-01_2006-01-01,UVN,-4.001,-2.964,25.115,-0.117,-0.166,-23.602
Average,UVN,-4.001,-2.964,25.115,-0.117,-0.166,-23.602
2023-01-01_2024-01-01,SLB,15.698,11.378,19.714,0.473,0.739,-19.574
Average,SLB,15.698,11.378,19.714,0.473,0.739,-19.574
2009-01-01_2010-01-01,PBCT,-0.439,-0.322,6.958,-0.449,-0.585,-6.273
Average,PBCT,-0.439,-0.322,6.958,-0.449,-0.585,-6.273
2014-01-01_2015-01-01,DAL,23.503,16.724,14.998,0.873,1.455,-18.034
