Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2005-01-01_2006-01-01,DALRQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DALRQ,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,A,0.000,0.000,0.000,0.000,0.000,-0.000
Average,A,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2009-01-01,CNX,-60.382,-60.237,105.999,-0.364,-0.524,-83.942
Average,CNX,-60.382,-60.237,105.999,-0.364,-0.524,-83.942
2022-01-01_2023-01-01,XLNX,1.791,15.000,59.593,0.526,0.943,-21.728
Average,XLNX,1.791,15.000,59.593,0.526,0.943,-21.728
2014-01-01_2015-01-01,BIIB,19.878,19.878,34.935,0.608,0.925,-24.528
Average,BIIB,19.878,19.878,34.935,0.608,0.925,-24.528
2022-01-01_2023-01-01,F,-46.608,-46.741,48.997,-1.104,-1.649,-56.526
Average,F,-46.608,-46.741,48.997,-1.104,-1.649,-56.526
2020-01-01_2021-01-01,STT,-9.891,-9.854,58.570,0.062,0.086,-47.883
Average,STT,-9.891,-9.854,58.570,0.062,0.086,-47.883
2017-01-01_2018-01-01,KEY,-12.430,-12.477,14.343,-1.066,-0.923,-17.821
Average,KEY,-12.430,-12.477,14.343,-1.066,-0.923,-17.821
2011-01-01_2012-01-01,MWW,-67.894,-67.894,67.477,-1.387,-1.816,-73.921
Average,MWW,-67.894,-67.894,67.477,-1.387,-1.816,-73.921
2020-01-01_2021-01-01,TGT,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TGT,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2012-01-01,KMX,9.446,9.446,11.203,0.596,0.375,-4.438
Average,KMX,9.446,9.446,11.203,0.596,0.375,-4.438
2009-01-01_2010-01-01,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,PBCT,-6.180,-6.180,32.011,-0.133,-0.200,-18.314
Average,PBCT,-6.180,-6.180,32.011,-0.133,-0.200,-18.314
2019-01-01_2020-01-01,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,APCC,0.850,7.365,2.006,3.110,5.420,-0.390
Average,APCC,0.850,7.365,2.006,3.110,5.420,-0.390
2021-01-01_2022-01-01,GE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GE,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2019-01-01,DLTR,-16.909,-16.971,35.676,-0.420,-0.400,-31.663
Average,DLTR,-16.909,-16.971,35.676,-0.420,-0.400,-31.663
2004-01-01_2005-01-01,ESRX,16.147,16.147,26.562,0.586,0.798,-25.477
2006-01-01_2007-01-01,ESRX,29.344,29.476,13.343,1.786,1.858,-5.349
Average,ESRX,22.746,22.812,19.953,1.186,1.328,-15.413
2020-01-01_2021-01-01,TIF,-1.800,-1.793,24.979,-0.069,-0.073,-17.221
Average,TIF,-1.800,-1.793,24.979,-0.069,-0.073,-17.221
2006-01-01_2007-01-01,VIAV,-3.680,-3.694,5.579,-1.187,-0.326,-6.455
2007-01-01_2008-01-01,VIAV,1.500,1.506,2.611,-0.561,-0.163,-1.049
Average,VIAV,-1.090,-1.094,4.095,-0.874,-0.244,-3.752
