Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-01-01_2023-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,F,0.000,0.000,0.000,0.000,0.000,-0.000
Average,F,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,NVDA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NVDA,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,All,0.000,0.000,0.000,0.000,0.000,-0.000
