Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2006-01-01_2007-01-01,A,0.000,0.000,0.000,0.000,0.000,-0.000
Average,A,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,AET,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AET,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2014-01-01,GME,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GME,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,GM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GM,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2020-01-01,WBA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WBA,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,QRVO,44.792,29.298,46.354,0.721,0.999,-40.705
Average,QRVO,44.792,29.298,46.354,0.721,0.999,-40.705
2022-01-01_2023-01-01,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2009-01-01,RX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RX,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2014-01-01,THC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,THC,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,NCR,76.213,48.185,21.635,1.786,2.831,-18.367
Average,NCR,76.213,48.185,21.635,1.786,2.831,-18.367
2015-01-01_2016-01-01,EW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,EW,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2018-01-01,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,PBCT,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PBCT,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,ESRX,17.063,11.557,21.995,0.472,0.636,-25.484
2006-01-01_2007-01-01,ESRX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ESRX,8.531,5.779,10.998,0.236,0.318,-12.742
2015-01-01_2016-01-01,MNST,32.634,21.726,25.505,0.778,1.200,-16.409
Average,MNST,32.634,21.726,25.505,0.778,1.200,-16.409
2007-01-01_2008-01-01,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2012-01-01,JCP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,JCP,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,NOVL,-36.384,-26.948,45.423,-0.530,-0.768,-58.180
Average,NOVL,-36.384,-26.948,45.423,-0.530,-0.768,-58.180
2016-01-01_2017-01-01,GAS,5.036,5.036,4.971,0.886,1.245,-1.298
Average,GAS,5.036,5.036,4.971,0.886,1.245,-1.298
2019-01-01_2020-01-01,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,STT,0.000,0.000,0.000,0.000,0.000,-0.000
Average,STT,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2019-01-01,URI,-41.228,-30.927,33.736,-1.010,-1.242,-49.366
Average,URI,-41.228,-30.927,33.736,-1.010,-1.242,-49.366
2021-01-01_2022-01-01,TPR,20.654,14.046,28.979,0.495,0.719,-22.395
Average,TPR,20.654,14.046,28.979,0.495,0.719,-22.395
2007-01-01_2008-01-01,JNPR,68.173,43.745,32.539,1.183,1.740,-23.983
Average,JNPR,68.173,43.745,32.539,1.183,1.740,-23.983
2005-01-01_2006-01-01,DALRQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DALRQ,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,TIF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TIF,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2017-01-01,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2016-01-01,AABA,-17.405,-12.464,11.091,-1.411,-1.839,-23.065
Average,AABA,-17.405,-12.464,11.091,-1.411,-1.839,-23.065
2004-01-01_2005-01-01,CTX,11.272,7.696,27.543,0.299,0.401,-28.583
Average,CTX,11.272,7.696,27.543,0.299,0.401,-28.583
2017-01-01_2018-01-01,LNC,15.933,10.936,16.774,0.525,0.710,-13.278
Average,LNC,15.933,10.936,16.774,0.525,0.710,-13.278
2013-01-01_2014-01-01,DXC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DXC,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,GE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GE,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2012-01-01,KMX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,KMX,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,FCX,42.519,28.148,42.123,0.726,1.138,-31.807
Average,FCX,42.519,28.148,42.123,0.726,1.138,-31.807
2014-01-01_2015-01-01,MU,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2019-01-01,MU,-29.966,-21.961,40.453,-0.483,-0.642,-53.575
Average,MU,-14.983,-10.980,20.227,-0.241,-0.321,-26.788
2011-01-01_2012-01-01,MWW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MWW,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,CIEN,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,CIEN,20.560,13.942,36.709,0.456,0.674,-30.190
Average,CIEN,10.280,6.971,18.355,0.228,0.337,-15.095
2023-01-01_2024-01-01,APA,-12.748,-9.129,30.543,-0.258,-0.338,-30.167
Average,APA,-12.748,-9.129,30.543,-0.258,-0.338,-30.167
2011-01-01_2012-01-01,NVDA,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2017-01-01,NVDA,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2018-01-01,NVDA,79.337,50.683,32.826,1.317,1.934,-19.722
2022-01-01_2023-01-01,NVDA,-48.983,-37.569,51.979,-0.703,-1.011,-60.669
Average,NVDA,7.589,3.278,21.201,0.154,0.231,-20.098
2005-01-01_2006-01-01,AAPL,80.202,51.019,29.295,1.450,1.996,-22.498
2006-01-01_2007-01-01,AAPL,12.669,8.734,29.877,0.327,0.355,-34.158
2008-01-01_2009-01-01,AAPL,-49.407,-37.687,44.574,-0.901,-1.154,-55.286
Average,AAPL,14.488,7.355,34.582,0.292,0.399,-37.314
2023-01-01_2024-01-01,RCL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RCL,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2013-01-01,FFIV,-4.700,-3.295,32.146,-0.036,-0.076,-39.522
Average,FFIV,-4.700,-3.295,32.146,-0.036,-0.076,-39.522
2016-01-01_2017-01-01,CAM,5.155,5.155,23.472,0.657,1.031,-8.799
Average,CAM,5.155,5.155,23.472,0.657,1.031,-8.799
2013-01-01_2014-01-01,WHR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WHR,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2016-01-01,LUV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LUV,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2013-01-01,PHM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PHM,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2017-01-01,ATVI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ATVI,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,F,-47.563,-36.357,36.490,-1.133,-1.465,-53.020
Average,F,-47.563,-36.357,36.490,-1.133,-1.465,-53.020
2019-01-01_2020-01-01,SBUX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SBUX,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2013-01-01,HAR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HAR,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2009-01-01,CNX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CNX,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,VIAV,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,VIAV,-22.485,-16.288,29.226,-0.562,-0.693,-29.499
Average,VIAV,-11.242,-8.144,14.613,-0.281,-0.347,-14.749
2017-01-01_2018-01-01,RF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RF,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2019-01-01,DHI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DHI,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2020-01-01,ULTA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ULTA,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2016-01-01,VRTX,4.731,3.270,32.809,0.171,0.246,-29.587
Average,VRTX,4.731,3.270,32.809,0.171,0.246,-29.587
2005-01-01_2006-01-01,AMD,50.371,33.050,37.192,0.888,0.911,-30.415
2010-01-01_2011-01-01,AMD,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMD,25.186,16.525,18.596,0.444,0.455,-15.207
2005-01-01_2006-01-01,UVN,135.939,82.373,63.364,1.200,2.174,-31.579
Average,UVN,135.939,82.373,63.364,1.200,2.174,-31.579
2022-01-01_2023-01-01,TSLA,-67.999,-54.958,53.220,-1.282,-1.656,-71.505
Average,TSLA,-67.999,-54.958,53.220,-1.282,-1.656,-71.505
2020-01-01_2021-01-01,TGT,43.722,28.634,30.652,0.876,1.158,-26.458
Average,TGT,43.722,28.634,30.652,0.876,1.158,-26.458
2012-01-01_2013-01-01,GWW,11.174,7.653,21.205,0.311,0.355,-18.973
Average,GWW,11.174,7.653,21.205,0.311,0.355,-18.973
2017-01-01_2018-01-01,KEY,12.036,8.305,18.297,0.365,0.535,-14.475
Average,KEY,12.036,8.305,18.297,0.365,0.535,-14.475
2018-01-01_2019-01-01,DLTR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DLTR,0.000,0.000,0.000,0.000,0.000,-0.000
2023-01-01_2024-01-01,GILD,-2.119,-1.492,16.857,-0.181,-0.239,-14.418
Average,GILD,-2.119,-1.492,16.857,-0.181,-0.239,-14.418
2014-01-01_2015-01-01,NFLX,-6.147,-4.321,35.080,-0.033,-0.029,-34.620
Average,NFLX,-6.147,-4.321,35.080,-0.033,-0.029,-34.620
2005-01-01_2006-01-01,KMG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,KMG,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,FDO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FDO,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2013-01-01,RHT,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2020-01-01,RHT,8.140,8.140,3.800,2.116,3.322,-1.403
Average,RHT,4.070,4.070,1.900,1.058,1.661,-0.702
2010-01-01_2011-01-01,CLF,60.229,39.097,46.383,0.878,1.243,-40.805
Average,CLF,60.229,39.097,46.383,0.878,1.243,-40.805
2008-01-01_2009-01-01,DE,-56.981,-44.322,52.716,-0.898,-1.194,-68.903
Average,DE,-56.981,-44.322,52.716,-0.898,-1.194,-68.903
2014-01-01_2015-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2023-01-01_2024-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2015-01-01,DAL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DAL,0.000,0.000,0.000,0.000,0.000,-0.000
2023-01-01_2024-01-01,SLB,3.751,2.618,27.502,0.123,0.178,-26.039
Average,SLB,3.751,2.618,27.502,0.123,0.178,-26.039
2008-01-01_2009-01-01,RIG,-67.329,-54.004,56.866,-1.125,-1.425,-73.529
Average,RIG,-67.329,-54.004,56.866,-1.125,-1.425,-73.529
2018-01-01_2019-01-01,ALGN,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,ALGN,89.664,55.949,58.094,0.989,1.551,-52.703
2021-01-01_2022-01-01,ALGN,24.609,16.650,31.639,0.549,0.850,-19.978
Average,ALGN,38.091,24.199,29.911,0.513,0.800,-24.227
2013-01-01_2014-01-01,ANF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ANF,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2012-01-01,MEE,13.919,13.919,30.381,0.810,0.957,-16.308
Average,MEE,13.919,13.919,30.381,0.810,0.957,-16.308
2010-01-01_2011-01-01,BDK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BDK,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,XOM,-12.700,-9.022,21.082,-0.483,-0.619,-22.873
Average,XOM,-12.700,-9.022,21.082,-0.483,-0.619,-22.873
2009-01-01_2010-01-01,APOL,-19.981,-14.373,38.305,-0.286,-0.331,-38.568
Average,APOL,-19.981,-14.373,38.305,-0.286,-0.331,-38.568
2014-01-01_2015-01-01,BIIB,21.177,14.307,29.766,0.496,0.762,-22.027
Average,BIIB,21.177,14.307,29.766,0.496,0.762,-22.027
Average,All,4.676,2.488,14.815,0.105,0.171,-14.452
