Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2005-01-01,AET,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AET,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,APCC,0.764,0.764,1.635,1.460,1.236,-0.388
Average,APCC,0.764,0.764,1.635,1.460,1.236,-0.388
2010-01-01_2011-01-01,CLF,60.229,39.097,46.383,0.878,1.243,-40.805
Average,CLF,60.229,39.097,46.383,0.878,1.243,-40.805
2005-01-01_2006-01-01,AAPL,24.547,16.609,9.377,1.367,1.902,-7.592
2006-01-01_2007-01-01,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2009-01-01,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AAPL,8.182,5.536,3.126,0.456,0.634,-2.531
2018-01-01_2019-01-01,ALGN,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,ALGN,89.664,55.949,58.094,0.989,1.551,-52.703
2021-01-01_2022-01-01,ALGN,24.609,16.650,31.639,0.549,0.850,-19.978
Average,ALGN,38.091,24.199,29.911,0.513,0.800,-24.227
2017-01-01_2018-01-01,KEY,12.036,8.305,18.297,0.365,0.535,-14.475
Average,KEY,12.036,8.305,18.297,0.365,0.535,-14.475
2014-01-01_2015-01-01,FSLR,-13.000,-9.239,22.777,-0.443,-0.590,-28.355
2023-01-01_2024-01-01,FSLR,17.451,11.953,45.061,0.399,0.710,-42.764
Average,FSLR,2.225,1.357,33.919,-0.022,0.060,-35.560
2008-01-01_2009-01-01,RX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RX,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2009-01-01,CNX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CNX,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2015-01-01,MU,65.693,42.123,31.019,1.190,1.732,-21.929
