Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2016-01-01_2017-01-01,CAM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CAM,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,CIEN,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,CIEN,18.879,12.831,37.316,0.428,0.633,-30.594
Average,CIEN,9.440,6.416,18.658,0.214,0.317,-15.297
2016-01-01_2017-01-01,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2016-01-01,MNST,32.634,21.726,25.505,0.778,1.200,-16.409
Average,MNST,32.634,21.726,25.505,0.778,1.200,-16.409
2018-01-01_2019-01-01,ALGN,-14.089,-10.031,38.264,-0.156,-0.183,-50.691
2020-01-01_2021-01-01,ALGN,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,ALGN,24.609,16.650,31.639,0.549,0.850,-19.978
Average,ALGN,3.507,2.206,23.301,0.131,0.222,-23.556
2023-01-01_2024-01-01,GILD,-1.942,-1.367,16.839,-0.174,-0.230,-14.404
Average,GILD,-1.942,-1.367,16.839,-0.174,-0.230,-14.404
2021-01-01_2022-01-01,TPR,18.260,12.457,27.500,0.455,0.661,-21.454
Average,TPR,18.260,12.457,27.500,0.455,0.661,-21.454
2007-01-01_2008-01-01,APCC,0.789,0.789,1.625,1.575,1.412,-0.388
Average,APCC,0.789,0.789,1.625,1.575,1.412,-0.388
2004-01-01_2005-01-01,AET,86.099,53.908,23.421,1.830,2.409,-17.898
Average,AET,86.099,53.908,23.421,1.830,2.409,-17.898
2008-01-01_2009-01-01,CNX,-59.077,-46.220,87.450,-0.299,-0.411,-83.633
Average,CNX,-59.077,-46.220,87.450,-0.299,-0.411,-83.633
2019-01-01_2020-01-01,ULTA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ULTA,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2018-01-01,RF,21.690,14.774,18.709,0.670,0.927,-15.820
Average,RF,21.690,14.774,18.709,0.670,0.927,-15.820
2012-01-01_2013-01-01,HAR,14.102,9.618,26.281,0.366,0.428,-29.923
Average,HAR,14.102,9.618,26.281,0.366,0.428,-29.923
2014-01-01_2015-01-01,NFLX,-6.147,-4.321,35.080,-0.033,-0.029,-34.620
Average,NFLX,-6.147,-4.321,35.080,-0.033,-0.029,-34.620
2022-01-01_2023-01-01,TSLA,-68.592,-55.544,54.177,-1.273,-1.644,-72.154
Average,TSLA,-68.592,-55.544,54.177,-1.273,-1.644,-72.154
2008-01-01_2009-01-01,RIG,-67.171,-53.849,56.698,-1.124,-1.424,-73.424
Average,RIG,-67.171,-53.849,56.698,-1.124,-1.424,-73.424
2019-01-01_2020-01-01,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,CLF,57.955,37.713,45.511,0.864,1.218,-40.337
Average,CLF,57.955,37.713,45.511,0.864,1.218,-40.337
2013-01-01_2014-01-01,ANF,-28.897,-21.133,30.333,-0.721,-0.756,-40.578
Average,ANF,-28.897,-21.133,30.333,-0.721,-0.756,-40.578
2008-01-01_2009-01-01,RX,-31.323,-22.961,346.476,0.555,2.451,-88.188
Average,RX,-31.323,-22.961,346.476,0.555,2.451,-88.188
