Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2009-01-01_2010-01-01,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AYE,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2006-01-01,AMD,50.371,33.050,37.192,0.888,0.911,-30.415
2010-01-01_2011-01-01,AMD,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMD,25.186,16.525,18.596,0.444,0.455,-15.207
2022-01-01_2023-01-01,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,XLNX,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2019-01-01,DHI,-32.725,-24.113,26.742,-1.008,-1.317,-36.939
Average,DHI,-32.725,-24.113,26.742,-1.008,-1.317,-36.939
2008-01-01_2009-01-01,DE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DE,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,CLF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CLF,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2016-01-01,LUV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LUV,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2019-01-01,ALGN,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,ALGN,89.664,55.949,58.094,0.989,1.551,-52.703
2021-01-01_2022-01-01,ALGN,24.609,16.650,31.639,0.549,0.850,-19.978
Average,ALGN,38.091,24.199,29.911,0.513,0.800,-24.227
2011-01-01_2012-01-01,MWW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MWW,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,FDO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FDO,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,XOM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,XOM,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,BDK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BDK,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2015-01-01,BIIB,21.177,14.307,29.766,0.496,0.762,-22.027
Average,BIIB,21.177,14.307,29.766,0.496,0.762,-22.027
2008-01-01_2009-01-01,CNX,-59.077,-46.220,87.450,-0.299,-0.411,-83.633
Average,CNX,-59.077,-46.220,87.450,-0.299,-0.411,-83.633
2019-01-01_2020-01-01,WBA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WBA,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2022-01-01,TPR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TPR,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,TGT,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TGT,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2006-01-01,KMG,16.808,11.488,56.040,0.419,0.631,-41.190
Average,KMG,16.808,11.488,56.040,0.419,0.631,-41.190
2004-01-01_2005-01-01,NOVL,-36.384,-26.948,45.423,-0.530,-0.768,-58.180
Average,NOVL,-36.384,-26.948,45.423,-0.530,-0.768,-58.180
2012-01-01_2013-01-01,FFIV,-4.700,-3.295,32.146,-0.036,-0.076,-39.522
Average,FFIV,-4.700,-3.295,32.146,-0.036,-0.076,-39.522
2022-01-01_2023-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,JNPR,68.173,43.745,32.539,1.183,1.740,-23.983
Average,JNPR,68.173,43.745,32.539,1.183,1.740,-23.983
2019-01-01_2020-01-01,SBUX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SBUX,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2018-01-01,RF,21.719,14.793,18.714,0.671,0.930,-15.817
Average,RF,21.719,14.793,18.714,0.671,0.930,-15.817
2016-01-01_2017-01-01,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ARG,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,PBCT,1.292,0.898,26.168,0.051,0.089,-17.438
Average,PBCT,1.292,0.898,26.168,0.051,0.089,-17.438
2020-01-01_2021-01-01,QRVO,44.792,29.298,46.354,0.721,0.999,-40.705
Average,QRVO,44.792,29.298,46.354,0.721,0.999,-40.705
2011-01-01_2012-01-01,KMX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,KMX,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,CTX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CTX,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,APCC,0.785,0.785,1.641,1.546,1.374,-0.390
Average,APCC,0.785,0.785,1.641,1.546,1.374,-0.390
2019-01-01_2020-01-01,ULTA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ULTA,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2014-01-01,WHR,49.031,32.015,27.300,1.042,1.621,-14.594
Average,WHR,49.031,32.015,27.300,1.042,1.621,-14.594
2023-01-01_2024-01-01,GILD,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GILD,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2017-01-01,GAS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GAS,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
