Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2012-01-01_2013-01-01,FFIV,-4.700,-3.295,32.146,-0.036,-0.076,-39.522
Average,FFIV,-4.700,-3.295,32.146,-0.036,-0.076,-39.522
2007-01-01_2008-01-01,JNPR,68.173,43.745,32.539,1.183,1.740,-23.983
Average,JNPR,68.173,43.745,32.539,1.183,1.740,-23.983
2009-01-01_2010-01-01,PBCT,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PBCT,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2015-01-01,NFLX,-6.147,-4.321,35.080,-0.033,-0.029,-34.620
Average,NFLX,-6.147,-4.321,35.080,-0.033,-0.029,-34.620
2020-01-01_2021-01-01,TIF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TIF,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,ESRX,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,ESRX,-18.779,-13.584,25.632,-0.555,-0.627,-36.184
Average,ESRX,-9.389,-6.792,12.816,-0.277,-0.314,-18.092
2007-01-01_2008-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2011-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2014-01-01,THC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,THC,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,VIAV,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2008-01-01,VIAV,-22.485,-16.288,29.226,-0.562,-0.693,-29.499
Average,VIAV,-11.242,-8.144,14.613,-0.281,-0.347,-14.749
2023-01-01_2024-01-01,SLB,3.751,2.618,27.502,0.123,0.178,-26.039
Average,SLB,3.751,2.618,27.502,0.123,0.178,-26.039
2018-01-01_2019-01-01,URI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,URI,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2007-01-01,A,0.000,0.000,0.000,0.000,0.000,-0.000
Average,A,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,APOL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,APOL,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2017-01-01,CAM,5.155,5.155,23.472,0.657,1.031,-8.799
Average,CAM,5.155,5.155,23.472,0.657,1.031,-8.799
2019-01-01_2020-01-01,ULTA,2.929,2.030,35.221,0.168,0.161,-38.099
Average,ULTA,2.929,2.030,35.221,0.168,0.161,-38.099
2014-01-01_2015-01-01,DAL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DAL,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2005-01-01,NOVL,-36.384,-26.948,45.423,-0.530,-0.768,-58.180
Average,NOVL,-36.384,-26.948,45.423,-0.530,-0.768,-58.180
2012-01-01_2013-01-01,GWW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GWW,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2014-01-01,ANF,-29.163,-21.339,30.430,-0.726,-0.765,-40.681
Average,ANF,-29.163,-21.339,30.430,-0.726,-0.765,-40.681
2015-01-01_2016-01-01,AABA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AABA,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2012-01-01,MWW,-68.131,-55.088,56.240,-1.185,-1.454,-73.968
Average,MWW,-68.131,-55.088,56.240,-1.185,-1.454,-73.968
2023-01-01_2024-01-01,APA,-12.748,-9.129,30.543,-0.258,-0.338,-30.167
Average,APA,-12.748,-9.129,30.543,-0.258,-0.338,-30.167
2005-01-01_2006-01-01,AMD,50.371,33.050,37.192,0.888,0.911,-30.415
2010-01-01_2011-01-01,AMD,-12.038,-8.587,36.897,-0.138,-0.190,-44.430
Average,AMD,19.167,12.232,37.044,0.375,0.360,-37.422
2023-01-01_2024-01-01,GILD,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GILD,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2010-01-01,XOM,-12.700,-9.022,21.082,-0.483,-0.619,-22.873
Average,XOM,-12.700,-9.022,21.082,-0.483,-0.619,-22.873
2012-01-01_2013-01-01,HAR,16.267,11.062,26.254,0.415,0.504,-29.834
Average,HAR,16.267,11.062,26.254,0.415,0.504,-29.834
2011-01-01_2012-01-01,JCP,10.720,7.389,34.057,0.289,0.465,-38.917
Average,JCP,10.720,7.389,34.057,0.289,0.465,-38.917
2014-01-01_2015-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2023-01-01_2024-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2020-01-01,NLSN,-10.192,-7.210,22.194,-0.358,-0.470,-26.103
Average,NLSN,-10.192,-7.210,22.194,-0.358,-0.470,-26.103
2019-01-01_2020-01-01,SBUX,41.928,27.602,15.580,1.449,2.138,-17.115
Average,SBUX,41.928,27.602,15.580,1.449,2.138,-17.115
2005-01-01_2006-01-01,UVN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,UVN,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,QRVO,44.792,29.298,46.354,0.721,0.999,-40.705
Average,QRVO,44.792,29.298,46.354,0.721,0.999,-40.705
2016-01-01_2017-01-01,ARG,3.855,3.855,2.392,1.821,2.536,-0.495
Average,ARG,3.855,3.855,2.392,1.821,2.536,-0.495
2017-01-01_2018-01-01,KEY,12.036,8.305,18.297,0.365,0.535,-14.475
Average,KEY,12.036,8.305,18.297,0.365,0.535,-14.475
2016-01-01_2017-01-01,GAS,5.036,5.036,4.971,0.886,1.245,-1.298
Average,GAS,5.036,5.036,4.971,0.886,1.245,-1.298
2005-01-01_2006-01-01,DALRQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DALRQ,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2021-01-01,STT,0.000,0.000,0.000,0.000,0.000,-0.000
