Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2006-01-01_2007-01-01,A,5.749,4.361,13.401,0.138,0.195,-15.225
Average,A,5.749,4.361,13.401,0.138,0.195,-15.225
2004-01-01_2005-01-01,AET,-20.795,-16.129,12.668,-1.513,-1.710,-31.266
Average,AET,-20.795,-16.129,12.668,-1.513,-1.710,-31.266
2013-01-01_2014-01-01,GME,68.215,48.226,26.867,1.416,2.085,-17.868
Average,GME,68.215,48.226,26.867,1.416,2.085,-17.868
2021-01-01_2022-01-01,GM,-3.173,-2.425,18.350,-0.210,-0.276,-15.683
Average,GM,-3.173,-2.425,18.350,-0.210,-0.276,-15.683
2019-01-01_2020-01-01,WBA,8.990,6.731,12.135,0.317,0.592,-10.470
Average,WBA,8.990,6.731,12.135,0.317,0.592,-10.470
2020-01-01_2021-01-01,QRVO,-20.968,-16.267,16.753,-1.118,-1.309,-27.694
Average,QRVO,-20.968,-16.267,16.753,-1.118,-1.309,-27.694
2022-01-01_2023-01-01,DVN,-9.706,-7.479,23.182,-0.343,-0.408,-24.497
Average,DVN,-9.706,-7.479,23.182,-0.343,-0.408,-24.497
2008-01-01_2009-01-01,RX,10.263,7.649,15.516,0.330,0.461,-10.612
Average,RX,10.263,7.649,15.516,0.330,0.461,-10.612
2013-01-01_2014-01-01,THC,-27.419,-21.535,18.609,-1.325,-1.746,-30.271
Average,THC,-27.419,-21.535,18.609,-1.325,-1.746,-30.271
2004-01-01_2005-01-01,NCR,-1.691,-1.278,12.068,-0.300,-0.308,-17.238
Average,NCR,-1.691,-1.278,12.068,-0.300,-0.308,-17.238
2015-01-01_2016-01-01,EW,31.015,22.683,16.561,1.074,1.790,-10.897
Average,EW,31.015,22.683,16.561,1.074,1.790,-10.897
2017-01-01_2018-01-01,CFG,-10.775,-8.338,11.283,-0.959,-1.234,-20.977
Average,CFG,-10.775,-8.338,11.283,-0.959,-1.234,-20.977
2009-01-01_2010-01-01,PBCT,-14.412,-11.110,13.776,-0.977,-1.271,-15.471
Average,PBCT,-14.412,-11.110,13.776,-0.977,-1.271,-15.471
2004-01-01_2005-01-01,ESRX,-11.738,-8.990,14.067,-0.794,-1.047,-15.601
2006-01-01_2007-01-01,ESRX,29.167,21.585,15.889,1.058,1.958,-9.135
Average,ESRX,8.715,6.297,14.978,0.132,0.455,-12.368
2015-01-01_2016-01-01,MNST,-2.341,-1.777,12.148,-0.338,-0.423,-14.857
Average,MNST,-2.341,-1.777,12.148,-0.338,-0.423,-14.857
2007-01-01_2008-01-01,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2012-01-01,JCP,1.860,1.413,18.095,-0.009,0.006,-14.226
Average,JCP,1.860,1.413,18.095,-0.009,0.006,-14.226
2004-01-01_2005-01-01,NOVL,28.740,20.998,29.893,0.650,0.925,-17.888
Average,NOVL,28.740,20.998,29.893,0.650,0.925,-17.888
2016-01-01_2017-01-01,GAS,-0.295,-0.295,1.677,-2.233,-2.928,-1.264
Average,GAS,-0.295,-0.295,1.677,-2.233,-2.928,-1.264
2019-01-01_2020-01-01,NLSN,-11.418,-8.767,13.588,-0.809,-0.997,-16.603
Average,NLSN,-11.418,-8.767,13.588,-0.809,-0.997,-16.603
2020-01-01_2021-01-01,STT,-2.329,-1.762,21.738,-0.116,-0.135,-16.630
Average,STT,-2.329,-1.762,21.738,-0.116,-0.135,-16.630
2018-01-01_2019-01-01,URI,15.596,11.592,22.600,0.434,0.767,-15.272
Average,URI,15.596,11.592,22.600,0.434,0.767,-15.272
2021-01-01_2022-01-01,TPR,17.740,13.239,19.203,0.550,0.805,-12.712
Average,TPR,17.740,13.239,19.203,0.550,0.805,-12.712
2007-01-01_2008-01-01,JNPR,80.033,56.250,24.642,1.725,2.857,-12.264
Average,JNPR,80.033,56.250,24.642,1.725,2.857,-12.264
2005-01-01_2006-01-01,DALRQ,-4.327,-3.311,26.141,-0.119,-0.150,-17.698
Average,DALRQ,-4.327,-3.311,26.141,-0.119,-0.150,-17.698
2020-01-01_2021-01-01,TIF,13.814,10.255,15.688,0.474,0.704,-12.339
Average,TIF,13.814,10.255,15.688,0.474,0.704,-12.339
2016-01-01_2017-01-01,ARG,-0.358,-0.358,0.481,-8.696,-8.266,-0.452
Average,ARG,-0.358,-0.358,0.481,-8.696,-8.266,-0.452
2015-01-01_2016-01-01,AABA,-17.927,-13.886,13.731,-1.202,-1.456,-18.831
Average,AABA,-17.927,-13.886,13.731,-1.202,-1.456,-18.831
2004-01-01_2005-01-01,CTX,-8.790,-6.706,16.589,-0.508,-0.611,-17.434
Average,CTX,-8.790,-6.706,16.589,-0.508,-0.611,-17.434
2017-01-01_2018-01-01,LNC,-7.012,-5.400,10.057,-0.788,-1.015,-14.638
Average,LNC,-7.012,-5.400,10.057,-0.788,-1.015,-14.638
2013-01-01_2014-01-01,DXC,-21.150,-16.458,9.995,-1.984,-2.521,-28.317
Average,DXC,-21.150,-16.458,9.995,-1.984,-2.521,-28.317
2021-01-01_2022-01-01,GE,-12.529,-9.689,17.708,-0.641,-0.879,-29.441
Average,GE,-12.529,-9.689,17.708,-0.641,-0.879,-29.441
2011-01-01_2012-01-01,KMX,-3.716,-2.842,20.096,-0.196,-0.260,-20.231
Average,KMX,-3.716,-2.842,20.096,-0.196,-0.260,-20.231
2021-01-01_2022-01-01,FCX,5.883,4.448,31.507,0.183,0.281,-27.783
Average,FCX,5.883,4.448,31.507,0.183,0.281,-27.783
2014-01-01_2015-01-01,MU,-24.392,-19.071,18.873,-1.147,-1.434,-31.228
2018-01-01_2019-01-01,MU,4.471,3.366,23.789,0.117,0.164,-30.902
Average,MU,-9.960,-7.853,21.331,-0.515,-0.635,-31.065
2011-01-01_2012-01-01,MWW,-20.213,-15.795,25.041,-0.660,-0.794,-27.885
