Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2017-01-01_2018-01-01,RF,0.518,0.394,10.884,-0.197,-0.259,-16.546
Average,RF,0.518,0.394,10.884,-0.197,-0.259,-16.546
2005-01-01_2006-01-01,AMD,25.984,19.163,19.531,0.796,1.121,-12.044
2010-01-01_2011-01-01,AMD,2.692,2.037,19.219,0.031,0.068,-22.122
Average,AMD,14.338,10.600,19.375,0.414,0.594,-17.083
2009-01-01_2010-01-01,AYE,134.862,90.447,140.712,0.756,15.905,-12.044
2010-01-01_2011-01-01,AYE,-0.069,-0.053,14.256,-0.152,-0.178,-10.320
Average,AYE,67.396,45.197,77.484,0.302,7.863,-11.182
2021-01-01_2022-01-01,FCX,-8.444,-6.477,23.103,-0.302,-0.442,-29.864
Average,FCX,-8.444,-6.477,23.103,-0.302,-0.442,-29.864
2016-01-01_2017-01-01,ATVI,19.525,14.497,15.698,0.705,1.246,-5.857
Average,ATVI,19.525,14.497,15.698,0.705,1.246,-5.857
2021-01-01_2022-01-01,GE,-11.456,-8.821,15.682,-0.686,-0.927,-28.552
Average,GE,-11.456,-8.821,15.682,-0.686,-0.927,-28.552
2004-01-01_2005-01-01,NCR,47.384,33.880,15.277,1.703,3.013,-9.735
Average,NCR,47.384,33.880,15.277,1.703,3.013,-9.735
2013-01-01_2014-01-01,WHR,-10.601,-8.107,13.939,-0.737,-1.026,-13.297
Average,WHR,-10.601,-8.107,13.939,-0.737,-1.026,-13.297
2015-01-01_2016-01-01,MNST,13.862,10.290,18.605,0.426,0.730,-12.682
Average,MNST,13.862,10.290,18.605,0.426,0.730,-12.682
2005-01-01_2006-01-01,DALRQ,-3.183,-2.426,19.812,-0.180,-0.257,-17.681
Average,DALRQ,-3.183,-2.426,19.812,-0.180,-0.257,-17.681
2023-01-01_2024-01-01,RCL,111.631,76.959,19.007,2.805,6.366,-11.078
Average,RCL,111.631,76.959,19.007,2.805,6.366,-11.078
2016-01-01_2017-01-01,CAM,-1.949,-1.949,15.147,-0.693,-0.921,-4.541
Average,CAM,-1.949,-1.949,15.147,-0.693,-0.921,-4.541
2011-01-01_2012-01-01,MEE,-5.353,-5.353,12.363,-1.100,-1.345,-9.665
Average,MEE,-5.353,-5.353,12.363,-1.100,-1.345,-9.665
2009-01-01_2010-01-01,FDO,-5.717,-4.344,17.084,-0.348,-0.460,-10.957
Average,FDO,-5.717,-4.344,17.084,-0.348,-0.460,-10.957
2005-01-01_2006-01-01,KMG,-35.710,-28.489,38.287,-0.734,-0.984,-43.738
Average,KMG,-35.710,-28.489,38.287,-0.734,-0.984,-43.738
2011-01-01_2012-01-01,MWW,3.739,2.825,19.511,0.072,0.122,-13.144
Average,MWW,3.739,2.825,19.511,0.072,0.122,-13.144
2017-01-01_2018-01-01,LNC,5.745,4.344,10.425,0.145,0.219,-8.912
Average,LNC,5.745,4.344,10.425,0.145,0.219,-8.912
2009-01-01_2010-01-01,XOM,-4.940,-3.750,9.605,-0.657,-0.892,-8.830
Average,XOM,-4.940,-3.750,9.605,-0.657,-0.892,-8.830
2007-01-01_2008-01-01,AMZN,79.202,55.496,35.711,1.255,3.497,-15.491
2010-01-01_2011-01-01,AMZN,43.380,31.456,18.202,1.358,2.326,-8.587
Average,AMZN,61.291,43.476,26.956,1.306,2.911,-12.039
2009-01-01_2010-01-01,APOL,-30.397,-23.921,24.415,-1.076,-1.260,-32.219
Average,APOL,-30.397,-23.921,24.415,-1.076,-1.260,-32.219
2014-01-01_2015-01-01,NFLX,19.315,14.253,12.729,0.822,1.548,-6.977
Average,NFLX,19.315,14.253,12.729,0.822,1.548,-6.977
2005-01-01_2006-01-01,AAPL,47.877,34.574,22.981,1.215,1.864,-20.519
2006-01-01_2007-01-01,AAPL,0.204,0.155,12.476,-0.176,-0.240,-11.892
2008-01-01_2009-01-01,AAPL,5.492,4.104,18.148,0.130,0.197,-25.413
Average,AAPL,17.857,12.944,17.869,0.389,0.607,-19.275
2014-01-01_2015-01-01,DAL,25.745,18.868,18.170,0.829,1.316,-14.320
Average,DAL,25.745,18.868,18.170,0.829,1.316,-14.320
2011-01-01_2012-01-01,JCP,12.490,9.345,16.520,0.411,0.635,-11.797
Average,JCP,12.490,9.345,16.520,0.411,0.635,-11.797
2007-01-01_2008-01-01,JNPR,53.505,38.309,25.228,1.230,2.015,-14.778
Average,JNPR,53.505,38.309,25.228,1.230,2.015,-14.778
2022-01-01_2023-01-01,TSLA,28.881,21.238,20.715,0.840,1.479,-15.550
Average,TSLA,28.881,21.238,20.715,0.840,1.479,-15.550
2013-01-01_2014-01-01,THC,-2.202,-1.666,13.230,-0.291,-0.348,-9.375
Average,THC,-2.202,-1.666,13.230,-0.291,-0.348,-9.375
2022-01-01_2023-01-01,F,26.498,19.532,15.206,0.994,1.777,-7.908
Average,F,26.498,19.532,15.206,0.994,1.777,-7.908
2018-01-01_2019-01-01,URI,-0.368,-0.277,11.700,-0.231,-0.314,-10.482
Average,URI,-0.368,-0.277,11.700,-0.231,-0.314,-10.482
2006-01-01_2007-01-01,CIEN,-31.424,-24.963,26.258,-1.041,-1.473,-47.575
2007-01-01_2008-01-01,CIEN,19.379,14.345,20.652,0.571,0.970,-14.429
Average,CIEN,-6.022,-5.309,23.455,-0.235,-0.252,-31.002
2016-01-01_2017-01-01,ARG,2.195,2.195,1.753,0.802,2.099,-0.372
Average,ARG,2.195,2.195,1.753,0.802,2.099,-0.372
2015-01-01_2016-01-01,VRTX,-18.873,-14.599,16.885,-0.998,-1.277,-27.472
Average,VRTX,-18.873,-14.599,16.885,-0.998,-1.277,-27.472
2004-01-01_2005-01-01,ESRX,1.414,1.062,12.868,-0.100,-0.116,-11.000
2006-01-01_2007-01-01,ESRX,6.679,5.045,11.752,0.195,0.323,-8.780
Average,ESRX,4.046,3.053,12.310,0.047,0.103,-9.890
2010-01-01_2011-01-01,BDK,5.730,5.730,14.200,2.044,7.658,-1.620
Average,BDK,5.730,5.730,14.200,2.044,7.658,-1.620
2012-01-01_2013-01-01,FFIV,-9.066,-6.919,14.960,-0.595,-0.773,-24.479
Average,FFIV,-9.066,-6.919,14.960,-0.595,-0.773,-24.479
2014-01-01_2015-01-01,BIIB,-7.101,-5.406,18.474,-0.369,-0.556,-20.050
Average,BIIB,-7.101,-5.406,18.474,-0.369,-0.556,-20.050
2017-01-01_2018-01-01,CFG,-1.786,-1.363,11.358,-0.333,-0.402,-11.770
Average,CFG,-1.786,-1.363,11.358,-0.333,-0.402,-11.770
2012-01-01_2013-01-01,RHT,2.843,2.137,23.310,0.060,0.139,-21.784
2019-01-01_2020-01-01,RHT,3.303,3.303,2.907,0.605,1.428,-1.873
Average,RHT,3.073,2.720,13.109,0.333,0.784,-11.829
2010-01-01_2011-01-01,CLF,16.987,12.647,26.365,0.442,0.668,-26.555
Average,CLF,16.987,12.647,26.365,0.442,0.668,-26.555
2021-01-01_2022-01-01,TPR,0.942,0.714,18.039,-0.048,-0.050,-22.538
Average,TPR,0.942,0.714,18.039,-0.048,-0.050,-22.538
2013-01-01_2014-01-01,DXC,-0.647,-0.489,16.380,-0.139,-0.177,-16.218
Average,DXC,-0.647,-0.489,16.380,-0.139,-0.177,-16.218
2008-01-01_2009-01-01,RIG,-3.307,-2.498,11.415,-0.429,-0.597,-11.994
Average,RIG,-3.307,-2.498,11.415,-0.429,-0.597,-11.994
2014-01-01_2015-01-01,MU,11.259,8.383,15.795,0.369,0.556,-15.413
2018-01-01_2019-01-01,MU,37.665,27.275,18.436,1.175,1.999,-10.777
Average,MU,24.462,17.829,17.116,0.772,1.278,-13.095
2020-01-01_2021-01-01,STT,-5.764,-4.368,20.112,-0.270,-0.353,-16.624
Average,STT,-5.764,-4.368,20.112,-0.270,-0.353,-16.624
2023-01-01_2024-01-01,APA,6.581,4.972,15.015,0.175,0.309,-13.563
Average,APA,6.581,4.972,15.015,0.175,0.309,-13.563
2008-01-01_2009-01-01,RX,2.093,1.571,12.082,-0.075,-0.086,-12.103
Average,RX,2.093,1.571,12.082,-0.075,-0.086,-12.103
2019-01-01_2020-01-01,WBA,6.919,5.177,11.195,0.210,0.385,-7.026
Average,WBA,6.919,5.177,11.195,0.210,0.385,-7.026
2021-01-01_2022-01-01,GM,3.034,2.295,17.048,0.027,0.072,-8.817
Average,GM,3.034,2.295,17.048,0.027,0.072,-8.817
2004-01-01_2005-01-01,CTX,24.249,17.742,13.737,0.981,1.608,-8.596
Average,CTX,24.249,17.742,13.737,0.981,1.608,-8.596
2023-01-01_2024-01-01,GILD,-16.693,-12.981,8.513,-1.887,-2.366,-20.185
Average,GILD,-16.693,-12.981,8.513,-1.887,-2.366,-20.185
2023-01-01_2024-01-01,SLB,7.207,5.441,12.590,0.217,0.418,-8.268
Average,SLB,7.207,5.441,12.590,0.217,0.418,-8.268
2013-01-01_2014-01-01,GME,63.925,45.194,24.946,1.428,2.536,-11.553
Average,GME,63.925,45.194,24.946,1.428,2.536,-11.553
2004-01-01_2005-01-01,AET,35.861,25.927,17.232,1.189,1.548,-16.912
Average,AET,35.861,25.927,17.232,1.189,1.548,-16.912
2020-01-01_2021-01-01,TIF,7.485,5.580,5.957,0.384,0.721,-3.948
Average,TIF,7.485,5.580,5.957,0.384,0.721,-3.948
2015-01-01_2016-01-01,LUV,12.803,9.516,14.929,0.449,0.652,-11.791
Average,LUV,12.803,9.516,14.929,0.449,0.652,-11.791
2022-01-01_2023-01-01,DVN,-2.447,-1.863,29.627,-0.020,-0.015,-22.728
Average,DVN,-2.447,-1.863,29.627,-0.020,-0.015,-22.728
2012-01-01_2013-01-01,PHM,7.936,5.931,27.518,0.220,0.348,-27.780
Average,PHM,7.936,5.931,27.518,0.220,0.348,-27.780
2012-01-01_2013-01-01,HAR,29.166,21.300,16.256,1.026,1.916,-14.951
Average,HAR,29.166,21.300,16.256,1.026,1.916,-14.951
2022-01-01_2023-01-01,XLNX,10.138,10.138,25.035,4.646,0.000,-0.000
Average,XLNX,10.138,10.138,25.035,4.646,0.000,-0.000
2004-01-01_2005-01-01,NOVL,-20.265,-15.663,16.699,-1.083,-1.493,-24.990
Average,NOVL,-20.265,-15.663,16.699,-1.083,-1.493,-24.990
2019-01-01_2020-01-01,ULTA,2.164,1.628,15.046,-0.031,-0.023,-17.029
Average,ULTA,2.164,1.628,15.046,-0.031,-0.023,-17.029
2020-01-01_2021-01-01,TGT,24.544,17.952,16.594,0.846,1.676,-8.876
Average,TGT,24.544,17.952,16.594,0.846,1.676,-8.876
2016-01-01_2017-01-01,GAS,2.547,2.547,3.549,0.243,0.610,-1.181
Average,GAS,2.547,2.547,3.549,0.243,0.610,-1.181
2011-01-01_2012-01-01,KMX,-16.365,-12.685,17.625,-0.827,-1.018,-24.393
Average,KMX,-16.365,-12.685,17.625,-0.827,-1.018,-24.393
2005-01-01_2006-01-01,UVN,13.908,10.389,49.708,0.355,0.665,-34.999
Average,UVN,13.908,10.389,49.708,0.355,0.665,-34.999
2009-01-01_2010-01-01,PBCT,-13.860,-10.647,16.524,-0.761,-0.993,-20.388
Average,PBCT,-13.860,-10.647,16.524,-0.761,-0.993,-20.388
2006-01-01_2007-01-01,VIAV,12.972,9.731,23.811,0.359,0.566,-14.294
2007-01-01_2008-01-01,VIAV,-13.071,-10.058,16.772,-0.707,-0.824,-21.201
Average,VIAV,-0.049,-0.164,20.292,-0.174,-0.129,-17.748
2018-01-01_2019-01-01,ALGN,1.500,1.130,15.356,-0.056,-0.050,-13.737
2020-01-01_2021-01-01,ALGN,66.576,46.793,39.183,1.030,2.438,-18.770
2021-01-01_2022-01-01,ALGN,-12.131,-9.350,13.959,-0.829,-1.107,-12.520
Average,ALGN,18.648,12.858,22.833,0.048,0.427,-15.009
2018-01-01_2019-01-01,DLTR,-21.252,-16.495,16.098,-1.183,-1.232,-24.562
Average,DLTR,-21.252,-16.495,16.098,-1.183,-1.232,-24.562
2020-01-01_2021-01-01,QRVO,42.610,30.604,24.938,1.022,1.647,-12.925
Average,QRVO,42.610,30.604,24.938,1.022,1.647,-12.925
2018-01-01_2019-01-01,DHI,-14.906,-11.466,10.308,-1.383,-1.743,-16.359
Average,DHI,-14.906,-11.466,10.308,-1.383,-1.743,-16.359
2008-01-01_2009-01-01,DE,-24.511,-19.064,19.896,-1.078,-1.317,-34.994
Average,DE,-24.511,-19.064,19.896,-1.078,-1.317,-34.994
2017-01-01_2018-01-01,KEY,6.098,4.610,9.505,0.175,0.316,-7.059
Average,KEY,6.098,4.610,9.505,0.175,0.316,-7.059
2013-01-01_2014-01-01,ANF,-20.443,-15.849,17.123,-1.061,-1.197,-24.313
Average,ANF,-20.443,-15.849,17.123,-1.061,-1.197,-24.313
2019-01-01_2020-01-01,NLSN,-8.595,-6.556,13.033,-0.672,-0.791,-15.195
Average,NLSN,-8.595,-6.556,13.033,-0.672,-0.791,-15.195
2012-01-01_2013-01-01,GWW,-5.877,-4.467,11.916,-0.570,-0.762,-16.280
Average,GWW,-5.877,-4.467,11.916,-0.570,-0.762,-16.280
2007-01-01_2008-01-01,APCC,0.201,0.201,1.300,-2.966,0.000,-0.000
Average,APCC,0.201,0.201,1.300,-2.966,0.000,-0.000
2008-01-01_2009-01-01,CNX,-10.214,-7.785,31.897,-0.184,-0.231,-31.923
Average,CNX,-10.214,-7.785,31.897,-0.184,-0.231,-31.923
2011-01-01_2012-01-01,NVDA,-42.575,-34.363,21.369,-1.927,-2.252,-42.730
2016-01-01_2017-01-01,NVDA,98.994,68.589,23.246,2.133,3.403,-12.932
2017-01-01_2018-01-01,NVDA,18.410,13.729,21.214,0.538,0.778,-11.969
2022-01-01_2023-01-01,NVDA,22.408,16.587,24.593,0.587,1.105,-19.039
Average,NVDA,24.309,16.136,22.605,0.333,0.758,-21.668
2014-01-01_2015-01-01,FSLR,-6.854,-5.216,20.487,-0.303,-0.407,-15.660
2023-01-01_2024-01-01,FSLR,-10.857,-8.378,21.702,-0.427,-0.635,-22.804
Average,FSLR,-8.856,-6.797,21.095,-0.365,-0.521,-19.232
2015-01-01_2016-01-01,EW,18.795,13.876,14.532,0.714,1.261,-7.464
Average,EW,18.795,13.876,14.532,0.714,1.261,-7.464
2015-01-01_2016-01-01,AABA,-14.072,-10.812,10.467,-1.293,-1.609,-17.035
Average,AABA,-14.072,-10.812,10.467,-1.293,-1.609,-17.035
2019-01-01_2020-01-01,SBUX,26.767,19.596,11.554,1.272,2.423,-8.851
Average,SBUX,26.767,19.596,11.554,1.272,2.423,-8.851
2006-01-01_2007-01-01,A,5.531,4.184,12.422,0.127,0.200,-11.664
Average,A,5.531,4.184,12.422,0.127,0.200,-11.664
Average,All,9.250,6.380,18.696,0.119,0.531,-15.726
