Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2015-01-01_2016-01-01,VRTX,-8.902,-6.268,18.745,-0.410,-0.563,-22.450
Average,VRTX,-8.902,-6.268,18.745,-0.410,-0.563,-22.450
2006-01-01_2007-01-01,A,14.655,10.046,10.079,0.706,1.084,-6.863
Average,A,14.655,10.046,10.079,0.706,1.084,-6.863
2013-01-01_2014-01-01,DXC,22.092,14.863,11.532,1.001,1.823,-5.900
Average,DXC,22.092,14.863,11.532,1.001,1.823,-5.900
2021-01-01_2022-01-01,TPR,10.547,7.250,16.174,0.330,0.502,-14.765
Average,TPR,10.547,7.250,16.174,0.330,0.502,-14.765
2019-01-01_2020-01-01,NLSN,-0.988,-0.687,11.347,-0.266,-0.391,-11.107
Average,NLSN,-0.988,-0.687,11.347,-0.266,-0.391,-11.107
2013-01-01_2014-01-01,GME,57.049,36.801,18.185,1.650,3.344,-11.364
Average,GME,57.049,36.801,18.185,1.650,3.344,-11.364
2010-01-01_2011-01-01,CLF,17.809,12.121,25.096,0.464,0.638,-36.606
Average,CLF,17.809,12.121,25.096,0.464,0.638,-36.606
2005-01-01_2006-01-01,UVN,23.339,15.769,40.096,0.486,0.834,-31.984
Average,UVN,23.339,15.769,40.096,0.486,0.834,-31.984
2016-01-01_2017-01-01,ARG,1.366,1.366,1.266,-0.269,-0.612,-0.217
Average,ARG,1.366,1.366,1.266,-0.269,-0.612,-0.217
2018-01-01_2019-01-01,DHI,-10.669,-7.534,12.738,-0.784,-1.049,-18.850
Average,DHI,-10.669,-7.534,12.738,-0.784,-1.049,-18.850
2022-01-01_2023-01-01,DVN,28.681,19.247,24.363,0.723,1.077,-24.637
Average,DVN,28.681,19.247,24.363,0.723,1.077,-24.637
2022-01-01_2023-01-01,TSLA,3.257,2.262,24.468,0.092,0.134,-27.500
Average,TSLA,3.257,2.262,24.468,0.092,0.134,-27.500
2004-01-01_2005-01-01,AET,33.569,22.187,10.979,1.610,3.140,-7.566
Average,AET,33.569,22.187,10.979,1.610,3.140,-7.566
2008-01-01_2009-01-01,RIG,-23.412,-16.861,26.461,-0.675,-0.859,-36.227
Average,RIG,-23.412,-16.861,26.461,-0.675,-0.859,-36.227
2017-01-01_2018-01-01,LNC,10.064,6.943,8.406,0.488,0.776,-4.602
Average,LNC,10.064,6.943,8.406,0.488,0.776,-4.602
2006-01-01_2007-01-01,VIAV,-17.123,-12.319,24.765,-0.528,-0.761,-31.548
2007-01-01_2008-01-01,VIAV,-11.901,-8.443,18.103,-0.557,-0.665,-30.813
Average,VIAV,-14.512,-10.381,21.434,-0.543,-0.713,-31.181
2017-01-01_2018-01-01,RF,11.885,8.178,9.993,0.540,0.892,-5.721
Average,RF,11.885,8.178,9.993,0.540,0.892,-5.721
2011-01-01_2012-01-01,JCP,-22.339,-16.179,14.904,-1.308,-1.739,-33.392
Average,JCP,-22.339,-16.179,14.904,-1.308,-1.739,-33.392
2016-01-01_2017-01-01,CAM,5.428,5.428,9.873,1.411,2.426,-3.579
Average,CAM,5.428,5.428,9.873,1.411,2.426,-3.579
2022-01-01_2023-01-01,XLNX,17.371,17.371,27.231,4.028,16.414,-2.347
Average,XLNX,17.371,17.371,27.231,4.028,16.414,-2.347
2011-01-01_2012-01-01,NVDA,-30.436,-22.380,20.701,-1.263,-1.723,-38.802
2016-01-01_2017-01-01,NVDA,-13.573,-9.681,14.004,-0.868,-1.055,-18.988
2017-01-01_2018-01-01,NVDA,-7.306,-5.172,15.084,-0.472,-0.576,-16.997
2022-01-01_2023-01-01,NVDA,0.394,0.275,22.685,-0.006,-0.008,-27.754
Average,NVDA,-12.730,-9.240,18.118,-0.652,-0.841,-25.635
2004-01-01_2005-01-01,NCR,22.289,14.947,13.318,0.890,1.259,-13.569
Average,NCR,22.289,14.947,13.318,0.890,1.259,-13.569
2005-01-01_2006-01-01,AAPL,3.121,2.168,14.962,0.020,0.030,-17.868
2006-01-01_2007-01-01,AAPL,3.749,2.610,17.339,0.063,0.105,-13.430
2008-01-01_2009-01-01,AAPL,4.857,3.338,25.426,0.144,0.183,-28.737
Average,AAPL,3.909,2.705,19.242,0.075,0.106,-20.011
2023-01-01_2024-01-01,SLB,-0.953,-0.668,14.705,-0.174,-0.226,-13.074
Average,SLB,-0.953,-0.668,14.705,-0.174,-0.226,-13.074
2006-01-01_2007-01-01,CIEN,-2.921,-2.053,23.746,-0.096,-0.148,-18.935
2007-01-01_2008-01-01,CIEN,25.055,16.841,24.700,0.630,1.053,-22.647
Average,CIEN,11.067,7.394,24.223,0.267,0.453,-20.791
2004-01-01_2005-01-01,ESRX,4.072,2.802,13.257,0.052,0.068,-20.740
2006-01-01_2007-01-01,ESRX,-8.987,-6.379,10.661,-0.843,-1.069,-18.578
Average,ESRX,-2.458,-1.789,11.959,-0.395,-0.501,-19.659
2011-01-01_2012-01-01,KMX,-0.913,-0.638,15.933,-0.146,-0.190,-20.161
Average,KMX,-0.913,-0.638,15.933,-0.146,-0.190,-20.161
2013-01-01_2014-01-01,ANF,13.603,9.258,12.112,0.547,0.847,-7.776
Average,ANF,13.603,9.258,12.112,0.547,0.847,-7.776
2012-01-01_2013-01-01,PHM,6.344,4.363,21.737,0.169,0.240,-27.287
Average,PHM,6.344,4.363,21.737,0.169,0.240,-27.287
2019-01-01_2020-01-01,WBA,-13.925,-9.886,14.718,-0.832,-0.902,-23.272
Average,WBA,-13.925,-9.886,14.718,-0.832,-0.902,-23.272
2023-01-01_2024-01-01,GILD,6.492,4.501,8.511,0.211,0.322,-8.802
Average,GILD,6.492,4.501,8.511,0.211,0.322,-8.802
2012-01-01_2013-01-01,FFIV,-5.825,-4.081,14.694,-0.412,-0.542,-16.406
Average,FFIV,-5.825,-4.081,14.694,-0.412,-0.542,-16.406
2012-01-01_2013-01-01,RHT,21.749,14.639,20.685,0.614,1.516,-6.990
