Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2015-01-01_2016-01-01,VRTX,-12.435,-9.560,20.338,-0.528,-0.713,-33.095
Average,VRTX,-12.435,-9.560,20.338,-0.528,-0.713,-33.095
2006-01-01_2007-01-01,A,-0.496,-0.379,13.468,-0.193,-0.242,-15.356
Average,A,-0.496,-0.379,13.468,-0.193,-0.242,-15.356
2013-01-01_2014-01-01,DXC,-18.751,-14.542,11.357,-1.543,-1.993,-25.705
Average,DXC,-18.751,-14.542,11.357,-1.543,-1.993,-25.705
2021-01-01_2022-01-01,TPR,16.367,12.233,19.075,0.508,0.740,-12.320
Average,TPR,16.367,12.233,19.075,0.508,0.740,-12.320
2019-01-01_2020-01-01,NLSN,-6.710,-5.120,13.556,-0.535,-0.672,-16.441
Average,NLSN,-6.710,-5.120,13.556,-0.535,-0.672,-16.441
2013-01-01_2014-01-01,GME,-17.198,-13.309,17.179,-0.894,-1.033,-24.952
Average,GME,-17.198,-13.309,17.179,-0.894,-1.033,-24.952
2010-01-01_2011-01-01,CLF,23.815,17.661,27.826,0.582,0.850,-33.674
Average,CLF,23.815,17.661,27.826,0.582,0.850,-33.674
2005-01-01_2006-01-01,UVN,30.413,22.405,56.056,0.547,0.982,-33.536
Average,UVN,30.413,22.405,56.056,0.547,0.982,-33.536
2016-01-01_2017-01-01,ARG,-0.364,-0.364,0.504,-8.335,-7.961,-0.502
Average,ARG,-0.364,-0.364,0.504,-8.335,-7.961,-0.502
2018-01-01_2019-01-01,DHI,-9.634,-7.380,15.074,-0.621,-0.817,-13.213
Average,DHI,-9.634,-7.380,15.074,-0.621,-0.817,-13.213
2022-01-01_2023-01-01,DVN,-7.556,-5.806,21.707,-0.302,-0.353,-25.538
Average,DVN,-7.556,-5.806,21.707,-0.302,-0.353,-25.538
2022-01-01_2023-01-01,TSLA,26.759,19.785,23.968,0.706,1.080,-24.712
Average,TSLA,26.759,19.785,23.968,0.706,1.080,-24.712
2004-01-01_2005-01-01,AET,-1.080,-0.816,14.837,-0.192,-0.250,-14.218
Average,AET,-1.080,-0.816,14.837,-0.192,-0.250,-14.218
2008-01-01_2009-01-01,RIG,2.733,2.055,23.690,0.065,0.109,-26.907
Average,RIG,2.733,2.055,23.690,0.065,0.109,-26.907
2017-01-01_2018-01-01,LNC,-3.676,-2.820,10.225,-0.522,-0.673,-15.812
Average,LNC,-3.676,-2.820,10.225,-0.522,-0.673,-15.812
2006-01-01_2007-01-01,VIAV,52.020,37.691,25.591,1.198,1.757,-13.355
2007-01-01_2008-01-01,VIAV,1.732,1.312,16.173,-0.037,-0.028,-16.718
Average,VIAV,26.876,19.501,20.882,0.580,0.864,-15.036
2017-01-01_2018-01-01,RF,-17.723,-13.840,11.178,-1.499,-1.997,-28.977
Average,RF,-17.723,-13.840,11.178,-1.499,-1.997,-28.977
2011-01-01_2012-01-01,JCP,-4.283,-3.278,18.081,-0.260,-0.303,-15.891
Average,JCP,-4.283,-3.278,18.081,-0.260,-0.303,-15.891
2016-01-01_2017-01-01,CAM,2.495,2.495,6.661,0.912,2.363,-1.726
Average,CAM,2.495,2.495,6.661,0.912,2.363,-1.726
2022-01-01_2023-01-01,XLNX,10.138,10.138,25.674,4.646,0.000,-0.000
Average,XLNX,10.138,10.138,25.674,4.646,0.000,-0.000
2011-01-01_2012-01-01,NVDA,-21.287,-16.659,26.277,-0.655,-0.814,-29.621
2016-01-01_2017-01-01,NVDA,121.476,83.193,29.709,1.980,4.264,-7.815
2017-01-01_2018-01-01,NVDA,-8.316,-6.415,16.019,-0.514,-0.665,-19.811
2022-01-01_2023-01-01,NVDA,4.954,3.750,29.204,0.153,0.239,-22.654
Average,NVDA,24.207,15.967,25.302,0.241,0.756,-19.975
2004-01-01_2005-01-01,NCR,3.040,2.286,11.767,-0.022,0.001,-13.212
Average,NCR,3.040,2.286,11.767,-0.022,0.001,-13.212
2005-01-01_2006-01-01,AAPL,-25.313,-19.925,15.495,-1.498,-1.866,-33.957
2006-01-01_2007-01-01,AAPL,9.094,6.873,14.225,0.298,0.462,-14.422
2008-01-01_2009-01-01,AAPL,20.359,15.006,20.841,0.594,0.858,-21.853
Average,AAPL,1.380,0.651,16.854,-0.202,-0.182,-23.411
2023-01-01_2024-01-01,SLB,-10.643,-8.234,14.188,-0.731,-0.994,-18.708
Average,SLB,-10.643,-8.234,14.188,-0.731,-0.994,-18.708
2006-01-01_2007-01-01,CIEN,-5.544,-4.262,26.913,-0.141,-0.177,-25.440
2007-01-01_2008-01-01,CIEN,12.368,9.255,26.729,0.328,0.490,-17.102
Average,CIEN,3.412,2.496,26.821,0.093,0.157,-21.271
2004-01-01_2005-01-01,ESRX,-15.455,-11.898,12.652,-1.143,-1.403,-17.064
2006-01-01_2007-01-01,ESRX,25.421,18.883,15.780,0.928,1.689,-9.055
Average,ESRX,4.983,3.493,14.216,-0.107,0.143,-13.060
2011-01-01_2012-01-01,KMX,7.239,5.465,19.151,0.195,0.315,-21.020
Average,KMX,7.239,5.465,19.151,0.195,0.315,-21.020
2013-01-01_2014-01-01,ANF,-11.532,-8.856,17.898,-0.586,-0.943,-20.133
Average,ANF,-11.532,-8.856,17.898,-0.586,-0.943,-20.133
2012-01-01_2013-01-01,PHM,-23.391,-18.261,26.972,-0.700,-0.846,-30.623
Average,PHM,-23.391,-18.261,26.972,-0.700,-0.846,-30.623
2019-01-01_2020-01-01,WBA,16.305,12.109,12.392,0.693,1.271,-6.944
Average,WBA,16.305,12.109,12.392,0.693,1.271,-6.944
2023-01-01_2024-01-01,GILD,-10.667,-8.253,9.300,-1.175,-1.424,-18.949
Average,GILD,-10.667,-8.253,9.300,-1.175,-1.424,-18.949
2012-01-01_2013-01-01,FFIV,-1.095,-0.830,20.910,-0.086,-0.101,-17.051
Average,FFIV,-1.095,-0.830,20.910,-0.086,-0.101,-17.051
2012-01-01_2013-01-01,RHT,8.268,6.196,15.384,0.247,0.367,-12.068
2019-01-01_2020-01-01,RHT,-1.079,-1.079,1.584,-3.100,-3.514,-1.306
Average,RHT,3.594,2.558,8.484,-1.426,-1.573,-6.687
2011-01-01_2012-01-01,MWW,-10.993,-8.484,26.453,-0.312,-0.394,-24.237
Average,MWW,-10.993,-8.484,26.453,-0.312,-0.394,-24.237
2018-01-01_2019-01-01,URI,9.920,7.420,23.251,0.271,0.478,-20.613
Average,URI,9.920,7.420,23.251,0.271,0.478,-20.613
2009-01-01_2010-01-01,FDO,-3.983,-3.029,18.929,-0.230,-0.292,-23.272
Average,FDO,-3.983,-3.029,18.929,-0.230,-0.292,-23.272
2015-01-01_2016-01-01,LUV,-0.441,-0.334,14.653,-0.164,-0.213,-11.479
Average,LUV,-0.441,-0.334,14.653,-0.164,-0.213,-11.479
2023-01-01_2024-01-01,APA,4.789,3.637,19.389,0.109,0.182,-18.772
Average,APA,4.789,3.637,19.389,0.109,0.182,-18.772
2007-01-01_2008-01-01,JNPR,67.771,48.104,24.211,1.540,2.593,-11.931
Average,JNPR,67.771,48.104,24.211,1.540,2.593,-11.931
2017-01-01_2018-01-01,KEY,9.574,7.232,10.082,0.404,0.638,-8.474
Average,KEY,9.574,7.232,10.082,0.404,0.638,-8.474
2009-01-01_2010-01-01,APOL,-13.939,-10.738,24.397,-0.451,-0.510,-25.181
Average,APOL,-13.939,-10.738,24.397,-0.451,-0.510,-25.181
2004-01-01_2005-01-01,CTX,2.169,1.632,16.558,-0.014,0.002,-12.174
Average,CTX,2.169,1.632,16.558,-0.014,0.002,-12.174
2005-01-01_2006-01-01,DALRQ,3.067,2.327,29.265,0.108,0.158,-17.687
Average,DALRQ,3.067,2.327,29.265,0.108,0.158,-17.687
2020-01-01_2021-01-01,QRVO,55.887,39.789,28.749,1.145,1.779,-10.793
Average,QRVO,55.887,39.789,28.749,1.145,1.779,-10.793
2009-01-01_2010-01-01,AYE,117.456,80.015,133.723,0.728,11.384,-9.817
2010-01-01_2011-01-01,AYE,-9.992,-7.702,24.414,-0.325,-0.414,-21.720
Average,AYE,53.732,36.157,79.069,0.202,5.485,-15.768
2009-01-01_2010-01-01,PBCT,-14.514,-11.190,15.581,-0.853,-1.086,-17.972
Average,PBCT,-14.514,-11.190,15.581,-0.853,-1.086,-17.972
2015-01-01_2016-01-01,MNST,-6.777,-5.172,12.569,-0.591,-0.773,-16.845
Average,MNST,-6.777,-5.172,12.569,-0.591,-0.773,-16.845
2016-01-01_2017-01-01,ATVI,6.295,4.757,14.011,0.164,0.267,-8.895
Average,ATVI,6.295,4.757,14.011,0.164,0.267,-8.895
2007-01-01_2008-01-01,AMZN,92.739,64.552,36.806,1.373,3.387,-15.090
2010-01-01_2011-01-01,AMZN,6.314,4.772,16.789,0.161,0.266,-17.152
Average,AMZN,49.526,34.662,26.797,0.767,1.826,-16.121
2012-01-01_2013-01-01,GWW,-3.487,-2.650,12.226,-0.405,-0.543,-13.204
Average,GWW,-3.487,-2.650,12.226,-0.405,-0.543,-13.204
2011-01-01_2012-01-01,MEE,-23.402,-23.402,16.493,-3.341,-4.025,-23.667
Average,MEE,-23.402,-23.402,16.493,-3.341,-4.025,-23.667
2021-01-01_2022-01-01,GM,-25.744,-20.277,17.469,-1.335,-1.701,-28.202
Average,GM,-25.744,-20.277,17.469,-1.335,-1.701,-28.202
2021-01-01_2022-01-01,GE,-7.911,-6.082,17.784,-0.427,-0.601,-25.689
Average,GE,-7.911,-6.082,17.784,-0.427,-0.601,-25.689
2017-01-01_2018-01-01,CFG,-16.607,-12.950,11.093,-1.423,-1.819,-26.503
Average,CFG,-16.607,-12.950,11.093,-1.423,-1.819,-26.503
2014-01-01_2015-01-01,MU,-20.109,-15.625,18.805,-0.940,-1.188,-26.744
2018-01-01_2019-01-01,MU,11.017,8.231,23.744,0.302,0.423,-29.813
Average,MU,-4.546,-3.697,21.275,-0.319,-0.382,-28.279
2014-01-01_2015-01-01,NFLX,5.416,4.072,17.586,0.125,0.197,-22.734
Average,NFLX,5.416,4.072,17.586,0.125,0.197,-22.734
2008-01-01_2009-01-01,DE,-14.521,-11.164,22.350,-0.538,-0.663,-23.098
Average,DE,-14.521,-11.164,22.350,-0.538,-0.663,-23.098
2012-01-01_2013-01-01,HAR,28.826,21.128,18.531,0.912,1.363,-12.435
Average,HAR,28.826,21.128,18.531,0.912,1.363,-12.435
2020-01-01_2021-01-01,STT,-7.036,-5.356,22.067,-0.274,-0.348,-23.707
Average,STT,-7.036,-5.356,22.067,-0.274,-0.348,-23.707
2009-01-01_2010-01-01,XOM,-11.818,-9.078,11.883,-0.971,-1.309,-15.038
Average,XOM,-11.818,-9.078,11.883,-0.971,-1.309,-15.038
2010-01-01_2011-01-01,BDK,9.487,9.487,15.845,3.139,10.674,-1.797
Average,BDK,9.487,9.487,15.845,3.139,10.674,-1.797
2020-01-01_2021-01-01,TGT,35.757,25.941,17.137,1.189,2.212,-7.971
Average,TGT,35.757,25.941,17.137,1.189,2.212,-7.971
2005-01-01_2006-01-01,AMD,39.998,29.195,21.623,1.096,1.366,-15.586
2010-01-01_2011-01-01,AMD,15.249,11.410,20.849,0.447,0.649,-17.891
Average,AMD,27.623,20.303,21.236,0.772,1.007,-16.739
2018-01-01_2019-01-01,DLTR,-8.482,-6.488,18.320,-0.434,-0.626,-24.935
Average,DLTR,-8.482,-6.488,18.320,-0.434,-0.626,-24.935
2014-01-01_2015-01-01,DAL,24.005,17.682,17.469,0.799,1.225,-14.586
Average,DAL,24.005,17.682,17.469,0.799,1.225,-14.586
2005-01-01_2006-01-01,KMG,-22.532,-17.665,27.573,-0.654,-0.826,-40.295
Average,KMG,-22.532,-17.665,27.573,-0.654,-0.826,-40.295
2019-01-01_2020-01-01,SBUX,0.592,0.447,6.659,-0.369,-0.454,-8.045
Average,SBUX,0.592,0.447,6.659,-0.369,-0.454,-8.045
2020-01-01_2021-01-01,TIF,-1.171,-0.885,14.478,-0.203,-0.233,-20.006
Average,TIF,-1.171,-0.885,14.478,-0.203,-0.233,-20.006
2013-01-01_2014-01-01,WHR,-24.077,-18.816,14.896,-1.476,-1.898,-24.666
Average,WHR,-24.077,-18.816,14.896,-1.476,-1.898,-24.666
2007-01-01_2008-01-01,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,APCC,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2016-01-01,AABA,-14.645,-11.294,13.172,-1.043,-1.251,-15.689
Average,AABA,-14.645,-11.294,13.172,-1.043,-1.251,-15.689
2018-01-01_2019-01-01,ALGN,1.785,1.348,21.451,0.017,0.043,-27.516
2020-01-01_2021-01-01,ALGN,76.160,53.298,39.655,1.132,2.269,-16.609
2021-01-01_2022-01-01,ALGN,-13.703,-10.614,15.684,-0.808,-1.171,-18.935
Average,ALGN,21.414,14.677,25.596,0.113,0.380,-21.020
2013-01-01_2014-01-01,THC,-22.825,-17.804,17.265,-1.184,-1.538,-25.434
Average,THC,-22.825,-17.804,17.265,-1.184,-1.538,-25.434
2008-01-01_2009-01-01,CNX,75.105,52.604,39.578,1.130,1.926,-18.745
Average,CNX,75.105,52.604,39.578,1.130,1.926,-18.745
2016-01-01_2017-01-01,GAS,-1.927,-1.927,1.940,-3.305,-3.857,-1.998
Average,GAS,-1.927,-1.927,1.940,-3.305,-3.857,-1.998
2019-01-01_2020-01-01,ULTA,9.880,7.390,26.308,0.257,0.574,-14.878
Average,ULTA,9.880,7.390,26.308,0.257,0.574,-14.878
2023-01-01_2024-01-01,RCL,13.261,9.976,16.916,0.437,0.585,-12.765
Average,RCL,13.261,9.976,16.916,0.437,0.585,-12.765
2014-01-01_2015-01-01,BIIB,-20.122,-15.636,21.028,-0.821,-1.070,-31.510
Average,BIIB,-20.122,-15.636,21.028,-0.821,-1.070,-31.510
2022-01-01_2023-01-01,F,32.822,24.122,18.455,1.041,1.602,-22.923
Average,F,32.822,24.122,18.455,1.041,1.602,-22.923
2021-01-01_2022-01-01,FCX,-12.102,-9.354,26.897,-0.337,-0.464,-31.566
Average,FCX,-12.102,-9.354,26.897,-0.337,-0.464,-31.566
2004-01-01_2005-01-01,NOVL,11.910,8.861,28.619,0.313,0.456,-20.159
Average,NOVL,11.910,8.861,28.619,0.313,0.456,-20.159
2014-01-01_2015-01-01,FSLR,3.745,2.821,22.778,0.091,0.129,-14.739
2023-01-01_2024-01-01,FSLR,-45.343,-36.954,31.102,-1.356,-1.318,-48.296
Average,FSLR,-20.799,-17.066,26.940,-0.632,-0.594,-31.518
2015-01-01_2016-01-01,EW,15.444,11.480,15.843,0.536,0.863,-10.372
Average,EW,15.444,11.480,15.843,0.536,0.863,-10.372
2008-01-01_2009-01-01,RX,-3.336,-2.527,26.012,-0.085,-0.090,-22.839
Average,RX,-3.336,-2.527,26.012,-0.085,-0.090,-22.839
Average,All,5.657,3.674,20.330,-0.169,0.051,-18.651
