Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2015-01-01_2016-01-01,VRTX,17.341,11.741,14.072,0.648,1.111,-15.503
Average,VRTX,17.341,11.741,14.072,0.648,1.111,-15.503
2006-01-01_2007-01-01,A,-3.454,-2.431,7.092,-0.729,-0.924,-9.475
Average,A,-3.454,-2.431,7.092,-0.729,-0.924,-9.475
2013-01-01_2014-01-01,DXC,-5.451,-3.817,7.872,-0.831,-1.017,-11.516
Average,DXC,-5.451,-3.817,7.872,-0.831,-1.017,-11.516
2021-01-01_2022-01-01,TPR,-11.949,-8.500,13.654,-0.799,-1.016,-17.093
Average,TPR,-11.949,-8.500,13.654,-0.799,-1.016,-17.093
2019-01-01_2020-01-01,NLSN,-12.509,-8.860,14.556,-0.768,-0.978,-24.778
Average,NLSN,-12.509,-8.860,14.556,-0.768,-0.978,-24.778
2013-01-01_2014-01-01,GME,3.360,2.321,4.107,-0.143,-0.206,-2.490
Average,GME,3.360,2.321,4.107,-0.143,-0.206,-2.490
2010-01-01_2011-01-01,CLF,2.465,1.714,18.875,0.027,0.039,-12.993
Average,CLF,2.465,1.714,18.875,0.027,0.039,-12.993
2005-01-01_2006-01-01,UVN,16.346,11.148,17.622,0.517,0.947,-15.209
Average,UVN,16.346,11.148,17.622,0.517,0.947,-15.209
2016-01-01_2017-01-01,ARG,0.558,0.558,0.958,-1.978,-3.600,-0.476
Average,ARG,0.558,0.558,0.958,-1.978,-3.600,-0.476
2018-01-01_2019-01-01,DHI,-9.230,-6.502,22.521,-0.319,-0.442,-19.066
Average,DHI,-9.230,-6.502,22.521,-0.319,-0.442,-19.066
2022-01-01_2023-01-01,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DVN,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2023-01-01,TSLA,-8.117,-5.738,35.382,-0.073,-0.098,-46.927
Average,TSLA,-8.117,-5.738,35.382,-0.073,-0.098,-46.927
2004-01-01_2005-01-01,AET,2.887,1.990,14.525,0.005,0.008,-16.358
Average,AET,2.887,1.990,14.525,0.005,0.008,-16.358
2008-01-01_2009-01-01,RIG,24.322,16.267,33.151,0.531,0.772,-22.689
Average,RIG,24.322,16.267,33.151,0.531,0.772,-22.689
