Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2015-01-01_2017-01-01,PFE,25.638,8.221,8.395,0.630,0.933,-5.893
Average,PFE,25.638,8.221,8.395,0.630,0.933,-5.893
2018-01-01_2020-01-01,AEE,17.478,5.734,9.501,0.323,0.439,-6.905
Average,AEE,17.478,5.734,9.501,0.323,0.439,-6.905
2012-01-01_2014-01-01,FISV,36.094,11.257,9.866,0.831,1.153,-8.382
2017-01-01_2019-01-01,FISV,5.715,1.945,9.770,-0.057,-0.074,-10.727
Average,FISV,20.904,6.601,9.818,0.387,0.540,-9.555
2013-01-01_2015-01-01,VFC,38.896,12.045,9.050,0.975,1.482,-7.672
Average,VFC,38.896,12.045,9.050,0.975,1.482,-7.672
2006-01-01_2008-01-01,NOV,77.862,22.092,20.304,0.939,1.259,-27.312
Average,NOV,77.862,22.092,20.304,0.939,1.259,-27.312
2013-01-01_2015-01-01,HON,39.495,12.212,8.269,1.077,1.651,-6.694
Average,HON,39.495,12.212,8.269,1.077,1.651,-6.694
2004-01-01_2006-01-01,CVS,13.154,4.371,11.333,0.173,0.241,-9.526
Average,CVS,13.154,4.371,11.333,0.173,0.241,-9.526
2021-01-01_2023-01-01,HBI,30.313,9.640,23.537,0.383,0.523,-22.320
Average,HBI,30.313,9.640,23.537,0.383,0.523,-22.320
2005-01-01_2007-01-01,AW,14.997,4.977,14.359,0.204,0.286,-17.332
Average,AW,14.997,4.977,14.359,0.204,0.286,-17.332
2008-01-01_2010-01-01,BDX,67.581,19.539,15.340,1.047,1.510,-12.786
Average,BDX,67.581,19.539,15.340,1.047,1.510,-12.786
2019-01-01_2021-01-01,WYNN,5.047,1.716,29.655,0.110,0.132,-50.833
Average,WYNN,5.047,1.716,29.655,0.110,0.132,-50.833
2008-01-01_2010-01-01,AMGN,15.760,5.189,21.529,0.203,0.295,-25.171
Average,AMGN,15.760,5.189,21.529,0.203,0.295,-25.171
2011-01-01_2013-01-01,DUK,6.932,2.347,6.537,-0.065,-0.090,-7.686
Average,DUK,6.932,2.347,6.537,-0.065,-0.090,-7.686
2016-01-01_2018-01-01,VZ,7.481,2.539,7.598,-0.022,-0.029,-7.559
Average,VZ,7.481,2.539,7.598,-0.022,-0.029,-7.559
2007-01-01_2009-01-01,AVP,19.302,6.300,22.386,0.251,0.369,-20.581
Average,AVP,19.302,6.300,22.386,0.251,0.369,-20.581
2012-01-01_2014-01-01,COG,44.725,13.651,20.629,0.580,0.790,-21.564
Average,COG,44.725,13.651,20.629,0.580,0.790,-21.564
