Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2015-01-01_2017-01-01,PFE,13.930,4.710,9.179,0.216,0.385,-17.025
Average,PFE,13.930,4.710,9.179,0.216,0.385,-17.025
2018-01-01_2020-01-01,AEE,27.079,8.826,5.677,0.977,2.299,-3.533
Average,AEE,27.079,8.826,5.677,0.977,2.299,-3.533
2012-01-01_2014-01-01,FISV,3.577,1.248,4.748,-0.347,-0.496,-7.952
2017-01-01_2019-01-01,FISV,10.486,3.587,6.741,0.108,0.163,-11.201
Average,FISV,7.032,2.418,5.744,-0.120,-0.167,-9.576
2013-01-01_2015-01-01,VFC,30.852,9.956,6.042,1.091,1.909,-4.288
Average,VFC,30.852,9.956,6.042,1.091,1.909,-4.288
2006-01-01_2008-01-01,NOV,43.103,13.504,14.402,0.734,1.246,-15.930
Average,NOV,43.103,13.504,14.402,0.734,1.246,-15.930
2013-01-01_2015-01-01,HON,16.366,5.495,7.952,0.329,0.549,-9.402
Average,HON,16.366,5.495,7.952,0.329,0.549,-9.402
2004-01-01_2006-01-01,CVS,26.067,8.519,7.988,0.678,1.347,-4.681
Average,CVS,26.067,8.519,7.988,0.678,1.347,-4.681
2021-01-01_2023-01-01,HBI,-9.632,-3.526,22.680,-0.176,-0.236,-38.492
Average,HBI,-9.632,-3.526,22.680,-0.176,-0.236,-38.492
2005-01-01_2007-01-01,AW,-0.610,-0.217,15.499,-0.132,-0.207,-23.391
Average,AW,-0.610,-0.217,15.499,-0.132,-0.207,-23.391
2008-01-01_2010-01-01,BDX,-7.628,-2.758,19.037,-0.208,-0.273,-31.372
Average,BDX,-7.628,-2.758,19.037,-0.208,-0.273,-31.372
2019-01-01_2021-01-01,WYNN,37.772,11.956,23.377,0.464,0.753,-31.761
Average,WYNN,37.772,11.956,23.377,0.464,0.753,-31.761
2008-01-01_2010-01-01,AMGN,18.286,6.098,12.437,0.292,0.492,-9.760
Average,AMGN,18.286,6.098,12.437,0.292,0.492,-9.760
2011-01-01_2013-01-01,DUK,6.108,2.115,7.222,-0.091,-0.122,-7.641
Average,DUK,6.108,2.115,7.222,-0.091,-0.122,-7.641
2016-01-01_2018-01-01,VZ,-3.937,-1.414,6.976,-0.596,-0.781,-14.118
Average,VZ,-3.937,-1.414,6.976,-0.596,-0.781,-14.118
2007-01-01_2009-01-01,AVP,-34.864,-14.041,28.530,-0.487,-0.640,-55.200
Average,AVP,-34.864,-14.041,28.530,-0.487,-0.640,-55.200
2012-01-01_2014-01-01,COG,7.273,2.509,11.174,0.007,0.020,-12.871
Average,COG,7.273,2.509,11.174,0.007,0.020,-12.871
2021-01-01_2023-01-01,LVS,71.800,21.143,26.904,0.725,1.248,-33.893
Average,LVS,71.800,21.143,26.904,0.725,1.248,-33.893
2019-01-01_2021-01-01,SLB,-27.977,-10.923,22.762,-0.524,-0.766,-48.090
Average,SLB,-27.977,-10.923,22.762,-0.524,-0.766,-48.090
2006-01-01_2008-01-01,IPG,-17.526,-6.584,16.297,-0.518,-0.772,-24.655
Average,IPG,-17.526,-6.584,16.297,-0.518,-0.772,-24.655
2020-01-01_2022-01-01,NWS,42.482,13.290,17.701,0.616,1.021,-12.460
Average,NWS,42.482,13.290,17.701,0.616,1.021,-12.460
2009-01-01_2011-01-01,PEG,19.802,6.584,6.528,0.542,0.971,-4.316
2010-01-01_2012-01-01,PEG,40.497,12.807,10.368,0.914,1.494,-8.312
Average,PEG,30.150,9.696,8.448,0.728,1.233,-6.314
2016-01-01_2018-01-01,MNST,60.703,18.310,14.667,1.001,2.240,-9.278
Average,MNST,60.703,18.310,14.667,1.001,2.240,-9.278
2012-01-01_2014-01-01,GNW,-23.348,-8.957,23.498,-0.397,-0.455,-47.575
Average,GNW,-23.348,-8.957,23.498,-0.397,-0.455,-47.575
2009-01-01_2011-01-01,PRU,50.749,15.588,18.860,0.694,1.204,-17.753
Average,PRU,50.749,15.588,18.860,0.694,1.204,-17.753
2018-01-01_2020-01-01,HAL,1.695,0.595,17.689,-0.049,-0.065,-30.503
Average,HAL,1.695,0.595,17.689,-0.049,-0.065,-30.503
2020-01-01_2022-01-01,MTB,-0.699,-0.247,27.783,0.021,0.033,-45.865
Average,MTB,-0.699,-0.247,27.783,0.021,0.033,-45.865
2021-01-01_2023-01-01,UAA,-31.118,-12.377,29.109,-0.400,-0.473,-52.501
Average,UAA,-31.118,-12.377,29.109,-0.400,-0.473,-52.501
2017-01-01_2019-01-01,EXPE,7.007,2.422,14.888,0.035,0.047,-22.357
Average,EXPE,7.007,2.422,14.888,0.035,0.047,-22.357
2005-01-01_2007-01-01,ACS,74.164,21.731,25.824,0.762,1.514,-15.967
Average,ACS,74.164,21.731,25.824,0.762,1.514,-15.967
