Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2015-01-01_2017-01-01,PFE,0.649,0.230,11.347,-0.189,-0.286,-19.502
Average,PFE,0.649,0.230,11.347,-0.189,-0.286,-19.502
2018-01-01_2020-01-01,AEE,19.377,6.498,6.822,0.504,0.943,-4.915
Average,AEE,19.377,6.498,6.822,0.504,0.943,-4.915
2012-01-01_2014-01-01,FISV,9.960,3.432,3.284,0.117,0.319,-2.008
2017-01-01_2019-01-01,FISV,44.228,13.923,7.092,1.426,2.755,-5.896
Average,FISV,27.094,8.678,5.188,0.771,1.537,-3.952
2013-01-01_2015-01-01,VFC,29.733,9.694,5.224,1.199,2.829,-3.523
Average,VFC,29.733,9.694,5.224,1.199,2.829,-3.523
2006-01-01_2008-01-01,NOV,33.640,10.873,14.139,0.578,0.953,-15.930
Average,NOV,33.640,10.873,14.139,0.578,0.953,-15.930
2013-01-01_2015-01-01,HON,34.728,11.176,8.932,0.879,1.403,-9.291
Average,HON,34.728,11.176,8.932,0.879,1.403,-9.291
2004-01-01_2006-01-01,CVS,8.119,2.813,10.268,0.024,0.054,-15.577
Average,CVS,8.119,2.813,10.268,0.024,0.054,-15.577
2021-01-01_2023-01-01,HBI,14.155,4.839,23.071,0.186,0.257,-32.734
Average,HBI,14.155,4.839,23.071,0.186,0.257,-32.734
2005-01-01_2007-01-01,AW,1.530,0.543,12.265,-0.142,-0.236,-18.042
Average,AW,1.530,0.543,12.265,-0.142,-0.236,-18.042
2008-01-01_2010-01-01,BDX,-13.650,-5.076,18.231,-0.356,-0.475,-32.761
Average,BDX,-13.650,-5.076,18.231,-0.356,-0.475,-32.761
2019-01-01_2021-01-01,WYNN,117.982,31.861,32.517,0.903,1.664,-34.520
Average,WYNN,117.982,31.861,32.517,0.903,1.664,-34.520
2008-01-01_2010-01-01,AMGN,3.595,1.261,18.596,-0.003,0.002,-23.200
Average,AMGN,3.595,1.261,18.596,-0.003,0.002,-23.200
2011-01-01_2013-01-01,DUK,3.156,1.111,3.102,-0.600,-0.838,-3.586
Average,DUK,3.156,1.111,3.102,-0.600,-0.838,-3.586
2016-01-01_2018-01-01,VZ,2.169,0.769,7.221,-0.275,-0.364,-10.940
Average,VZ,2.169,0.769,7.221,-0.275,-0.364,-10.940
2007-01-01_2009-01-01,AVP,-41.939,-17.572,27.408,-0.668,-0.878,-57.804
Average,AVP,-41.939,-17.572,27.408,-0.668,-0.878,-57.804
2012-01-01_2014-01-01,COG,9.082,3.138,13.365,0.069,0.124,-18.238
Average,COG,9.082,3.138,13.365,0.069,0.124,-18.238
2021-01-01_2023-01-01,LVS,-21.207,-8.156,25.645,-0.319,-0.464,-41.062
Average,LVS,-21.207,-8.156,25.645,-0.319,-0.464,-41.062
2019-01-01_2021-01-01,SLB,-64.831,-30.989,35.743,-0.921,-1.108,-74.274
Average,SLB,-64.831,-30.989,35.743,-0.921,-1.108,-74.274
2006-01-01_2008-01-01,IPG,4.538,1.592,13.202,-0.047,-0.072,-14.159
Average,IPG,4.538,1.592,13.202,-0.047,-0.072,-14.159
2020-01-01_2022-01-01,NWS,30.860,10.017,15.561,0.489,0.782,-12.460
Average,NWS,30.860,10.017,15.561,0.489,0.782,-12.460
2009-01-01_2011-01-01,PEG,5.557,1.941,7.201,-0.118,-0.162,-10.931
2010-01-01_2012-01-01,PEG,24.399,8.105,7.092,0.696,1.213,-5.956
Average,PEG,14.978,5.023,7.147,0.289,0.525,-8.443
2016-01-01_2018-01-01,MNST,39.765,12.693,15.069,0.655,1.380,-12.762
Average,MNST,39.765,12.693,15.069,0.655,1.380,-12.762
2012-01-01_2014-01-01,GNW,19.822,6.639,24.634,0.264,0.331,-37.735
