Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,VFC,102.720,27.713,14.742,1.533,2.178,-10.320
Average,VFC,102.720,27.713,14.742,1.533,2.178,-10.320
2006-01-01_2008-01-01,ASN,-98.890,-82.955,64.612,-0.438,-0.363,-99.221
Average,ASN,-98.890,-82.955,64.612,-0.438,-0.363,-99.221
2015-01-01_2017-01-01,SCG,29.855,9.465,16.180,0.457,0.578,-21.862
Average,SCG,29.855,9.465,16.180,0.457,0.578,-21.862
2011-01-01_2013-01-01,DUK,31.509,9.945,11.568,0.622,0.911,-12.220
Average,DUK,31.509,9.945,11.568,0.622,0.911,-12.220
2009-01-01_2011-01-01,PCAR,98.835,26.860,33.456,0.789,1.143,-32.124
2011-01-01_2013-01-01,PCAR,-16.165,-5.921,26.898,-0.202,-0.270,-42.992
Average,PCAR,41.335,10.469,30.177,0.293,0.436,-37.558
2018-01-01_2020-01-01,AEE,39.497,12.213,13.608,0.697,0.923,-10.185
Average,AEE,39.497,12.213,13.608,0.697,0.923,-10.185
2010-01-01_2012-01-01,LM,-20.372,-7.613,34.558,-0.142,-0.195,-38.200
Average,LM,-20.372,-7.613,34.558,-0.142,-0.195,-38.200
2017-01-01_2019-01-01,INTC,35.633,11.143,22.319,0.452,0.621,-25.218
2020-01-01_2022-01-01,INTC,-9.316,-3.324,35.737,0.003,0.004,-34.013
Average,INTC,13.159,3.910,29.028,0.228,0.313,-29.616
2021-01-01_2023-01-01,LVS,-16.775,-6.183,41.304,-0.021,-0.031,-54.326
Average,LVS,-16.775,-6.183,41.304,-0.021,-0.031,-54.326
2019-01-01_2021-01-01,WYNN,14.073,4.657,54.404,0.301,0.414,-70.773
Average,WYNN,14.073,4.657,54.404,0.301,0.414,-70.773
2005-01-01_2007-01-01,CTX,-3.642,-1.281,27.084,-0.022,-0.031,-44.252
Average,CTX,-3.642,-1.281,27.084,-0.022,-0.031,-44.252
2011-01-01_2013-01-01,UNH,50.410,15.177,21.986,0.618,0.843,-21.191
Average,UNH,50.410,15.177,21.986,0.618,0.843,-21.191
2016-01-01_2018-01-01,SJM,6.503,2.214,16.787,0.038,0.049,-34.423
Average,SJM,6.503,2.214,16.787,0.038,0.049,-34.423
2004-01-01_2006-01-01,CVS,48.556,14.683,18.792,0.665,1.079,-21.873
Average,CVS,48.556,14.683,18.792,0.665,1.079,-21.873
2008-01-01_2010-01-01,MSI,-47.995,-20.229,50.870,-0.249,-0.358,-77.859
Average,MSI,-47.995,-20.229,50.870,-0.249,-0.358,-77.859
2013-01-01_2015-01-01,HON,54.519,16.256,13.505,0.964,1.394,-12.542
Average,HON,54.519,16.256,13.505,0.964,1.394,-12.542
2006-01-01_2008-01-01,AN,-29.843,-11.561,18.994,-0.708,-0.953,-35.221
Average,AN,-29.843,-11.561,18.994,-0.708,-0.953,-35.221
2014-01-01_2016-01-01,HPQ,-1.653,-0.575,24.001,-0.027,-0.035,-38.079
Average,HPQ,-1.653,-0.575,24.001,-0.027,-0.035,-38.079
2016-01-01_2018-01-01,WY,28.377,9.071,18.105,0.407,0.532,-24.796
Average,WY,28.377,9.071,18.105,0.407,0.532,-24.796
2004-01-01_2006-01-01,AAPL,507.559,86.742,32.868,1.974,3.153,-24.232
Average,AAPL,507.559,86.742,32.868,1.974,3.153,-24.232
2011-01-01_2013-01-01,MCK,38.819,12.024,18.292,0.550,0.825,-19.760
Average,MCK,38.819,12.024,18.292,0.550,0.825,-19.760
2021-01-01_2023-01-01,NLSN,-98.645,-81.273,70.964,-0.332,-0.309,-99.013
Average,NLSN,-98.645,-81.273,70.964,-0.332,-0.309,-99.013
2014-01-01_2016-01-01,NFLX,125.888,32.587,37.783,0.854,1.300,-33.842
Average,NFLX,125.888,32.587,37.783,0.854,1.300,-33.842
2006-01-01_2008-01-01,NOV,116.759,30.755,34.042,0.871,1.201,-31.905
Average,NOV,116.759,30.755,34.042,0.871,1.201,-31.905
2008-01-01_2010-01-01,AMGN,21.738,7.036,31.718,0.277,0.411,-31.452
Average,AMGN,21.738,7.036,31.718,0.277,0.411,-31.452
2011-01-01_2013-01-01,MO,43.392,13.287,12.824,0.806,1.037,-14.576
Average,MO,43.392,13.287,12.824,0.806,1.037,-14.576
2009-01-01_2011-01-01,PEG,19.117,6.242,19.086,0.257,0.379,-25.940
2010-01-01_2012-01-01,PEG,8.051,2.728,17.305,0.071,0.100,-14.666
Average,PEG,13.584,4.485,18.196,0.164,0.239,-20.303
2013-01-01_2015-01-01,AMP,111.849,29.675,17.413,1.410,1.937,-14.393
Average,AMP,111.849,29.675,17.413,1.410,1.937,-14.393
2005-01-01_2007-01-01,LNC,49.259,14.937,14.368,0.835,1.247,-14.224
Average,LNC,49.259,14.937,14.368,0.835,1.247,-14.224
2008-01-01_2010-01-01,HOG,-38.833,-15.627,56.647,-0.071,-0.099,-79.375
Average,HOG,-38.833,-15.627,56.647,-0.071,-0.099,-79.375
2015-01-01_2017-01-01,APH,28.350,9.024,16.168,0.432,0.579,-23.832
Average,APH,28.350,9.024,16.168,0.432,0.579,-23.832
2007-01-01_2009-01-01,TRV,-11.502,-4.141,42.094,0.036,0.050,-44.317
2021-01-01_2023-01-01,TRV,40.534,12.556,18.263,0.577,0.791,-18.855
Average,TRV,14.516,4.207,30.178,0.307,0.421,-31.586
2012-01-01_2014-01-01,KMB,43.580,13.339,11.778,0.871,1.185,-13.023
Average,KMB,43.580,13.339,11.778,0.871,1.185,-13.023
2005-01-01_2007-01-01,MERQ,-99.756,-89.416,70.753,-0.400,-0.358,-99.789
Average,MERQ,-99.756,-89.416,70.753,-0.400,-0.358,-99.789
2005-01-01_2007-01-01,AW,35.829,11.231,24.385,0.435,0.667,-31.306
Average,AW,35.829,11.231,24.385,0.435,0.667,-31.306
2013-01-01_2015-01-01,WFC,65.618,19.082,12.354,1.236,1.773,-10.312
Average,WFC,65.618,19.082,12.354,1.236,1.773,-10.312
2021-01-01_2023-01-01,HBI,-51.493,-22.234,37.044,-0.577,-0.808,-71.495
Average,HBI,-51.493,-22.234,37.044,-0.577,-0.808,-71.495
2007-01-01_2009-01-01,UTX,-12.306,-4.444,27.890,-0.131,-0.181,-46.378
Average,UTX,-12.306,-4.444,27.890,-0.131,-0.181,-46.378
2010-01-01_2012-01-01,JPM,-20.290,-7.580,29.821,-0.215,-0.296,-39.604
Average,JPM,-20.290,-7.580,29.821,-0.215,-0.296,-39.604
2014-01-01_2016-01-01,FFIV,8.179,2.759,22.501,0.103,0.129,-28.704
Average,FFIV,8.179,2.759,22.501,0.103,0.129,-28.704
2010-01-01_2012-01-01,DE,44.338,13.605,26.935,0.498,0.707,-37.010
Average,DE,44.338,13.605,26.935,0.498,0.707,-37.010
2012-01-01_2014-01-01,COG,92.836,25.522,29.740,0.812,1.282,-26.645
Average,COG,92.836,25.522,29.740,0.812,1.282,-26.645
2014-01-01_2016-01-01,COF,-2.791,-0.975,18.195,-0.124,-0.148,-21.197
2017-01-01_2019-01-01,COF,-12.713,-4.604,18.464,-0.323,-0.433,-31.733
Average,COF,-7.752,-2.789,18.330,-0.224,-0.291,-26.465
2004-01-01_2006-01-01,PTC,48.587,14.692,36.129,0.479,0.655,-23.924
Average,PTC,48.587,14.692,36.129,0.479,0.655,-23.924
2006-01-01_2008-01-01,IPG,-16.716,-6.144,21.088,-0.337,-0.466,-41.347
Average,IPG,-16.716,-6.144,21.088,-0.337,-0.466,-41.347
2018-01-01_2020-01-01,LMT,27.534,8.784,17.081,0.405,0.504,-30.307
Average,LMT,27.534,8.784,17.081,0.405,0.504,-30.307
2019-01-01_2021-01-01,CXO,-44.040,-18.182,46.128,-0.267,-0.354,-69.223
Average,CXO,-44.040,-18.182,46.128,-0.267,-0.354,-69.223
2007-01-01_2009-01-01,RTN,1.848,0.636,24.289,0.025,0.034,-34.346
Average,RTN,1.848,0.636,24.289,0.025,0.034,-34.346
2016-01-01_2018-01-01,MNST,31.509,9.989,20.184,0.424,0.661,-24.552
Average,MNST,31.509,9.989,20.184,0.424,0.661,-24.552
2016-01-01_2018-01-01,VZ,25.684,8.270,13.604,0.434,0.624,-19.949
Average,VZ,25.684,8.270,13.604,0.434,0.624,-19.949
2007-01-01_2009-01-01,CPB,-17.954,-6.621,21.766,-0.342,-0.436,-30.824
Average,CPB,-17.954,-6.621,21.766,-0.342,-0.436,-30.824
2020-01-01_2022-01-01,MTB,-2.422,-0.844,41.208,0.110,0.159,-47.938
Average,MTB,-2.422,-0.844,41.208,0.110,0.159,-47.938
2020-01-01_2022-01-01,NWS,57.046,16.886,33.361,0.546,0.742,-45.508
Average,NWS,57.046,16.886,33.361,0.546,0.742,-45.508
2014-01-01_2016-01-01,FSLR,20.677,6.722,36.426,0.276,0.409,-44.573
Average,FSLR,20.677,6.722,36.426,0.276,0.409,-44.573
2018-01-01_2020-01-01,NKE,63.057,18.441,21.080,0.767,1.076,-20.821
Average,NKE,63.057,18.441,21.080,0.767,1.076,-20.821
2019-01-01_2021-01-01,SLB,-36.903,-14.716,47.723,-0.153,-0.196,-71.851
Average,SLB,-36.903,-14.716,47.723,-0.153,-0.196,-71.851
2004-01-01_2006-01-01,XOM,41.265,12.703,16.390,0.631,0.845,-15.634
Average,XOM,41.265,12.703,16.390,0.631,0.845,-15.634
2020-01-01_2022-01-01,ROST,0.273,0.094,37.559,0.112,0.147,-50.794
Average,ROST,0.273,0.094,37.559,0.112,0.147,-50.794
2022-01-01_2024-01-01,LUMN,-81.057,-43.914,45.607,-1.097,-1.333,-88.212
Average,LUMN,-81.057,-43.914,45.607,-1.097,-1.333,-88.212
2019-01-01_2021-01-01,TJX,56.162,16.658,32.381,0.548,0.692,-42.500
Average,TJX,56.162,16.658,32.381,0.548,0.692,-42.500
2009-01-01_2011-01-01,EKDKQ,-16.507,-6.054,63.471,0.171,0.241,-67.596
Average,EKDKQ,-16.507,-6.054,63.471,0.171,0.241,-67.596
2020-01-01_2022-01-01,CFG,29.172,9.252,47.340,0.363,0.477,-61.004
Average,CFG,29.172,9.252,47.340,0.363,0.477,-61.004
2012-01-01_2014-01-01,FISV,104.986,28.205,13.338,1.708,2.473,-8.676
2017-01-01_2019-01-01,FISV,40.023,12.377,14.052,0.691,0.829,-16.239
Average,FISV,72.505,20.291,13.695,1.199,1.651,-12.458
2010-01-01_2012-01-01,BXP,52.584,15.820,24.516,0.601,0.822,-24.153
Average,BXP,52.584,15.820,24.516,0.601,0.822,-24.153
2017-01-01_2019-01-01,EXPE,0.957,0.331,23.664,0.011,0.012,-36.933
Average,EXPE,0.957,0.331,23.664,0.011,0.012,-36.933
2022-01-01_2024-01-01,EOG,41.247,12.754,30.820,0.448,0.614,-32.928
Average,EOG,41.247,12.754,30.820,0.448,0.614,-32.928
2005-01-01_2007-01-01,ACS,132.572,34.094,46.924,0.785,1.394,-23.529
Average,ACS,132.572,34.094,46.924,0.785,1.394,-23.529
2016-01-01_2018-01-01,JEC,59.431,17.601,20.205,0.756,1.170,-19.529
Average,JEC,59.431,17.601,20.205,0.756,1.170,-19.529
2017-01-01_2019-01-01,SYK,33.684,10.587,15.823,0.528,0.681,-18.901
Average,SYK,33.684,10.587,15.823,0.528,0.681,-18.901
2022-01-01_2024-01-01,DXCM,-3.986,-1.404,39.527,0.085,0.123,-48.500
