Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2005-01-01_2007-01-01,MERQ,-1.530,-0.827,27.092,0.008,0.006,-32.047
Average,MERQ,-1.530,-0.827,27.092,0.008,0.006,-32.047
2008-01-01_2010-01-01,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,RDC,3.380,1.683,36.534,0.147,0.232,-38.183
Average,RDC,3.380,1.683,36.534,0.147,0.232,-38.183
2007-01-01_2009-01-01,UTX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,UTX,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,AIV,19.923,9.509,21.932,0.389,0.520,-16.196
Average,AIV,19.923,9.509,21.932,0.389,0.520,-16.196
2004-01-01_2006-01-01,PTC,54.115,24.143,43.646,0.650,0.951,-23.970
Average,PTC,54.115,24.143,43.646,0.650,0.951,-23.970
2010-01-01_2012-01-01,LM,-20.523,-10.850,41.640,-0.140,-0.209,-38.928
Average,LM,-20.523,-10.850,41.640,-0.140,-0.209,-38.928
2015-01-01_2017-01-01,PFE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PFE,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,JEC,5.937,2.932,4.458,-0.001,-0.000,-3.495
Average,JEC,5.937,2.932,4.458,-0.001,-0.000,-3.495
2021-01-01_2023-01-01,HBI,-56.034,-33.748,44.725,-0.768,-1.175,-73.893
Average,HBI,-56.034,-33.748,44.725,-0.768,-1.175,-73.893
2019-01-01_2021-01-01,CXO,-14.592,-7.569,18.041,-0.512,-0.221,-31.107
Average,CXO,-14.592,-7.569,18.041,-0.512,-0.221,-31.107
2022-01-01_2024-01-01,LUMN,-85.636,-62.320,69.185,-1.095,-1.400,-92.883
Average,LUMN,-85.636,-62.320,69.185,-1.095,-1.400,-92.883
2019-01-01_2021-01-01,WYNN,3.045,1.508,66.705,0.311,0.438,-71.718
Average,WYNN,3.045,1.508,66.705,0.311,0.438,-71.718
2013-01-01_2015-01-01,VFC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,VFC,0.000,0.000,0.000,0.000,0.000,-0.000
