Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2005-01-01_2007-01-01,LNC,-0.559,-0.280,0.388,-8.446,-0.544,-0.559
Average,LNC,-0.559,-0.280,0.388,-8.446,-0.544,-0.559
2021-01-01_2023-01-01,HBI,-68.152,-43.630,34.391,-1.587,-1.823,-76.810
Average,HBI,-68.152,-43.630,34.391,-1.587,-1.823,-76.810
2015-01-01_2017-01-01,PFE,-3.186,-1.606,9.049,-0.465,-0.414,-12.494
Average,PFE,-3.186,-1.606,9.049,-0.465,-0.414,-12.494
2017-01-01_2019-01-01,INTC,37.599,17.377,18.894,0.784,1.013,-13.781
2020-01-01_2022-01-01,INTC,-10.423,-5.345,27.858,-0.161,-0.146,-27.631
Average,INTC,13.588,6.016,23.376,0.311,0.433,-20.706
2014-01-01_2016-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,RDC,-2.504,-1.265,6.431,-0.633,-0.164,-7.919
Average,RDC,-2.504,-1.265,6.431,-0.633,-0.164,-7.919
2006-01-01_2008-01-01,NOV,0.133,0.067,2.895,-0.997,0.000,-2.770
Average,NOV,0.133,0.067,2.895,-0.997,0.000,-2.770
2010-01-01_2012-01-01,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,PRU,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PRU,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FFIV,-15.585,-8.122,18.973,-0.510,-0.521,-26.960
Average,FFIV,-15.585,-8.122,18.973,-0.510,-0.521,-26.960
2013-01-01_2015-01-01,WFC,27.235,12.798,10.078,0.951,1.134,-7.337
Average,WFC,27.235,12.798,10.078,0.951,1.134,-7.337
2008-01-01_2010-01-01,CAG,-2.106,-1.056,5.224,-0.752,-0.255,-6.158
Average,CAG,-2.106,-1.056,5.224,-0.752,-0.255,-6.158
2009-01-01_2011-01-01,EKDKQ,38.396,17.642,32.021,0.562,0.403,-25.799
Average,EKDKQ,38.396,17.642,32.021,0.562,0.403,-25.799
2007-01-01_2009-01-01,CPB,-19.650,-10.362,17.027,-0.734,-0.792,-31.273
Average,CPB,-19.650,-10.362,17.027,-0.734,-0.792,-31.273
2009-01-01_2011-01-01,PCAR,33.836,15.687,30.948,0.529,0.636,-19.059
2011-01-01_2013-01-01,PCAR,9.773,4.792,6.514,0.291,0.130,-4.524
Average,PCAR,21.804,10.240,18.731,0.410,0.383,-11.791
2014-01-01_2016-01-01,FSLR,28.333,13.284,33.189,0.447,0.566,-30.180
Average,FSLR,28.333,13.284,33.189,0.447,0.566,-30.180
2017-01-01_2019-01-01,EXPE,18.067,8.695,17.548,0.392,0.466,-14.901
Average,EXPE,18.067,8.695,17.548,0.392,0.466,-14.901
2022-01-01_2024-01-01,DXCM,-68.253,-43.849,69.063,-0.251,-0.205,-82.606
Average,DXCM,-68.253,-43.849,69.063,-0.251,-0.205,-82.606
2012-01-01_2014-01-01,COG,-52.843,-31.432,45.001,-0.599,-0.500,-63.196
Average,COG,-52.843,-31.432,45.001,-0.599,-0.500,-63.196
