Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2021-01-01_2023-01-01,HBI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HBI,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,PCAR,90.760,25.091,35.014,0.728,1.048,-34.262
2011-01-01_2013-01-01,PCAR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PCAR,45.380,12.545,17.507,0.364,0.524,-17.131
2017-01-01_2019-01-01,EXPE,1.644,0.568,23.677,0.021,0.033,-36.928
Average,EXPE,1.644,0.568,23.677,0.021,0.033,-36.928
2005-01-01_2007-01-01,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,WYNN,13.964,4.628,54.131,0.299,0.415,-70.564
Average,WYNN,13.964,4.628,54.131,0.299,0.415,-70.564
2004-01-01_2006-01-01,NI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NI,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,LMT,28.297,9.021,17.021,0.418,0.536,-30.193
Average,LMT,28.297,9.021,17.021,0.418,0.536,-30.193
2012-01-01_2014-01-01,COG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,COG,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,CTX,-0.474,-0.165,26.944,0.018,0.014,-44.226
Average,CTX,-0.474,-0.165,26.944,0.018,0.014,-44.226
2013-01-01_2015-01-01,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FFIV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FFIV,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,NWS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NWS,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,DE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DE,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,MSI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MSI,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,PEG,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,PEG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PEG,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,UTX,-12.242,-4.426,27.742,-0.133,-0.201,-46.195
Average,UTX,-12.242,-4.426,27.742,-0.133,-0.201,-46.195
2013-01-01_2015-01-01,WFC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WFC,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,MERQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MERQ,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,HPQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HPQ,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,AN,-29.536,-11.442,18.907,-0.704,-0.977,-35.089
Average,AN,-29.536,-11.442,18.907,-0.704,-0.977,-35.089
2005-01-01_2007-01-01,ACS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ACS,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,AIV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AIV,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,MTB,-2.378,-0.830,40.953,0.108,0.154,-47.701
Average,MTB,-2.378,-0.830,40.953,0.108,0.154,-47.701
2007-01-01_2009-01-01,AVP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AVP,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,LM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LM,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,PFE,10.937,3.663,16.057,0.119,0.182,-19.180
Average,PFE,10.937,3.663,16.057,0.119,0.182,-19.180
2014-01-01_2016-01-01,COF,-2.777,-0.971,18.102,-0.125,-0.117,-21.109
2017-01-01_2019-01-01,COF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,COF,-1.388,-0.486,9.051,-0.063,-0.059,-10.555
2018-01-01_2020-01-01,NKE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NKE,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,VFC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,VFC,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,LKQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LKQ,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,LUMN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LUMN,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,BDX,-6.580,-2.329,23.258,-0.112,-0.122,-33.973
Average,BDX,-6.580,-2.329,23.258,-0.112,-0.122,-33.973
2011-01-01_2013-01-01,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,JEC,61.979,18.278,19.946,0.791,1.253,-19.359
Average,JEC,61.979,18.278,19.946,0.791,1.253,-19.359
2018-01-01_2020-01-01,HAL,-48.958,-20.794,28.350,-0.784,-1.035,-68.503
Average,HAL,-48.958,-20.794,28.350,-0.784,-1.035,-68.503
2022-01-01_2024-01-01,HSY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HSY,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,DXCM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DXCM,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,SLB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SLB,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,UAA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,UAA,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,CXO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CXO,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,TRV,44.078,13.554,18.359,0.622,0.886,-18.838
Average,TRV,22.039,6.777,9.179,0.311,0.443,-9.419
2010-01-01_2012-01-01,JPM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,JPM,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,PRU,92.904,25.576,64.966,0.627,0.838,-66.375
Average,PRU,92.904,25.576,64.966,0.627,0.838,-66.375
2016-01-01_2018-01-01,WY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WY,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,ASN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ASN,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,UNH,0.000,0.000,0.000,0.000,0.000,-0.000
Average,UNH,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,NOV,112.475,29.900,33.796,0.855,1.193,-31.763
Average,NOV,112.475,29.900,33.796,0.855,1.193,-31.763
2008-01-01_2010-01-01,CAG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CAG,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,AMP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMP,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,TEG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TEG,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,SYK,34.067,10.712,15.773,0.536,0.656,-18.853
Average,SYK,34.067,10.712,15.773,0.536,0.656,-18.853
2015-01-01_2017-01-01,APH,27.212,8.701,15.778,0.419,0.579,-23.387
Average,APH,27.212,8.701,15.778,0.419,0.579,-23.387
2016-01-01_2018-01-01,SJM,6.488,2.212,16.700,0.037,0.061,-34.269
Average,SJM,6.488,2.212,16.700,0.037,0.061,-34.269
2008-01-01_2010-01-01,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,IPG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,IPG,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,HON,53.710,16.069,13.473,0.952,1.408,-12.526
Average,HON,53.710,16.069,13.473,0.952,1.408,-12.526
2010-01-01_2012-01-01,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,AEE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AEE,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,SCG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SCG,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,RDC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RDC,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,AW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AW,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,CVS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CVS,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,FISV,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,FISV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FISV,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,HOG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HOG,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,MO,43.500,13.337,12.809,0.809,1.003,-14.581
Average,MO,43.500,13.337,12.809,0.809,1.003,-14.581
2020-01-01_2022-01-01,ROST,0.272,0.094,37.372,0.110,0.145,-50.582
Average,ROST,0.272,0.094,37.372,0.110,0.145,-50.582
2012-01-01_2014-01-01,BBBY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BBBY,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,MNST,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MNST,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,VZ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,VZ,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,TJX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TJX,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,PCP,0.000,0.000,0.000,0.000,0.000,-0.000
