Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-01-01_2024-01-01,LKQ,-15.736,-5.785,23.528,-0.260,-0.316,-28.012
Average,LKQ,-15.736,-5.785,23.528,-0.260,-0.316,-28.012
2018-01-01_2020-01-01,AEE,39.648,12.272,13.570,0.702,0.920,-10.157
Average,AEE,39.648,12.272,13.570,0.702,0.920,-10.157
2012-01-01_2014-01-01,FISV,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,FISV,39.110,12.140,13.984,0.677,0.791,-16.181
Average,FISV,19.555,6.070,6.992,0.339,0.396,-8.091
2009-01-01_2011-01-01,PEG,15.155,5.013,19.274,0.196,0.253,-26.365
2010-01-01_2012-01-01,PEG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PEG,7.578,2.506,9.637,0.098,0.126,-13.182
2010-01-01_2012-01-01,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,WYNN,13.964,4.628,54.131,0.299,0.415,-70.564
Average,WYNN,13.964,4.628,54.131,0.299,0.415,-70.564
2017-01-01_2019-01-01,SYK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SYK,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,DE,43.671,13.442,26.916,0.492,0.706,-36.974
Average,DE,43.671,13.442,26.916,0.492,0.706,-36.974
2018-01-01_2020-01-01,HAL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HAL,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,XOM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,XOM,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,EKDKQ,-25.198,-9.574,68.106,0.147,0.229,-70.149
Average,EKDKQ,-25.198,-9.574,68.106,0.147,0.229,-70.149
2007-01-01_2009-01-01,RTN,2.706,0.930,24.161,0.036,0.035,-34.203
Average,RTN,2.706,0.930,24.161,0.036,0.035,-34.203
2005-01-01_2007-01-01,AW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AW,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,UNH,48.253,14.624,21.982,0.596,0.798,-21.197
Average,UNH,48.253,14.624,21.982,0.596,0.798,-21.197
2021-01-01_2023-01-01,HBI,-54.071,-23.725,36.997,-0.629,-0.900,-71.621
Average,HBI,-54.071,-23.725,36.997,-0.629,-0.900,-71.621
2022-01-01_2024-01-01,LUMN,-84.490,-47.727,54.760,-0.954,-1.172,-91.629
Average,LUMN,-84.490,-47.727,54.760,-0.954,-1.172,-91.629
2008-01-01_2010-01-01,MSI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MSI,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,AMP,111.379,29.621,17.355,1.409,1.979,-14.366
Average,AMP,111.379,29.621,17.355,1.409,1.979,-14.366
2005-01-01_2007-01-01,CTX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CTX,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,CVS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CVS,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,ACS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ACS,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,PRU,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PRU,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,SLB,-36.955,-14.759,49.148,-0.135,-0.171,-72.742
Average,SLB,-36.955,-14.759,49.148,-0.135,-0.171,-72.742
2021-01-01_2023-01-01,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,ROST,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ROST,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,EXPE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,EXPE,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,LM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LM,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,NKE,62.814,18.407,21.001,0.767,1.066,-20.741
Average,NKE,62.814,18.407,21.001,0.767,1.066,-20.741
2016-01-01_2018-01-01,SJM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SJM,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,ASN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ASN,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,MO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MO,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,JPM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,JPM,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,TRV,-11.078,-3.988,42.119,0.040,0.049,-44.320
2021-01-01_2023-01-01,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TRV,-5.539,-1.994,21.059,0.020,0.024,-22.160
2012-01-01_2014-01-01,COG,89.502,24.804,29.809,0.791,1.249,-28.552
Average,COG,89.502,24.804,29.809,0.791,1.249,-28.552
2013-01-01_2015-01-01,VFC,103.465,27.918,14.762,1.540,2.194,-10.329
Average,VFC,103.465,27.918,14.762,1.540,2.194,-10.329
2013-01-01_2015-01-01,HON,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HON,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,NWS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NWS,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,CB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CB,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,WFC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WFC,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,TEG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TEG,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,COF,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,COF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,COF,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,EOG,38.016,11.868,26.271,0.445,0.615,-28.631
Average,EOG,38.016,11.868,26.271,0.445,0.615,-28.631
2022-01-01_2024-01-01,DXCM,-3.965,-1.398,39.279,0.083,0.121,-48.254
Average,DXCM,-3.965,-1.398,39.279,0.083,0.121,-48.254
2011-01-01_2013-01-01,DUK,31.618,9.991,11.472,0.628,0.867,-12.164
Average,DUK,31.618,9.991,11.472,0.628,0.867,-12.164
2017-01-01_2019-01-01,INTC,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,INTC,-9.321,-3.330,35.781,0.004,0.010,-34.029
Average,INTC,-4.660,-1.665,17.890,0.002,0.005,-17.014
2008-01-01_2010-01-01,CAG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CAG,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,LVS,-17.421,-6.446,40.906,-0.032,-0.073,-54.020
Average,LVS,-17.421,-6.446,40.906,-0.032,-0.073,-54.020
2015-01-01_2017-01-01,PCP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PCP,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,PCAR,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,PCAR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PCAR,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,HOG,-36.557,-14.573,47.926,-0.151,-0.200,-73.866
Average,HOG,-36.557,-14.573,47.926,-0.151,-0.200,-73.866
2015-01-01_2017-01-01,AIV,15.061,4.983,17.847,0.196,0.203,-16.092
Average,AIV,15.061,4.983,17.847,0.196,0.203,-16.092
2007-01-01_2009-01-01,AVP,-25.184,-9.568,33.961,-0.214,-0.320,-58.647
Average,AVP,-25.184,-9.568,33.961,-0.214,-0.320,-58.647
2016-01-01_2018-01-01,MNST,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MNST,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,NI,4.548,1.554,12.153,-0.056,-0.077,-15.974
Average,NI,4.548,1.554,12.153,-0.056,-0.077,-15.974
2020-01-01_2022-01-01,CFG,29.481,9.355,48.075,0.367,0.482,-61.558
Average,CFG,29.481,9.355,48.075,0.367,0.482,-61.558
2021-01-01_2023-01-01,UAA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,UAA,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,IPG,-19.329,-7.184,20.944,-0.393,-0.512,-41.286
Average,IPG,-19.329,-7.184,20.944,-0.393,-0.512,-41.286
2006-01-01_2008-01-01,NOV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NOV,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FFIV,8.820,2.973,22.523,0.112,0.162,-28.675
Average,FFIV,8.820,2.973,22.523,0.112,0.162,-28.675
2005-01-01_2007-01-01,LNC,50.789,15.368,14.402,0.858,1.289,-14.224
Average,LNC,50.789,15.368,14.402,0.858,1.289,-14.224
2005-01-01_2007-01-01,MERQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MERQ,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,WY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WY,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,LMT,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LMT,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,KMB,42.617,13.094,11.730,0.853,1.223,-12.995
Average,KMB,42.617,13.094,11.730,0.853,1.223,-12.995
2012-01-01_2014-01-01,BBBY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BBBY,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
