Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2008-01-01_2010-01-01,MSI,-47.967,-20.239,53.927,-0.206,-0.298,-79.156
Average,MSI,-47.967,-20.239,53.927,-0.206,-0.298,-79.156
2011-01-01_2013-01-01,MO,37.973,11.804,11.462,0.771,0.945,-13.315
Average,MO,37.973,11.804,11.462,0.771,0.945,-13.315
2010-01-01_2012-01-01,DE,43.671,13.442,26.916,0.492,0.706,-36.974
Average,DE,43.671,13.442,26.916,0.492,0.706,-36.974
2014-01-01_2016-01-01,FFIV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FFIV,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,JEC,61.979,18.278,19.946,0.791,1.253,-19.359
Average,JEC,61.979,18.278,19.946,0.791,1.253,-19.359
2010-01-01_2012-01-01,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,VZ,25.862,8.335,13.644,0.437,0.663,-20.001
Average,VZ,25.862,8.335,13.644,0.437,0.663,-20.001
2004-01-01_2006-01-01,CVS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CVS,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,AW,43.634,13.432,16.796,0.657,0.982,-29.525
Average,AW,43.634,13.432,16.796,0.657,0.982,-29.525
2010-01-01_2012-01-01,LM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LM,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,SYK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SYK,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,PEG,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,PEG,11.782,3.953,17.205,0.139,0.190,-14.661
Average,PEG,5.891,1.976,8.602,0.069,0.095,-7.331
2009-01-01_2011-01-01,PCAR,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,PCAR,-15.625,-5.719,26.854,-0.195,-0.291,-42.631
Average,PCAR,-7.813,-2.860,13.427,-0.097,-0.145,-21.316
2006-01-01_2008-01-01,ASN,37.647,13.588,17.686,0.639,1.026,-19.983
Average,ASN,37.647,13.588,17.686,0.639,1.026,-19.983
2005-01-01_2007-01-01,ACS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ACS,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,CB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CB,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,HSY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HSY,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,RDC,1.318,0.455,29.935,0.066,0.108,-37.908
Average,RDC,1.318,0.455,29.935,0.066,0.108,-37.908
2014-01-01_2016-01-01,HPQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HPQ,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,MTB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MTB,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,DXCM,-3.869,-1.364,39.292,0.084,0.122,-48.267
Average,DXCM,-3.869,-1.364,39.292,0.084,0.122,-48.267
2012-01-01_2014-01-01,COG,100.071,27.174,29.432,0.861,1.397,-24.259
Average,COG,100.071,27.174,29.432,0.861,1.397,-24.259
2006-01-01_2008-01-01,IPG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,IPG,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,CPB,-17.600,-6.490,21.838,-0.333,-0.460,-30.951
Average,CPB,-17.600,-6.490,21.838,-0.333,-0.460,-30.951
2012-01-01_2014-01-01,GNW,77.315,21.961,28.225,0.742,0.895,-48.424
Average,GNW,77.315,21.961,28.225,0.742,0.895,-48.424
2011-01-01_2013-01-01,DUK,31.757,10.032,11.477,0.631,0.871,-12.172
