Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2014-01-01_2016-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,MO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MO,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,MSI,-49.012,-20.798,51.959,-0.247,-0.356,-78.728
Average,MSI,-49.012,-20.798,51.959,-0.247,-0.356,-78.728
2015-01-01_2017-01-01,APH,0.000,0.000,0.000,0.000,0.000,-0.000
Average,APH,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,HOG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HOG,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,NKE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NKE,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,FISV,104.214,28.081,13.317,1.702,2.442,-8.678
2017-01-01_2019-01-01,FISV,39.110,12.140,13.984,0.677,0.791,-16.181
Average,FISV,71.662,20.110,13.651,1.189,1.616,-12.430
2019-01-01_2021-01-01,CXO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CXO,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,UAA,-38.815,-15.717,38.074,-0.333,-0.449,-70.051
Average,UAA,-38.815,-15.717,38.074,-0.333,-0.449,-70.051
2013-01-01_2015-01-01,WFC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,WFC,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,TRV,-11.078,-3.988,42.119,0.040,0.049,-44.320
2021-01-01_2023-01-01,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TRV,-5.539,-1.994,21.059,0.020,0.024,-22.160
2004-01-01_2006-01-01,XOM,42.557,13.078,16.420,0.650,0.875,-15.639
Average,XOM,42.557,13.078,16.420,0.650,0.875,-15.639
2021-01-01_2023-01-01,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NLSN,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,NOV,112.475,29.900,33.796,0.855,1.193,-31.763
Average,NOV,112.475,29.900,33.796,0.855,1.193,-31.763
2009-01-01_2011-01-01,EKDKQ,-25.198,-9.574,68.106,0.147,0.229,-70.149
Average,EKDKQ,-25.198,-9.574,68.106,0.147,0.229,-70.149
2020-01-01_2022-01-01,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,VZ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,VZ,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,INTC,35.299,11.064,22.302,0.448,0.609,-25.189
2020-01-01_2022-01-01,INTC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,INTC,17.650,5.532,11.151,0.224,0.305,-12.594
2013-01-01_2015-01-01,HON,53.710,16.069,13.473,0.952,1.408,-12.526
Average,HON,53.710,16.069,13.473,0.952,1.408,-12.526
2014-01-01_2016-01-01,NFLX,119.698,31.367,38.791,0.817,1.268,-34.620
Average,NFLX,119.698,31.367,38.791,0.817,1.268,-34.620
2018-01-01_2020-01-01,HAL,-48.958,-20.794,28.350,-0.784,-1.035,-68.503
Average,HAL,-48.958,-20.794,28.350,-0.784,-1.035,-68.503
2005-01-01_2007-01-01,MERQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MERQ,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,GNW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,GNW,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,SCG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SCG,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,HSY,0.119,0.041,15.969,-0.103,-0.170,-33.925
Average,HSY,0.119,0.041,15.969,-0.103,-0.170,-33.925
2009-01-01_2011-01-01,PEG,15.155,5.013,19.274,0.196,0.253,-26.365
2010-01-01_2012-01-01,PEG,8.307,2.817,17.261,0.075,0.100,-14.626
Average,PEG,11.731,3.915,18.268,0.136,0.176,-20.496
