Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2012-01-01_2014-01-01,FISV,103.898,28.012,13.285,1.701,2.441,-8.655
2017-01-01_2019-01-01,FISV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FISV,51.949,14.006,6.642,0.851,1.221,-4.327
2015-01-01_2017-01-01,AIV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AIV,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,WYNN,13.964,4.628,54.131,0.299,0.415,-70.564
Average,WYNN,13.964,4.628,54.131,0.299,0.415,-70.564
2019-01-01_2021-01-01,SLB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SLB,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,CAG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CAG,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,AN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AN,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LNC,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FSLR,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMGN,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,FFIV,0.000,0.000,0.000,0.000,0.000,-0.000
Average,FFIV,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,PTC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PTC,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,TEG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TEG,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,BBBY,36.331,11.341,21.159,0.476,0.548,-26.363
Average,BBBY,36.331,11.341,21.159,0.476,0.548,-26.363
2012-01-01_2014-01-01,COG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,COG,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,SYK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SYK,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,COF,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,COF,0.000,0.000,0.000,0.000,0.000,-0.000
Average,COF,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,KMB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,KMB,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,NFLX,119.698,31.367,38.791,0.817,1.268,-34.620
Average,NFLX,119.698,31.367,38.791,0.817,1.268,-34.620
2016-01-01_2018-01-01,WY,31.463,9.990,18.177,0.451,0.595,-23.378
Average,WY,31.463,9.990,18.177,0.451,0.595,-23.378
2005-01-01_2007-01-01,ACS,124.048,32.416,45.069,0.770,1.244,-23.527
Average,ACS,124.048,32.416,45.069,0.770,1.244,-23.527
2020-01-01_2022-01-01,NWS,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NWS,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,MNST,31.125,9.891,19.925,0.422,0.642,-24.290
Average,MNST,31.125,9.891,19.925,0.422,0.642,-24.290
2017-01-01_2019-01-01,EXPE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,EXPE,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,RDC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,RDC,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,CPB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CPB,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,NKE,62.814,18.407,21.001,0.767,1.066,-20.741
Average,NKE,62.814,18.407,21.001,0.767,1.066,-20.741
2007-01-01_2009-01-01,UTX,-12.242,-4.426,27.742,-0.133,-0.201,-46.195
Average,UTX,-12.242,-4.426,27.742,-0.133,-0.201,-46.195
2022-01-01_2024-01-01,HSY,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HSY,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,TRV,44.078,13.554,18.359,0.622,0.886,-18.838
Average,TRV,22.039,6.777,9.179,0.311,0.443,-9.419
2004-01-01_2006-01-01,NI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NI,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,SJM,6.488,2.212,16.700,0.037,0.061,-34.269
Average,SJM,6.488,2.212,16.700,0.037,0.061,-34.269
2013-01-01_2015-01-01,WFC,66.379,19.300,12.248,1.258,1.849,-10.253
Average,WFC,66.379,19.300,12.248,1.258,1.849,-10.253
2004-01-01_2006-01-01,XOM,42.557,13.078,16.420,0.650,0.875,-15.639
Average,XOM,42.557,13.078,16.420,0.650,0.875,-15.639
2020-01-01_2022-01-01,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CFG,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ICE,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,CB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CB,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,UAA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,UAA,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,LM,-19.525,-7.282,34.481,-0.133,-0.175,-38.111
Average,LM,-19.525,-7.282,34.481,-0.133,-0.175,-38.111
2004-01-01_2006-01-01,CVS,48.899,14.797,18.764,0.670,1.108,-21.859
Average,CVS,48.899,14.797,18.764,0.670,1.108,-21.859
2014-01-01_2016-01-01,HPQ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HPQ,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,NOV,112.475,29.900,33.796,0.855,1.193,-31.763
Average,NOV,112.475,29.900,33.796,0.855,1.193,-31.763
2005-01-01_2007-01-01,MERQ,15.672,5.663,31.070,0.238,0.315,-42.468
Average,MERQ,15.672,5.663,31.070,0.238,0.315,-42.468
2021-01-01_2023-01-01,NLSN,29.792,10.849,29.076,0.388,0.784,-34.732
Average,NLSN,29.792,10.849,29.076,0.388,0.784,-34.732
2013-01-01_2015-01-01,HON,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HON,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BIIB,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,HOG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HOG,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,LUMN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,LUMN,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,ROST,0.272,0.094,37.372,0.110,0.145,-50.582
Average,ROST,0.272,0.094,37.372,0.110,0.145,-50.582
2020-01-01_2022-01-01,MTB,-2.378,-0.830,40.953,0.108,0.154,-47.701
Average,MTB,-2.378,-0.830,40.953,0.108,0.154,-47.701
2005-01-01_2007-01-01,CTX,-0.474,-0.165,26.944,0.018,0.014,-44.226
Average,CTX,-0.474,-0.165,26.944,0.018,0.014,-44.226
2011-01-01_2013-01-01,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MCK,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,MSI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MSI,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,IPG,-19.329,-7.184,20.944,-0.393,-0.512,-41.286
Average,IPG,-19.329,-7.184,20.944,-0.393,-0.512,-41.286
2009-01-01_2011-01-01,EKDKQ,-25.198,-9.574,68.106,0.147,0.229,-70.149
Average,EKDKQ,-25.198,-9.574,68.106,0.147,0.229,-70.149
2009-01-01_2011-01-01,PRU,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PRU,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,HBI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HBI,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,CXO,-44.356,-18.365,48.698,-0.232,-0.312,-70.940
Average,CXO,-44.356,-18.365,48.698,-0.232,-0.312,-70.940
2022-01-01_2024-01-01,DXCM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,DXCM,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,PFE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PFE,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,BXP,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,VZ,0.000,0.000,0.000,0.000,0.000,-0.000
Average,VZ,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,AMP,111.379,29.621,17.355,1.409,1.979,-14.366
Average,AMP,111.379,29.621,17.355,1.409,1.979,-14.366
2013-01-01_2015-01-01,VFC,103.465,27.918,14.762,1.540,2.194,-10.329
Average,VFC,103.465,27.918,14.762,1.540,2.194,-10.329
2018-01-01_2020-01-01,AEE,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AEE,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,JEC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,JEC,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,GNW,108.375,28.980,33.373,0.844,1.059,-53.996
Average,GNW,108.375,28.980,33.373,0.844,1.059,-53.996
2010-01-01_2012-01-01,DE,43.671,13.442,26.916,0.492,0.706,-36.974
Average,DE,43.671,13.442,26.916,0.492,0.706,-36.974
2009-01-01_2011-01-01,PEG,15.155,5.013,19.274,0.196,0.253,-26.365
2010-01-01_2012-01-01,PEG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PEG,7.578,2.506,9.637,0.098,0.126,-13.182
2011-01-01_2013-01-01,DUK,31.618,9.991,11.472,0.628,0.867,-12.164
Average,DUK,31.618,9.991,11.472,0.628,0.867,-12.164
2007-01-01_2009-01-01,AVP,-25.184,-9.568,33.961,-0.214,-0.320,-58.647
Average,AVP,-25.184,-9.568,33.961,-0.214,-0.320,-58.647
2018-01-01_2020-01-01,HAL,-48.958,-20.794,28.350,-0.784,-1.035,-68.503
Average,HAL,-48.958,-20.794,28.350,-0.784,-1.035,-68.503
2019-01-01_2021-01-01,TJX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TJX,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,EOG,0.000,0.000,0.000,0.000,0.000,-0.000
Average,EOG,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,ASN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,ASN,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,AW,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AW,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,RTN,2.726,0.937,24.312,0.038,0.037,-34.370
Average,RTN,2.726,0.937,24.312,0.038,0.037,-34.370
2011-01-01_2013-01-01,MO,0.000,0.000,0.000,0.000,0.000,-0.000
Average,MO,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,SCG,29.490,9.371,16.153,0.452,0.583,-21.807
Average,SCG,29.490,9.371,16.153,0.452,0.583,-21.807
2009-01-01_2011-01-01,PCAR,90.760,25.091,35.015,0.728,1.048,-34.262
2011-01-01_2013-01-01,PCAR,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PCAR,45.380,12.545,17.507,0.364,0.524,-17.131
2015-01-01_2017-01-01,PCP,0.000,0.000,0.000,0.000,0.000,-0.000
Average,PCP,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,LVS,-17.421,-6.446,40.906,-0.032,-0.073,-54.020
Average,LVS,-17.421,-6.446,40.906,-0.032,-0.073,-54.020
2017-01-01_2019-01-01,INTC,35.299,11.064,22.302,0.448,0.609,-25.189
2020-01-01_2022-01-01,INTC,0.000,0.000,0.000,0.000,0.000,-0.000
Average,INTC,17.650,5.532,11.151,0.224,0.305,-12.594
2015-01-01_2017-01-01,APH,27.212,8.701,15.778,0.419,0.579,-23.387
Average,APH,27.212,8.701,15.778,0.419,0.579,-23.387
2010-01-01_2012-01-01,JPM,0.000,0.000,0.000,0.000,0.000,-0.000
