Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,VFC,-15.849,-6.690,6.275,-1.503,-1.851,-18.270
Average,VFC,-15.849,-6.690,6.275,-1.503,-1.851,-18.270
2006-01-01_2008-01-01,ASN,-40.388,-21.413,18.583,-1.267,-1.189,-40.388
Average,ASN,-40.388,-21.413,18.583,-1.267,-1.189,-40.388
2015-01-01_2017-01-01,SCG,17.014,6.508,11.932,0.279,0.437,-12.844
Average,SCG,17.014,6.508,11.932,0.279,0.437,-12.844
2011-01-01_2013-01-01,DUK,-6.236,-2.551,6.688,-0.804,-0.955,-12.166
Average,DUK,-6.236,-2.551,6.688,-0.804,-0.955,-12.166
2009-01-01_2011-01-01,PCAR,-31.078,-13.873,14.165,-1.138,-1.455,-38.565
2011-01-01_2013-01-01,PCAR,-15.737,-6.640,15.539,-0.543,-0.690,-29.901
Average,PCAR,-23.407,-10.257,14.852,-0.841,-1.073,-34.233
2018-01-01_2020-01-01,AEE,-6.988,-2.865,4.194,-1.384,-1.616,-7.912
Average,AEE,-6.988,-2.865,4.194,-1.384,-1.616,-7.912
2010-01-01_2012-01-01,LM,-7.290,-3.006,19.076,-0.227,-0.291,-25.298
Average,LM,-7.290,-3.006,19.076,-0.227,-0.291,-25.298
2017-01-01_2019-01-01,INTC,8.404,3.296,15.760,0.062,0.128,-16.488
2020-01-01_2022-01-01,INTC,-16.574,-7.003,18.290,-0.457,-0.525,-28.906
Average,INTC,-4.085,-1.853,17.025,-0.197,-0.199,-22.697
2021-01-01_2023-01-01,LVS,-9.642,-4.006,28.600,-0.109,-0.116,-38.298
Average,LVS,-9.642,-4.006,28.600,-0.109,-0.116,-38.298
2019-01-01_2021-01-01,WYNN,-28.503,-12.578,32.855,-0.315,-0.364,-55.507
Average,WYNN,-28.503,-12.578,32.855,-0.315,-0.364,-55.507
2005-01-01_2007-01-01,CTX,12.731,4.950,14.597,0.156,0.263,-19.382
Average,CTX,12.731,4.950,14.597,0.156,0.263,-19.382
2011-01-01_2013-01-01,UNH,-33.769,-15.239,14.720,-1.191,-1.587,-39.664
Average,UNH,-33.769,-15.239,14.720,-1.191,-1.587,-39.664
2016-01-01_2018-01-01,SJM,14.840,5.738,9.494,0.254,0.459,-9.768
Average,SJM,14.840,5.738,9.494,0.254,0.459,-9.768
2004-01-01_2006-01-01,CVS,38.985,14.122,12.961,0.760,1.328,-9.323
Average,CVS,38.985,14.122,12.961,0.760,1.328,-9.323
2008-01-01_2010-01-01,MSI,9.352,3.647,28.049,0.135,0.224,-40.493
Average,MSI,9.352,3.647,28.049,0.135,0.224,-40.493
2013-01-01_2015-01-01,HON,-15.205,-6.404,5.372,-1.712,-1.993,-16.105
Average,HON,-15.205,-6.404,5.372,-1.712,-1.993,-16.105
2006-01-01_2008-01-01,AN,-3.364,-1.366,7.722,-0.542,-0.643,-13.898
Average,AN,-3.364,-1.366,7.722,-0.542,-0.643,-13.898
2014-01-01_2016-01-01,HPQ,7.180,2.822,12.260,0.007,0.069,-15.712
Average,HPQ,7.180,2.822,12.260,0.007,0.069,-15.712
2016-01-01_2018-01-01,WY,-26.749,-11.795,9.851,-1.460,-1.772,-33.491
Average,WY,-26.749,-11.795,9.851,-1.460,-1.772,-33.491
2004-01-01_2006-01-01,AAPL,-11.566,-4.813,12.183,-0.581,-0.740,-18.793
Average,AAPL,-11.566,-4.813,12.183,-0.581,-0.740,-18.793
2011-01-01_2013-01-01,MCK,-17.802,-7.565,12.115,-0.809,-0.956,-29.658
Average,MCK,-17.802,-7.565,12.115,-0.809,-0.956,-29.658
2021-01-01_2023-01-01,NLSN,-26.803,-13.389,32.132,-0.359,-0.421,-41.680
Average,NLSN,-26.803,-13.389,32.132,-0.359,-0.421,-41.680
2014-01-01_2016-01-01,NFLX,64.061,21.977,26.498,0.695,1.262,-27.070
Average,NFLX,64.061,21.977,26.498,0.695,1.262,-27.070
2006-01-01_2008-01-01,NOV,32.638,12.022,24.407,0.415,0.612,-22.443
Average,NOV,32.638,12.022,24.407,0.415,0.612,-22.443
2008-01-01_2010-01-01,AMGN,7.294,2.861,19.794,0.062,0.120,-38.351
Average,AMGN,7.294,2.861,19.794,0.062,0.120,-38.351
2011-01-01_2013-01-01,MO,2.989,1.189,7.382,-0.249,-0.285,-9.119
Average,MO,2.989,1.189,7.382,-0.249,-0.285,-9.119
2009-01-01_2011-01-01,PEG,-10.454,-4.334,9.293,-0.743,-0.931,-14.447
2010-01-01_2012-01-01,PEG,-21.097,-9.112,11.761,-0.970,-1.267,-27.529
Average,PEG,-15.775,-6.723,10.527,-0.857,-1.099,-20.988
2013-01-01_2015-01-01,AMP,-21.726,-9.362,7.228,-1.669,-1.935,-22.446
Average,AMP,-21.726,-9.362,7.228,-1.669,-1.935,-22.446
2005-01-01_2007-01-01,LNC,35.750,13.115,11.425,0.775,1.265,-8.601
Average,LNC,35.750,13.115,11.425,0.775,1.265,-8.601
2008-01-01_2010-01-01,HOG,-4.312,-1.750,24.058,-0.089,-0.096,-35.752
Average,HOG,-4.312,-1.750,24.058,-0.089,-0.096,-35.752
2015-01-01_2017-01-01,APH,-3.934,-1.598,11.251,-0.364,-0.449,-19.883
Average,APH,-3.934,-1.598,11.251,-0.364,-0.449,-19.883
