Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,VFC,20.767,10.483,8.714,0.541,1.213,-6.112
Average,VFC,20.767,10.483,8.714,0.541,1.213,-6.112
2006-01-01_2008-01-01,ASN,-2.332,-1.513,6.413,-0.753,-0.839,-7.341
Average,ASN,-2.332,-1.513,6.413,-0.753,-0.839,-7.341
2015-01-01_2017-01-01,SCG,18.807,9.532,9.316,0.436,1.025,-5.061
Average,SCG,18.807,9.532,9.316,0.436,1.025,-5.061
2011-01-01_2013-01-01,DUK,15.509,7.915,6.982,0.387,1.090,-4.917
Average,DUK,15.509,7.915,6.982,0.387,1.090,-4.917
2009-01-01_2011-01-01,PCAR,21.177,10.681,11.819,0.433,1.011,-13.795
2011-01-01_2013-01-01,PCAR,1.209,0.637,2.136,-1.463,-1.824,-1.578
Average,PCAR,11.193,5.659,6.978,-0.515,-0.407,-7.686
2018-01-01_2020-01-01,AEE,-10.798,-5.858,7.501,-1.108,-1.398,-11.605
Average,AEE,-10.798,-5.858,7.501,-1.108,-1.398,-11.605
2010-01-01_2012-01-01,LM,-8.226,-4.461,6.673,-1.074,-1.360,-10.775
Average,LM,-8.226,-4.461,6.673,-1.074,-1.360,-10.775
2017-01-01_2019-01-01,INTC,14.907,7.633,14.737,0.215,0.537,-18.417
2020-01-01_2022-01-01,INTC,-2.125,-1.126,9.238,-0.458,-0.530,-7.186
Average,INTC,6.391,3.254,11.988,-0.121,0.003,-12.801
2021-01-01_2023-01-01,LVS,12.529,6.477,8.050,0.208,0.721,-4.942
Average,LVS,12.529,6.477,8.050,0.208,0.721,-4.942
2019-01-01_2021-01-01,WYNN,-0.637,-0.337,7.744,-0.476,-0.537,-6.608
Average,WYNN,-0.637,-0.337,7.744,-0.476,-0.537,-6.608
2005-01-01_2007-01-01,CTX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,CTX,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,UNH,-14.411,-7.892,5.760,-1.765,-2.161,-16.196
Average,UNH,-14.411,-7.892,5.760,-1.765,-2.161,-16.196
2016-01-01_2018-01-01,SJM,0.000,0.000,0.000,0.000,0.000,-0.000
Average,SJM,0.000,0.000,0.000,0.000,0.000,-0.000
2004-01-01_2006-01-01,CVS,8.892,4.603,10.432,0.040,0.336,-8.802
Average,CVS,8.892,4.603,10.432,0.040,0.336,-8.802
2008-01-01_2010-01-01,MSI,-8.986,-4.843,10.886,-0.662,-1.030,-16.991
Average,MSI,-8.986,-4.843,10.886,-0.662,-1.030,-16.991
2013-01-01_2015-01-01,HON,-3.151,-1.677,6.268,-0.777,-0.957,-6.586
Average,HON,-3.151,-1.677,6.268,-0.777,-0.957,-6.586
2006-01-01_2008-01-01,AN,-1.060,-0.562,3.084,-1.322,-1.434,-4.170
Average,AN,-1.060,-0.562,3.084,-1.322,-1.434,-4.170
2014-01-01_2016-01-01,HPQ,-4.509,-2.408,5.556,-0.991,-1.326,-9.253
Average,HPQ,-4.509,-2.408,5.556,-0.991,-1.326,-9.253
2016-01-01_2018-01-01,WY,-0.234,-0.124,6.704,-0.534,-0.561,-5.840
Average,WY,-0.234,-0.124,6.704,-0.534,-0.561,-5.840
2004-01-01_2006-01-01,AAPL,176.412,71.110,21.716,1.914,4.540,-8.163
Average,AAPL,176.412,71.110,21.716,1.914,4.540,-8.163
2011-01-01_2013-01-01,MCK,5.154,2.691,5.493,-0.252,-0.046,-3.544
Average,MCK,5.154,2.691,5.493,-0.252,-0.046,-3.544
2021-01-01_2023-01-01,NLSN,-94.237,-83.732,77.481,-0.566,-0.686,-95.023
Average,NLSN,-94.237,-83.732,77.481,-0.566,-0.686,-95.023
2014-01-01_2016-01-01,NFLX,-8.883,-4.796,17.985,-0.355,-0.603,-27.414
Average,NFLX,-8.883,-4.796,17.985,-0.355,-0.603,-27.414
2006-01-01_2008-01-01,NOV,67.475,31.390,20.161,0.995,2.018,-11.287
Average,NOV,67.475,31.390,20.161,0.995,2.018,-11.287
2008-01-01_2010-01-01,AMGN,-0.021,-0.011,6.020,-0.585,-0.624,-6.222
Average,AMGN,-0.021,-0.011,6.020,-0.585,-0.624,-6.222
2011-01-01_2013-01-01,MO,22.757,11.441,7.095,0.748,1.633,-4.764
Average,MO,22.757,11.441,7.095,0.748,1.633,-4.764
2009-01-01_2011-01-01,PEG,-5.325,-2.849,5.281,-1.114,-1.354,-8.411
2010-01-01_2012-01-01,PEG,-3.023,-1.619,5.036,-0.969,-1.094,-7.367
Average,PEG,-4.174,-2.234,5.158,-1.042,-1.224,-7.889
2013-01-01_2015-01-01,AMP,21.890,11.024,9.493,0.545,1.219,-5.737
Average,AMP,21.890,11.024,9.493,0.545,1.219,-5.737
2005-01-01_2007-01-01,LNC,1.502,0.796,8.049,-0.343,-0.339,-7.524
Average,LNC,1.502,0.796,8.049,-0.343,-0.339,-7.524
2008-01-01_2010-01-01,HOG,-23.459,-13.146,15.264,-0.926,-1.448,-23.459
Average,HOG,-23.459,-13.146,15.264,-0.926,-1.448,-23.459
2015-01-01_2017-01-01,APH,2.786,1.462,5.771,-0.407,-0.302,-4.905
Average,APH,2.786,1.462,5.771,-0.407,-0.302,-4.905
2007-01-01_2009-01-01,TRV,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,TRV,-0.581,-0.309,9.931,-0.354,-0.401,-8.474
Average,TRV,-0.291,-0.155,4.965,-0.177,-0.200,-4.237
2012-01-01_2014-01-01,KMB,9.917,5.122,6.316,0.087,0.599,-4.926
Average,KMB,9.917,5.122,6.316,0.087,0.599,-4.926
2005-01-01_2007-01-01,MERQ,-93.032,-79.468,76.014,-0.433,-0.515,-94.832
Average,MERQ,-93.032,-79.468,76.014,-0.433,-0.515,-94.832
2005-01-01_2007-01-01,AW,24.483,12.348,11.657,0.541,1.116,-11.738
Average,AW,24.483,12.348,11.657,0.541,1.116,-11.738
2013-01-01_2015-01-01,WFC,1.876,0.987,6.710,-0.400,-0.353,-8.496
Average,WFC,1.876,0.987,6.710,-0.400,-0.353,-8.496
2021-01-01_2023-01-01,HBI,0.000,0.000,0.000,0.000,0.000,-0.000
Average,HBI,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,UTX,-1.836,-0.974,4.071,-1.077,-1.176,-6.161
Average,UTX,-1.836,-0.974,4.071,-1.077,-1.176,-6.161
2010-01-01_2012-01-01,JPM,4.529,2.383,6.039,-0.267,-0.100,-3.936
Average,JPM,4.529,2.383,6.039,-0.267,-0.100,-3.936
2014-01-01_2016-01-01,FFIV,-2.367,-1.258,5.283,-0.865,-1.047,-5.807
Average,FFIV,-2.367,-1.258,5.283,-0.865,-1.047,-5.807
2010-01-01_2012-01-01,DE,9.843,5.118,9.026,0.078,0.421,-7.743
Average,DE,9.843,5.118,9.026,0.078,0.421,-7.743
2012-01-01_2014-01-01,COG,14.047,7.191,16.999,0.183,0.523,-15.332
Average,COG,14.047,7.191,16.999,0.183,0.523,-15.332
2014-01-01_2016-01-01,COF,-5.165,-2.763,10.513,-0.519,-0.538,-14.461
2017-01-01_2019-01-01,COF,12.423,6.396,5.519,0.268,1.117,-3.725
Average,COF,3.629,1.817,8.016,-0.125,0.290,-9.093
2004-01-01_2006-01-01,PTC,-0.019,-0.010,18.061,-0.126,-0.081,-18.377
Average,PTC,-0.019,-0.010,18.061,-0.126,-0.081,-18.377
2006-01-01_2008-01-01,IPG,8.674,4.502,8.190,0.022,0.313,-6.731
Average,IPG,8.674,4.502,8.190,0.022,0.313,-6.731
