Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2012-01-01_2014-01-01,BBBY,9.623,3.231,8.213,0.068,0.105,-7.837
Average,BBBY,9.623,3.231,8.213,0.068,0.105,-7.837
2008-01-01_2010-01-01,BDX,-4.245,-1.488,12.510,-0.293,-0.349,-20.462
Average,BDX,-4.245,-1.488,12.510,-0.293,-0.349,-20.462
2011-01-01_2013-01-01,DUK,14.613,4.834,5.303,0.359,0.592,-7.147
Average,DUK,14.613,4.834,5.303,0.359,0.592,-7.147
2005-01-01_2007-01-01,AW,21.029,6.859,12.528,0.356,0.523,-8.393
Average,AW,21.029,6.859,12.528,0.356,0.523,-8.393
2022-01-01_2024-01-01,DXCM,51.799,15.613,19.069,0.700,1.192,-16.649
Average,DXCM,51.799,15.613,19.069,0.700,1.192,-16.649
2012-01-01_2014-01-01,GNW,30.964,9.787,19.151,0.427,0.683,-23.097
Average,GNW,30.964,9.787,19.151,0.427,0.683,-23.097
2004-01-01_2006-01-01,AAPL,-7.949,-2.826,14.501,-0.330,-0.473,-21.723
Average,AAPL,-7.949,-2.826,14.501,-0.330,-0.473,-21.723
2021-01-01_2023-01-01,HBI,-8.415,-3.009,15.739,-0.303,-0.413,-20.020
Average,HBI,-8.415,-3.009,15.739,-0.303,-0.413,-20.020
2008-01-01_2010-01-01,CAG,-2.366,-0.824,11.501,-0.271,-0.337,-14.483
Average,CAG,-2.366,-0.824,11.501,-0.271,-0.337,-14.483
2013-01-01_2015-01-01,VFC,16.445,5.411,6.457,0.390,0.579,-5.788
Average,VFC,16.445,5.411,6.457,0.390,0.579,-5.788
2007-01-01_2009-01-01,CPB,6.972,2.360,10.755,-0.005,-0.006,-12.480
Average,CPB,6.972,2.360,10.755,-0.005,-0.006,-12.480
2012-01-01_2014-01-01,COG,-14.496,-5.277,12.462,-0.610,-0.863,-17.050
Average,COG,-14.496,-5.277,12.462,-0.610,-0.863,-17.050
2013-01-01_2015-01-01,ICE,18.465,6.041,9.036,0.367,0.549,-10.232
Average,ICE,18.465,6.041,9.036,0.367,0.549,-10.232
2011-01-01_2013-01-01,MO,9.600,3.224,6.058,0.066,0.089,-7.866
Average,MO,9.600,3.224,6.058,0.066,0.089,-7.866
2022-01-01_2024-01-01,EOG,13.767,4.585,15.578,0.175,0.265,-21.887
Average,EOG,13.767,4.585,15.578,0.175,0.265,-21.887
2016-01-01_2018-01-01,WY,4.310,1.477,9.447,-0.111,-0.159,-18.347
Average,WY,4.310,1.477,9.447,-0.111,-0.159,-18.347
2013-01-01_2015-01-01,HON,-6.383,-2.257,6.254,-0.807,-1.076,-12.398
Average,HON,-6.383,-2.257,6.254,-0.807,-1.076,-12.398
2009-01-01_2011-01-01,PEG,9.887,3.318,11.122,0.083,0.124,-17.528
2010-01-01_2012-01-01,PEG,0.322,0.112,8.645,-0.286,-0.406,-18.922
Average,PEG,5.105,1.715,9.884,-0.102,-0.141,-18.225
2005-01-01_2007-01-01,MERQ,-10.726,-4.196,22.023,-0.207,-0.226,-39.572
Average,MERQ,-10.726,-4.196,22.023,-0.207,-0.226,-39.572
2009-01-01_2011-01-01,PCAR,38.318,11.883,18.490,0.539,0.847,-15.956
2011-01-01_2013-01-01,PCAR,-11.883,-4.285,14.132,-0.449,-0.610,-24.480
Average,PCAR,13.217,3.799,16.311,0.045,0.118,-20.218
2014-01-01_2016-01-01,FFIV,-7.351,-2.608,11.583,-0.425,-0.530,-18.366
Average,FFIV,-7.351,-2.608,11.583,-0.425,-0.530,-18.366
2015-01-01_2017-01-01,PCP,4.162,2.705,7.925,0.002,0.005,-4.698
Average,PCP,4.162,2.705,7.925,0.002,0.005,-4.698
2004-01-01_2006-01-01,XOM,13.574,4.505,8.491,0.213,0.302,-9.847
Average,XOM,13.574,4.505,8.491,0.213,0.302,-9.847
2007-01-01_2009-01-01,TRV,38.613,11.966,25.015,0.457,0.672,-17.971
2021-01-01_2023-01-01,TRV,3.038,1.046,8.955,-0.170,-0.248,-9.883
