Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,VFC,-15.273,-6.434,7.591,-1.198,-1.497,-19.967
Average,VFC,-15.273,-6.434,7.591,-1.198,-1.497,-19.967
2006-01-01_2008-01-01,ASN,-78.424,-51.049,55.126,-0.633,-0.567,-81.168
Average,ASN,-78.424,-51.049,55.126,-0.633,-0.567,-81.168
2015-01-01_2017-01-01,SCG,16.273,6.237,12.177,0.256,0.398,-16.077
Average,SCG,16.273,6.237,12.177,0.256,0.398,-16.077
2011-01-01_2013-01-01,DUK,-7.973,-3.279,6.659,-0.913,-1.107,-12.611
Average,DUK,-7.973,-3.279,6.659,-0.913,-1.107,-12.611
2009-01-01_2011-01-01,PCAR,-41.122,-19.148,16.063,-1.350,-1.515,-47.515
2011-01-01_2013-01-01,PCAR,-5.807,-2.372,15.832,-0.269,-0.322,-23.357
Average,PCAR,-23.464,-10.760,15.948,-0.809,-0.919,-35.436
2018-01-01_2020-01-01,AEE,-11.780,-4.905,4.882,-1.587,-1.836,-13.376
Average,AEE,-11.780,-4.905,4.882,-1.587,-1.836,-13.376
2010-01-01_2012-01-01,LM,-16.963,-7.221,19.157,-0.441,-0.578,-29.777
Average,LM,-16.963,-7.221,19.157,-0.441,-0.578,-29.777
2017-01-01_2019-01-01,INTC,9.590,3.749,15.268,0.086,0.163,-17.102
2020-01-01_2022-01-01,INTC,-16.636,-7.030,19.154,-0.430,-0.499,-27.671
Average,INTC,-3.523,-1.640,17.211,-0.172,-0.168,-22.387
2021-01-01_2023-01-01,LVS,13.716,5.319,25.824,0.183,0.272,-22.191
Average,LVS,13.716,5.319,25.824,0.183,0.272,-22.191
2019-01-01_2021-01-01,WYNN,-34.625,-15.657,33.193,-0.407,-0.456,-55.851
Average,WYNN,-34.625,-15.657,33.193,-0.407,-0.456,-55.851
2005-01-01_2007-01-01,CTX,17.534,6.731,14.677,0.263,0.389,-14.245
Average,CTX,17.534,6.731,14.677,0.263,0.389,-14.245
2011-01-01_2013-01-01,UNH,-25.082,-10.942,13.122,-1.002,-1.322,-32.936
Average,UNH,-25.082,-10.942,13.122,-1.002,-1.322,-32.936
2016-01-01_2018-01-01,SJM,-3.850,-1.571,9.653,-0.437,-0.484,-13.936
Average,SJM,-3.850,-1.571,9.653,-0.437,-0.484,-13.936
2004-01-01_2006-01-01,CVS,32.748,12.039,13.069,0.624,1.108,-8.389
Average,CVS,32.748,12.039,13.069,0.624,1.108,-8.389
2008-01-01_2010-01-01,MSI,-0.329,-0.132,26.818,0.000,0.025,-39.804
Average,MSI,-0.329,-0.132,26.818,0.000,0.025,-39.804
2013-01-01_2015-01-01,HON,-18.413,-7.841,6.235,-1.698,-1.997,-19.311
Average,HON,-18.413,-7.841,6.235,-1.698,-1.997,-19.311
2006-01-01_2008-01-01,AN,30.355,11.243,12.463,0.596,0.980,-11.500
