Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2013-01-01_2015-01-01,VFC,-1.875,-0.653,4.602,-0.762,-0.997,-7.259
Average,VFC,-1.875,-0.653,4.602,-0.762,-0.997,-7.259
2006-01-01_2008-01-01,ASN,11.900,4.519,7.555,0.231,0.366,-6.446
Average,ASN,11.900,4.519,7.555,0.231,0.366,-6.446
2015-01-01_2017-01-01,SCG,-11.305,-4.068,9.946,-0.665,-0.811,-24.554
Average,SCG,-11.305,-4.068,9.946,-0.665,-0.811,-24.554
2011-01-01_2013-01-01,DUK,9.822,3.296,3.590,0.097,0.173,-2.511
Average,DUK,9.822,3.296,3.590,0.097,0.173,-2.511
2009-01-01_2011-01-01,PCAR,7.327,2.478,11.102,0.009,0.014,-15.765
2011-01-01_2013-01-01,PCAR,-14.609,-5.320,14.753,-0.497,-0.636,-31.688
Average,PCAR,-3.641,-1.421,12.927,-0.244,-0.311,-23.727
2018-01-01_2020-01-01,AEE,10.583,3.543,6.435,0.113,0.176,-5.145
Average,AEE,10.583,3.543,6.435,0.113,0.176,-5.145
2010-01-01_2012-01-01,LM,8.425,2.852,22.623,0.106,0.150,-19.932
Average,LM,8.425,2.852,22.623,0.106,0.150,-19.932
2017-01-01_2019-01-01,INTC,-0.313,-0.109,1.207,-2.536,-3.659,-1.951
2020-01-01_2022-01-01,INTC,-25.205,-9.552,20.713,-0.518,-0.574,-31.254
Average,INTC,-12.759,-4.830,10.960,-1.527,-2.117,-16.603
2021-01-01_2023-01-01,LVS,-9.792,-3.519,19.916,-0.230,-0.330,-38.695
Average,LVS,-9.792,-3.519,19.916,-0.230,-0.330,-38.695
2019-01-01_2021-01-01,WYNN,9.521,3.194,35.463,0.187,0.255,-50.092
Average,WYNN,9.521,3.194,35.463,0.187,0.255,-50.092
2005-01-01_2007-01-01,CTX,-11.315,-4.088,21.965,-0.215,-0.312,-32.639
Average,CTX,-11.315,-4.088,21.965,-0.215,-0.312,-32.639
2011-01-01_2013-01-01,UNH,0.393,0.136,8.689,-0.281,-0.358,-18.705
Average,UNH,0.393,0.136,8.689,-0.281,-0.358,-18.705
2016-01-01_2018-01-01,SJM,-6.484,-2.303,5.163,-0.998,-1.166,-11.554
Average,SJM,-6.484,-2.303,5.163,-0.998,-1.166,-11.554
2004-01-01_2006-01-01,CVS,14.347,4.750,4.335,0.409,0.820,-3.532
Average,CVS,14.347,4.750,4.335,0.409,0.820,-3.532
2008-01-01_2010-01-01,MSI,-42.755,-17.538,52.830,-0.158,-0.227,-76.653
Average,MSI,-42.755,-17.538,52.830,-0.158,-0.227,-76.653
2013-01-01_2015-01-01,HON,5.655,1.922,1.945,-0.533,-1.456,-0.965
Average,HON,5.655,1.922,1.945,-0.533,-1.456,-0.965
2006-01-01_2008-01-01,AN,6.857,2.325,10.151,-0.015,-0.022,-13.691
Average,AN,6.857,2.325,10.151,-0.015,-0.022,-13.691
2014-01-01_2016-01-01,HPQ,-4.841,-1.703,5.563,-0.813,-1.167,-6.488
Average,HPQ,-4.841,-1.703,5.563,-0.813,-1.167,-6.488
2016-01-01_2018-01-01,WY,-4.876,-1.723,9.700,-0.436,-0.578,-14.797
Average,WY,-4.876,-1.723,9.700,-0.436,-0.578,-14.797
2004-01-01_2006-01-01,AAPL,0.387,0.134,3.902,-0.705,-1.080,-4.806
Average,AAPL,0.387,0.134,3.902,-0.705,-1.080,-4.806
2011-01-01_2013-01-01,MCK,0.751,0.259,5.155,-0.499,-0.951,-4.002
Average,MCK,0.751,0.259,5.155,-0.499,-0.951,-4.002
2021-01-01_2023-01-01,NLSN,7.997,3.042,4.676,0.031,0.048,-5.037
Average,NLSN,7.997,3.042,4.676,0.031,0.048,-5.037
2014-01-01_2016-01-01,NFLX,0.693,0.239,6.726,-0.371,-0.470,-14.526
Average,NFLX,0.693,0.239,6.726,-0.371,-0.470,-14.526
2006-01-01_2008-01-01,NOV,23.793,7.679,10.990,0.459,0.729,-9.060
Average,NOV,23.793,7.679,10.990,0.459,0.729,-9.060
2008-01-01_2010-01-01,AMGN,82.842,23.195,19.692,1.005,1.818,-17.821
Average,AMGN,82.842,23.195,19.692,1.005,1.818,-17.821
2011-01-01_2013-01-01,MO,16.336,5.377,10.830,0.265,0.334,-14.705
Average,MO,16.336,5.377,10.830,0.265,0.334,-14.705
2009-01-01_2011-01-01,PEG,16.357,5.384,7.937,0.327,0.580,-6.055
2010-01-01_2012-01-01,PEG,4.434,1.519,5.605,-0.232,-0.424,-5.078
Average,PEG,10.395,3.452,6.771,0.048,0.078,-5.566
2013-01-01_2015-01-01,AMP,37.788,11.735,11.198,0.783,1.115,-12.938
Average,AMP,37.788,11.735,11.198,0.783,1.115,-12.938
2005-01-01_2007-01-01,LNC,21.089,6.877,6.972,0.564,0.922,-4.834
Average,LNC,21.089,6.877,6.972,0.564,0.922,-4.834
2008-01-01_2010-01-01,HOG,-28.479,-10.941,58.118,0.038,0.053,-80.072
Average,HOG,-28.479,-10.941,58.118,0.038,0.053,-80.072
2015-01-01_2017-01-01,APH,18.090,5.925,4.601,0.631,1.652,-2.535
Average,APH,18.090,5.925,4.601,0.631,1.652,-2.535
2007-01-01_2009-01-01,TRV,44.731,13.652,20.538,0.581,0.888,-22.999
2021-01-01_2023-01-01,TRV,7.853,2.662,2.775,-0.106,-0.344,-1.326
Average,TRV,26.292,8.157,11.656,0.237,0.272,-12.163
2012-01-01_2014-01-01,KMB,5.989,2.034,8.851,-0.063,-0.078,-11.349
Average,KMB,5.989,2.034,8.851,-0.063,-0.078,-11.349
2005-01-01_2007-01-01,MERQ,13.326,4.781,11.092,0.209,0.315,-8.071
Average,MERQ,13.326,4.781,11.092,0.209,0.315,-8.071
2005-01-01_2007-01-01,AW,10.867,3.651,9.978,0.112,0.178,-18.442
Average,AW,10.867,3.651,9.978,0.112,0.178,-18.442
2013-01-01_2015-01-01,WFC,20.790,6.757,4.627,0.796,1.486,-3.582
Average,WFC,20.790,6.757,4.627,0.796,1.486,-3.582
2021-01-01_2023-01-01,HBI,-23.208,-8.770,17.143,-0.622,-0.816,-38.139
Average,HBI,-23.208,-8.770,17.143,-0.622,-0.816,-38.139
2007-01-01_2009-01-01,UTX,19.381,6.324,19.832,0.257,0.412,-23.665
Average,UTX,19.381,6.324,19.832,0.257,0.412,-23.665
2010-01-01_2012-01-01,JPM,9.845,3.318,10.462,0.081,0.123,-11.683
Average,JPM,9.845,3.318,10.462,0.081,0.123,-11.683
2014-01-01_2016-01-01,FFIV,9.880,3.315,5.387,0.083,0.126,-5.463
Average,FFIV,9.880,3.315,5.387,0.083,0.126,-5.463
2010-01-01_2012-01-01,DE,5.345,1.826,7.077,-0.127,-0.196,-6.370
