Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,-14.432,-5.252,6.674,-1.218,-1.639,-14.870
2005-01-01_2007-01-01,MSFT,-13.955,-5.090,9.290,-0.833,-0.898,-18.121
2006-01-01_2008-01-01,MSFT,5.676,1.932,12.118,-0.024,-0.028,-15.142
2007-01-01_2009-01-01,MSFT,32.876,10.340,21.474,0.427,0.644,-19.389
2008-01-01_2010-01-01,MSFT,45.781,13.917,22.444,0.561,0.785,-27.940
2009-01-01_2011-01-01,MSFT,19.521,6.367,14.252,0.296,0.433,-17.647
2010-01-01_2012-01-01,MSFT,-3.734,-1.314,12.440,-0.282,-0.375,-16.645
2011-01-01_2013-01-01,MSFT,11.147,3.726,12.427,0.118,0.187,-9.496
2012-01-01_2014-01-01,MSFT,35.676,11.139,13.942,0.616,0.796,-13.352
2013-01-01_2015-01-01,MSFT,19.587,6.387,10.588,0.359,0.452,-19.090
2014-01-01_2016-01-01,MSFT,16.743,5.505,11.673,0.264,0.392,-11.661
2015-01-01_2017-01-01,MSFT,25.227,8.098,12.078,0.460,0.683,-11.180
2016-01-01_2018-01-01,MSFT,4.965,1.699,9.697,-0.083,-0.113,-10.061
2017-01-01_2019-01-01,MSFT,41.270,12.723,13.606,0.730,1.039,-10.640
2018-01-01_2020-01-01,MSFT,46.079,14.018,15.275,0.741,1.074,-16.462
2019-01-01_2021-01-01,MSFT,66.717,19.326,15.090,1.050,1.517,-12.800
2020-01-01_2022-01-01,MSFT,36.242,11.283,15.931,0.565,0.797,-19.208
2021-01-01_2023-01-01,MSFT,56.568,16.863,16.363,0.853,1.239,-12.808
2022-01-01_2024-01-01,MSFT,86.812,24.261,17.189,1.177,1.865,-12.799
Average,MSFT,27.303,8.207,13.819,0.304,0.466,-15.227
2013-01-01_2015-01-01,TSLA,84.086,23.520,23.057,0.902,1.405,-21.630
2014-01-01_2016-01-01,TSLA,-32.970,-12.931,21.386,-0.678,-0.834,-48.101
2015-01-01_2017-01-01,TSLA,-2.539,-0.886,21.712,-0.068,-0.085,-36.720
2016-01-01_2018-01-01,TSLA,47.216,14.388,19.649,0.632,0.853,-22.384
2017-01-01_2019-01-01,TSLA,133.836,34.238,26.735,1.122,1.750,-20.423
2018-01-01_2020-01-01,TSLA,82.408,23.129,31.364,0.724,1.016,-24.230
2019-01-01_2021-01-01,TSLA,503.766,86.179,31.724,2.028,2.895,-26.864
2020-01-01_2022-01-01,TSLA,178.128,42.418,34.392,1.115,1.638,-34.558
2021-01-01_2023-01-01,TSLA,46.930,14.310,31.902,0.486,0.672,-29.823
2022-01-01_2024-01-01,TSLA,57.145,17.012,34.203,0.545,0.724,-39.766
Average,TSLA,109.801,24.138,27.612,0.681,1.003,-30.450
2005-01-01_2007-01-01,NFLX,-21.556,-8.093,23.426,-0.370,-0.512,-31.289
2006-01-01_2008-01-01,NFLX,-7.405,-2.632,19.810,-0.185,-0.262,-20.005
2007-01-01_2009-01-01,NFLX,3.243,1.111,33.410,0.111,0.159,-44.578
2008-01-01_2010-01-01,NFLX,124.808,32.316,34.619,0.896,1.288,-25.003
2009-01-01_2011-01-01,NFLX,242.721,53.169,28.432,1.531,3.157,-14.933
2010-01-01_2012-01-01,NFLX,72.925,20.970,28.462,0.703,1.129,-30.027
2011-01-01_2013-01-01,NFLX,26.659,8.525,29.755,0.323,0.466,-35.062
2012-01-01_2014-01-01,NFLX,259.169,55.675,29.902,1.529,2.431,-24.327
2013-01-01_2015-01-01,NFLX,43.665,13.362,23.090,0.532,0.705,-42.927
2014-01-01_2016-01-01,NFLX,43.801,13.399,22.073,0.549,0.715,-29.829
2015-01-01_2017-01-01,NFLX,149.419,37.214,21.957,1.414,2.533,-14.687
2016-01-01_2018-01-01,NFLX,57.334,17.061,19.117,0.763,1.160,-14.711
2017-01-01_2019-01-01,NFLX,80.974,22.828,20.189,0.973,1.348,-23.981
2018-01-01_2020-01-01,NFLX,80.867,22.768,23.198,0.873,1.191,-27.597
2019-01-01_2021-01-01,NFLX,98.595,26.766,21.019,1.092,1.649,-13.992
2020-01-01_2022-01-01,NFLX,46.715,14.169,20.821,0.598,0.804,-16.444
2021-01-01_2023-01-01,NFLX,3.082,1.061,28.048,0.085,0.097,-43.946
2022-01-01_2024-01-01,NFLX,41.138,12.723,31.923,0.451,0.572,-42.871
Average,NFLX,74.786,19.022,25.514,0.659,1.035,-27.567
2004-01-01_2006-01-01,AMZN,-6.434,-2.276,16.927,-0.225,-0.298,-27.583
2005-01-01_2007-01-01,AMZN,-11.228,-4.055,21.003,-0.231,-0.282,-36.368
2006-01-01_2008-01-01,AMZN,44.103,13.501,25.688,0.503,0.781,-27.955
2007-01-01_2009-01-01,AMZN,-21.685,-8.113,27.260,-0.284,-0.422,-43.866
2008-01-01_2010-01-01,AMZN,47.949,14.500,35.228,0.474,0.742,-22.674
2009-01-01_2011-01-01,AMZN,10.971,3.669,21.163,0.135,0.204,-21.245
2010-01-01_2012-01-01,AMZN,46.054,14.073,21.798,0.576,0.843,-14.890
2011-01-01_2013-01-01,AMZN,21.695,7.033,18.092,0.302,0.421,-13.836
2012-01-01_2014-01-01,AMZN,-6.180,-2.184,15.876,-0.246,-0.337,-18.598
2013-01-01_2015-01-01,AMZN,9.382,3.153,14.421,0.082,0.118,-14.132
2014-01-01_2016-01-01,AMZN,30.046,9.520,13.783,0.514,0.717,-14.581
2015-01-01_2017-01-01,AMZN,32.819,10.323,16.174,0.504,0.762,-21.005
2016-01-01_2018-01-01,AMZN,14.556,4.837,11.240,0.213,0.276,-17.343
2017-01-01_2019-01-01,AMZN,82.108,23.094,12.714,1.465,2.204,-8.412
2018-01-01_2020-01-01,AMZN,85.771,23.910,15.870,1.244,1.671,-14.985
2019-01-01_2021-01-01,AMZN,116.253,30.554,16.450,1.523,2.308,-9.453
2020-01-01_2022-01-01,AMZN,-4.314,-1.513,16.915,-0.180,-0.220,-19.684
2021-01-01_2023-01-01,AMZN,2.248,0.776,20.154,-0.009,-0.012,-17.205
2022-01-01_2024-01-01,AMZN,6.250,2.129,22.439,0.074,0.101,-27.821
Average,AMZN,26.335,7.523,19.115,0.339,0.504,-20.612
Average,All,52.474,13.373,20.623,0.468,0.714,-22.449
