Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,-2.852,-1.016,5.379,-0.717,-1.120,-11.886
2005-01-01_2007-01-01,MSFT,14.844,5.028,4.815,0.412,0.962,-3.454
2006-01-01_2008-01-01,MSFT,12.072,4.110,9.869,0.150,0.233,-9.403
2007-01-01_2009-01-01,MSFT,-3.391,-1.210,17.424,-0.155,-0.228,-15.332
2008-01-01_2010-01-01,MSFT,37.236,11.802,17.964,0.536,0.890,-15.796
2009-01-01_2011-01-01,MSFT,8.572,2.945,13.617,0.058,0.098,-22.459
2010-01-01_2012-01-01,MSFT,-11.605,-4.278,12.964,-0.500,-0.692,-24.067
2011-01-01_2013-01-01,MSFT,10.116,3.460,11.254,0.089,0.141,-13.756
2012-01-01_2014-01-01,MSFT,32.718,10.506,8.784,0.829,1.736,-7.933
2013-01-01_2015-01-01,MSFT,45.817,14.239,8.054,1.305,3.063,-8.548
2014-01-01_2016-01-01,MSFT,15.238,5.133,7.606,0.296,0.505,-8.789
2015-01-01_2017-01-01,MSFT,19.252,6.411,9.624,0.376,0.646,-9.526
2016-01-01_2018-01-01,MSFT,20.743,6.909,6.854,0.563,0.946,-4.450
2017-01-01_2019-01-01,MSFT,31.222,10.080,12.106,0.598,0.932,-9.144
2018-01-01_2020-01-01,MSFT,34.590,11.054,12.021,0.674,1.060,-9.143
2019-01-01_2021-01-01,MSFT,14.972,5.040,4.693,0.424,1.029,-2.970
2020-01-01_2022-01-01,MSFT,27.188,8.846,8.099,0.707,1.351,-4.234
2021-01-01_2023-01-01,MSFT,12.392,4.227,18.061,0.150,0.229,-24.046
2022-01-01_2024-01-01,MSFT,15.925,5.377,17.553,0.212,0.313,-21.030
Average,MSFT,17.634,5.719,10.881,0.316,0.636,-11.893
2013-01-01_2015-01-01,TSLA,23.842,7.839,21.073,0.315,0.516,-28.867
2014-01-01_2016-01-01,TSLA,15.307,5.155,14.554,0.208,0.347,-12.529
2015-01-01_2017-01-01,TSLA,0.866,0.305,19.025,-0.047,-0.062,-27.259
2016-01-01_2018-01-01,TSLA,4.354,1.522,14.840,-0.027,-0.031,-24.780
2017-01-01_2019-01-01,TSLA,12.693,4.314,23.365,0.165,0.268,-26.922
2018-01-01_2020-01-01,TSLA,-12.372,-4.554,27.154,-0.147,-0.212,-35.391
2019-01-01_2021-01-01,TSLA,27.061,8.808,36.055,0.330,0.467,-49.148
2020-01-01_2022-01-01,TSLA,73.179,21.355,40.183,0.602,0.892,-48.591
2021-01-01_2023-01-01,TSLA,-50.345,-21.974,39.795,-0.495,-0.666,-66.105
2022-01-01_2024-01-01,TSLA,-56.487,-25.541,36.573,-0.697,-0.895,-65.564
Average,TSLA,3.810,-0.277,27.262,0.021,0.062,-38.516
2005-01-01_2007-01-01,NFLX,3.702,1.297,24.589,0.055,0.079,-35.587
2006-01-01_2008-01-01,NFLX,-3.667,-1.312,23.216,-0.065,-0.078,-46.290
2007-01-01_2009-01-01,NFLX,6.826,2.358,27.819,0.114,0.162,-38.828
2008-01-01_2010-01-01,NFLX,3.553,1.238,28.051,0.076,0.109,-38.572
2009-01-01_2011-01-01,NFLX,1.983,0.695,16.363,-0.061,-0.087,-19.290
2010-01-01_2012-01-01,NFLX,-54.402,-24.296,36.737,-0.630,-0.741,-74.174
2011-01-01_2013-01-01,NFLX,-54.427,-24.222,42.593,-0.488,-0.600,-82.148
2012-01-01_2014-01-01,NFLX,31.937,10.276,24.912,0.390,0.644,-43.857
2013-01-01_2015-01-01,NFLX,64.930,19.315,17.704,0.904,1.800,-17.933
2014-01-01_2016-01-01,NFLX,92.037,25.898,21.955,1.008,1.878,-18.477
2015-01-01_2017-01-01,NFLX,21.359,7.071,19.368,0.291,0.443,-26.312
2016-01-01_2018-01-01,NFLX,26.483,8.683,14.378,0.437,0.664,-10.958
2017-01-01_2019-01-01,NFLX,25.663,8.409,12.073,0.474,0.780,-10.758
2018-01-01_2020-01-01,NFLX,-7.109,-2.569,16.311,-0.260,-0.350,-34.143
2019-01-01_2021-01-01,NFLX,-0.641,-0.226,21.905,-0.038,-0.049,-35.364
2020-01-01_2022-01-01,NFLX,56.461,17.090,21.755,0.686,1.135,-22.005
2021-01-01_2023-01-01,NFLX,-46.555,-19.913,35.485,-0.505,-0.571,-66.427
2022-01-01_2024-01-01,NFLX,-29.076,-11.464,33.492,-0.265,-0.314,-56.510
Average,NFLX,7.725,1.018,24.373,0.118,0.273,-37.646
2004-01-01_2006-01-01,AMZN,7.144,2.465,18.159,0.061,0.081,-35.122
2005-01-01_2007-01-01,AMZN,29.344,9.548,10.891,0.608,1.093,-12.566
2006-01-01_2008-01-01,AMZN,-1.678,-0.596,11.098,-0.268,-0.379,-14.496
2007-01-01_2009-01-01,AMZN,-41.586,-17.283,33.824,-0.477,-0.664,-60.346
2008-01-01_2010-01-01,AMZN,-14.365,-5.319,33.571,-0.085,-0.118,-51.419
2009-01-01_2011-01-01,AMZN,63.406,18.924,16.504,0.940,1.663,-18.723
2010-01-01_2012-01-01,AMZN,27.428,8.970,19.078,0.383,0.622,-18.723
2011-01-01_2013-01-01,AMZN,-6.995,-2.527,15.076,-0.292,-0.434,-17.344
2012-01-01_2014-01-01,AMZN,-1.763,-0.626,9.761,-0.322,-0.512,-15.306
2013-01-01_2015-01-01,AMZN,18.625,6.214,9.299,0.366,0.599,-9.901
2014-01-01_2016-01-01,AMZN,28.792,9.341,8.545,0.727,1.209,-7.006
2015-01-01_2017-01-01,AMZN,42.824,13.406,5.850,1.648,4.761,-2.889
2016-01-01_2018-01-01,AMZN,51.245,15.794,5.775,2.025,5.935,-2.889
2017-01-01_2019-01-01,AMZN,42.530,13.343,12.404,0.820,1.404,-9.527
2018-01-01_2020-01-01,AMZN,50.533,15.530,15.599,0.802,1.249,-11.304
2019-01-01_2021-01-01,AMZN,42.967,13.426,9.848,1.012,1.555,-11.304
2020-01-01_2022-01-01,AMZN,37.511,11.881,9.010,0.947,1.575,-6.739
2021-01-01_2023-01-01,AMZN,-19.787,-7.517,22.571,-0.362,-0.479,-38.445
2022-01-01_2024-01-01,AMZN,6.236,2.167,21.296,0.065,0.096,-34.477
Average,AMZN,19.074,5.639,15.166,0.453,1.014,-19.922
Average,All,13.252,3.505,18.276,0.257,0.559,-25.262
