Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,-14.489,-5.411,5.583,-1.493,-2.138,-14.628
2005-01-01_2007-01-01,MSFT,-6.201,-2.259,5.429,-0.941,-1.492,-9.892
2006-01-01_2008-01-01,MSFT,16.869,5.705,8.018,0.348,0.544,-9.404
2007-01-01_2009-01-01,MSFT,-24.249,-9.400,26.928,-0.343,-0.495,-43.368
2008-01-01_2010-01-01,MSFT,-21.952,-8.421,28.756,-0.267,-0.396,-41.249
2009-01-01_2011-01-01,MSFT,-8.021,-2.928,16.735,-0.272,-0.388,-31.256
2010-01-01_2012-01-01,MSFT,-14.219,-5.327,12.136,-0.632,-0.869,-22.461
2011-01-01_2013-01-01,MSFT,2.407,0.849,11.858,-0.124,-0.172,-12.200
2012-01-01_2014-01-01,MSFT,-1.748,-0.625,9.401,-0.339,-0.490,-12.201
2013-01-01_2015-01-01,MSFT,9.592,3.309,4.801,0.068,0.171,-4.118
2014-01-01_2016-01-01,MSFT,-6.091,-2.209,11.756,-0.384,-0.487,-20.078
2015-01-01_2017-01-01,MSFT,22.037,7.335,10.091,0.445,0.693,-10.586
2016-01-01_2018-01-01,MSFT,22.472,7.504,5.944,0.726,1.323,-6.671
2017-01-01_2019-01-01,MSFT,45.360,14.240,11.564,0.933,1.582,-7.760
2018-01-01_2020-01-01,MSFT,40.396,12.817,11.515,0.829,1.408,-7.760
2019-01-01_2021-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,MSFT,7.123,2.472,6.642,-0.056,-0.067,-5.802
2021-01-01_2023-01-01,MSFT,4.492,1.581,20.245,0.028,0.045,-23.519
2022-01-01_2024-01-01,MSFT,33.139,10.757,19.326,0.461,0.690,-22.987
Average,MSFT,5.627,1.578,11.933,-0.053,-0.028,-16.102
2013-01-01_2015-01-01,TSLA,11.997,4.109,20.226,0.147,0.234,-22.416
2014-01-01_2016-01-01,TSLA,13.666,4.658,21.817,0.176,0.265,-22.417
2015-01-01_2017-01-01,TSLA,18.252,6.140,21.526,0.240,0.351,-37.328
2016-01-01_2018-01-01,TSLA,53.824,16.616,17.263,0.790,1.168,-27.017
2017-01-01_2019-01-01,TSLA,13.610,4.647,25.777,0.183,0.283,-28.818
2018-01-01_2020-01-01,TSLA,-20.919,-8.003,28.876,-0.247,-0.349,-40.856
2019-01-01_2021-01-01,TSLA,-6.772,-2.458,31.390,-0.018,-0.023,-54.294
2020-01-01_2022-01-01,TSLA,47.620,14.824,33.930,0.479,0.752,-49.686
2021-01-01_2023-01-01,TSLA,-2.527,-0.910,31.658,0.032,0.050,-44.170
2022-01-01_2024-01-01,TSLA,9.134,3.169,30.212,0.153,0.214,-44.660
Average,TSLA,13.788,4.279,26.267,0.193,0.294,-37.166
2005-01-01_2007-01-01,NFLX,-6.405,-2.335,26.467,-0.071,-0.101,-35.580
2006-01-01_2008-01-01,NFLX,-24.401,-9.477,26.589,-0.348,-0.456,-35.580
2007-01-01_2009-01-01,NFLX,13.790,4.699,21.009,0.177,0.259,-22.136
2008-01-01_2010-01-01,NFLX,67.229,20.022,14.157,1.130,1.985,-9.316
2009-01-01_2011-01-01,NFLX,94.304,26.630,17.739,1.224,4.692,-5.653
2010-01-01_2012-01-01,NFLX,-51.842,-22.957,35.808,-0.607,-0.736,-72.825
2011-01-01_2013-01-01,NFLX,-32.451,-13.016,38.693,-0.225,-0.276,-72.821
