Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,7.729,3.792,15.819,0.126,0.231,-16.144
2005-01-01_2007-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,MSFT,36.036,16.706,21.680,0.685,0.926,-22.572
2007-01-01_2009-01-01,MSFT,-32.831,-18.043,38.033,-0.415,-0.624,-51.664
2008-01-01_2010-01-01,MSFT,3.160,1.565,42.833,0.179,0.266,-53.598
2009-01-01_2011-01-01,MSFT,43.349,19.728,30.423,0.648,0.877,-26.521
2010-01-01_2012-01-01,MSFT,-12.140,-6.266,22.688,-0.304,-0.453,-26.364
2011-01-01_2013-01-01,MSFT,0.723,0.362,22.162,-0.008,-0.009,-17.995
2012-01-01_2014-01-01,MSFT,47.986,21.745,22.885,0.846,1.211,-17.995
2013-01-01_2015-01-01,MSFT,80.355,34.296,22.031,1.317,1.784,-13.510
2014-01-01_2016-01-01,MSFT,-1.088,-0.545,2.378,-1.480,-1.774,-2.081
2017-01-01_2019-01-01,MSFT,69.518,30.336,22.553,1.157,1.546,-18.226
2018-01-01_2020-01-01,MSFT,89.385,37.705,24.414,1.313,1.811,-18.226
2019-01-01_2021-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,MSFT,113.268,45.927,34.389,1.187,1.554,-28.018
2021-01-01_2023-01-01,MSFT,-15.439,-8.059,14.823,-0.696,-0.942,-26.599
2022-01-01_2024-01-01,MSFT,3.740,1.864,2.378,-0.472,0.000,-0.002
Average,MSFT,25.515,10.654,19.970,0.240,0.377,-19.971
2013-01-01_2015-01-01,TSLA,527.465,150.492,58.964,1.802,2.900,-37.684
2014-01-01_2016-01-01,TSLA,59.770,26.400,43.851,0.685,1.076,-35.323
2017-01-01_2019-01-01,TSLA,53.282,23.913,48.361,0.621,0.985,-34.918
2018-01-01_2020-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,TSLA,1127.628,249.506,74.346,2.021,2.931,-60.621
2021-01-01_2023-01-01,TSLA,-49.356,-28.883,61.091,-0.303,-0.452,-73.380
2022-01-01_2024-01-01,TSLA,-37.864,-21.286,60.154,-0.146,-0.213,-72.958
Average,TSLA,210.116,50.018,43.346,0.585,0.904,-39.360
2005-01-01_2007-01-01,NFLX,-1.181,-0.593,0.750,-4.790,0.000,-1.181
2006-01-01_2008-01-01,NFLX,-2.593,-1.310,2.838,-1.509,-1.957,-5.065
2007-01-01_2009-01-01,NFLX,-2.928,-1.475,2.012,-2.221,0.000,-2.928
2008-01-01_2010-01-01,NFLX,-1.769,-0.887,44.736,0.141,0.188,-62.441
2009-01-01_2011-01-01,NFLX,487.405,142.364,51.580,1.917,3.441,-25.256
2010-01-01_2012-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,NFLX,-0.784,-0.394,0.475,-7.152,0.000,-0.784
2012-01-01_2014-01-01,NFLX,11.560,5.645,27.702,0.226,0.390,-35.694
2013-01-01_2015-01-01,NFLX,140.804,55.179,52.397,1.024,1.874,-37.437
2014-01-01_2016-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,NFLX,109.886,45.088,38.265,1.087,1.587,-44.171
2018-01-01_2020-01-01,NFLX,60.878,26.898,40.796,0.715,1.071,-44.163
2019-01-01_2021-01-01,NFLX,99.183,41.036,40.789,0.975,1.444,-33.831
2020-01-01_2022-01-01,NFLX,82.604,35.050,39.758,0.879,1.295,-22.923
2021-01-01_2023-01-01,NFLX,3.245,1.613,21.228,0.037,0.059,-15.744
2022-01-01_2024-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NFLX,61.644,21.763,22.708,-0.542,0.587,-20.726
2004-01-01_2006-01-01,AMZN,-9.513,-4.875,39.058,-0.002,-0.002,-44.526
2005-01-01_2007-01-01,AMZN,-11.781,-6.087,37.747,-0.045,-0.051,-47.333
2006-01-01_2008-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,AMZN,39.517,18.078,59.620,0.521,0.909,-63.605
2009-01-01_2011-01-01,AMZN,230.346,81.754,43.578,1.518,3.021,-27.637
2010-01-01_2012-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,AMZN,36.051,16.713,35.257,0.531,0.803,-29.835
2012-01-01_2014-01-01,AMZN,25.311,11.993,17.901,0.553,1.029,-9.843
2013-01-01_2015-01-01,AMZN,20.527,9.785,29.761,0.365,0.454,-29.476
2014-01-01_2016-01-01,AMZN,74.944,32.266,32.994,0.923,1.291,-29.117
2017-01-01_2019-01-01,AMZN,-0.071,-0.036,4.109,-0.718,-0.996,-4.617
2018-01-01_2020-01-01,AMZN,55.358,24.697,30.191,0.785,1.039,-34.093
2019-01-01_2021-01-01,AMZN,22.561,10.685,8.422,0.893,2.571,-4.036
