Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,MSFT,35.910,11.238,17.953,0.517,0.731,-22.893
2007-01-01_2009-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,MSFT,44.953,13.733,24.712,0.524,0.693,-26.057
2010-01-01_2012-01-01,MSFT,-11.111,-4.017,18.697,-0.284,-0.377,-26.127
2011-01-01_2013-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,MSFT,57.444,17.039,19.981,0.737,1.105,-18.046
2015-01-01_2017-01-01,MSFT,40.371,12.474,21.112,0.521,0.753,-16.467
2016-01-01_2018-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,MSFT,68.927,19.960,18.657,0.909,1.182,-18.164
2018-01-01_2020-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,MSFT,126.095,32.629,28.072,1.041,1.335,-27.832
2020-01-01_2022-01-01,MSFT,114.171,30.165,28.140,0.972,1.297,-27.573
2021-01-01_2023-01-01,MSFT,12.240,4.101,24.050,0.164,0.235,-36.941
2022-01-01_2024-01-01,MSFT,14.280,4.756,25.346,0.193,0.268,-35.387
Average,MSFT,26.488,7.478,11.933,0.279,0.380,-13.447
2013-01-01_2015-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,TSLA,60.583,17.842,36.431,0.549,0.794,-35.324
2015-01-01_2017-01-01,TSLA,-0.685,-0.238,32.172,0.062,0.088,-49.098
2016-01-01_2018-01-01,TSLA,36.902,11.553,27.098,0.430,0.589,-30.170
2017-01-01_2019-01-01,TSLA,46.944,14.293,39.818,0.457,0.677,-34.737
2018-01-01_2020-01-01,TSLA,31.859,10.061,44.634,0.369,0.514,-52.586
2019-01-01_2021-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,TSLA,-36.799,-14.761,48.742,-0.143,-0.172,-71.754
Average,TSLA,13.880,3.875,22.890,0.172,0.249,-27.367
2005-01-01_2007-01-01,NFLX,91.777,25.439,32.645,0.766,1.069,-36.222
2006-01-01_2008-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
