Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,5.939,2.020,13.080,-0.009,0.006,-16.137
2005-01-01_2007-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,MSFT,36.274,11.341,18.057,0.521,0.735,-23.028
2007-01-01_2009-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,MSFT,-7.461,-2.648,24.302,-0.111,-0.130,-42.769
2009-01-01_2011-01-01,MSFT,44.953,13.733,24.712,0.524,0.693,-26.057
2010-01-01_2012-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,MSFT,-0.018,-0.006,18.200,-0.072,-0.120,-17.885
2012-01-01_2014-01-01,MSFT,44.340,13.566,18.736,0.614,0.842,-17.804
2013-01-01_2015-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,MSFT,63.896,18.764,15.770,0.981,1.351,-13.478
2017-01-01_2019-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,MSFT,88.643,24.608,20.253,1.041,1.381,-18.185
2019-01-01_2021-01-01,MSFT,126.095,32.629,28.072,1.041,1.335,-27.832
2020-01-01_2022-01-01,MSFT,114.171,30.165,28.140,0.972,1.297,-27.573
2021-01-01_2023-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,MSFT,14.280,4.756,25.346,0.193,0.268,-35.387
Average,MSFT,27.953,7.838,12.351,0.300,0.403,-14.007
2013-01-01_2015-01-01,TSLA,508.907,87.046,48.822,1.460,2.271,-37.615
2014-01-01_2016-01-01,TSLA,60.541,17.832,36.432,0.549,0.793,-35.323
2015-01-01_2017-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,TSLA,36.902,11.553,27.098,0.430,0.589,-30.170
2017-01-01_2019-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,TSLA,31.859,10.061,44.634,0.369,0.514,-52.586
2019-01-01_2021-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,TSLA,1097.176,136.161,61.929,1.649,2.365,-60.569
2021-01-01_2023-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TSLA,173.538,26.265,21.892,0.446,0.653,-21.626
2005-01-01_2007-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,NFLX,3.159,1.085,36.710,0.133,0.194,-49.273
2007-01-01_2009-01-01,NFLX,26.867,8.598,47.688,0.352,0.425,-55.921
2008-01-01_2010-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,NFLX,459.921,81.687,42.426,1.544,2.566,-25.247
2010-01-01_2012-01-01,NFLX,32.021,10.152,51.398,0.398,0.498,-78.523
2011-01-01_2013-01-01,NFLX,-48.137,-20.355,55.503,-0.172,-0.241,-81.739
2012-01-01_2014-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,NFLX,253.742,54.950,45.696,1.104,2.012,-34.664
2014-01-01_2016-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,NFLX,73.766,21.206,30.914,0.679,0.941,-29.636
2017-01-01_2019-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,NFLX,-42.938,-17.739,44.666,-0.265,-0.324,-75.428
2022-01-01_2024-01-01,NFLX,-18.636,-6.927,46.698,0.031,0.045,-72.161
Average,NFLX,41.098,7.370,22.317,0.211,0.340,-27.922
2004-01-01_2006-01-01,AMZN,-9.862,-3.535,31.582,-0.048,-0.036,-41.438
2005-01-01_2007-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,AMZN,61.099,17.947,49.049,0.515,0.838,-60.055
2009-01-01_2011-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2010-01-01_2012-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,AMZN,122.144,31.872,24.174,1.140,1.814,-15.600
2013-01-01_2015-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,AMZN,133.320,34.135,24.970,1.178,1.925,-29.356
2016-01-01_2018-01-01,AMZN,84.809,23.833,20.913,0.983,1.441,-23.875
2017-01-01_2019-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,AMZN,112.744,29.864,26.120,1.017,1.446,-22.578
2020-01-01_2022-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMZN,26.540,7.059,9.306,0.252,0.391,-10.153
Average,All,53.190,10.278,15.638,0.284,0.420,-17.847
