Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,MSFT,-32.215,-12.609,31.377,-0.369,-0.532,-51.395
2008-01-01_2010-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,MSFT,47.507,14.424,24.727,0.548,0.729,-26.289
2010-01-01_2012-01-01,MSFT,-10.871,-3.926,18.672,-0.280,-0.370,-26.103
2011-01-01_2013-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,MSFT,43.234,13.264,18.752,0.600,0.820,-17.857
2013-01-01_2015-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,MSFT,57.550,17.066,19.979,0.739,1.107,-18.045
2015-01-01_2017-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,MSFT,63.896,18.764,15.770,0.981,1.351,-13.478
2017-01-01_2019-01-01,MSFT,68.927,19.960,18.657,0.909,1.182,-18.164
2018-01-01_2020-01-01,MSFT,88.571,24.591,20.241,1.041,1.381,-18.174
2019-01-01_2021-01-01,MSFT,126.095,32.629,28.072,1.041,1.335,-27.832
2020-01-01_2022-01-01,MSFT,114.171,30.165,28.140,0.972,1.297,-27.573
2021-01-01_2023-01-01,MSFT,12.240,4.101,24.050,0.164,0.235,-36.941
2022-01-01_2024-01-01,MSFT,14.280,4.756,25.346,0.193,0.268,-35.387
Average,MSFT,31.231,8.589,14.410,0.344,0.463,-16.697
2013-01-01_2015-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,TSLA,58.484,17.306,35.097,0.544,0.784,-34.374
2015-01-01_2017-01-01,TSLA,-0.520,-0.180,32.167,0.063,0.091,-49.097
2016-01-01_2018-01-01,TSLA,47.763,14.557,30.387,0.502,0.682,-31.740
2017-01-01_2019-01-01,TSLA,26.424,8.479,38.852,0.324,0.477,-34.918
2018-01-01_2020-01-01,TSLA,30.631,9.705,44.562,0.362,0.503,-52.563
2019-01-01_2021-01-01,TSLA,1025.308,131.154,59.636,1.654,2.270,-60.287
2020-01-01_2022-01-01,TSLA,1096.853,136.139,61.922,1.649,2.365,-60.561
2021-01-01_2023-01-01,TSLA,-48.280,-20.506,50.194,-0.265,-0.368,-72.807
2022-01-01_2024-01-01,TSLA,-36.799,-14.761,48.742,-0.143,-0.172,-71.754
Average,TSLA,219.986,28.189,40.156,0.469,0.663,-46.810
2005-01-01_2007-01-01,NFLX,52.742,15.886,21.998,0.645,0.914,-27.132
2006-01-01_2008-01-01,NFLX,1.645,0.568,20.298,-0.016,-0.006,-31.390
