Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,MSFT,14.197,4.729,14.830,0.187,0.252,-23.029
2006-01-01_2008-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,MSFT,-32.325,-12.659,31.622,-0.366,-0.527,-51.662
2008-01-01_2010-01-01,MSFT,-7.461,-2.648,24.302,-0.111,-0.130,-42.769
2009-01-01_2011-01-01,MSFT,44.953,13.733,24.712,0.524,0.693,-26.057
2010-01-01_2012-01-01,MSFT,-11.111,-4.017,18.697,-0.284,-0.377,-26.127
2011-01-01_2013-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,MSFT,80.092,22.620,18.307,1.043,1.437,-13.511
2014-01-01_2016-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,MSFT,68.927,19.960,18.657,0.909,1.182,-18.164
2018-01-01_2020-01-01,MSFT,88.643,24.608,20.253,1.041,1.381,-18.185
2019-01-01_2021-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,MSFT,114.171,30.165,28.140,0.972,1.297,-27.573
2021-01-01_2023-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,MSFT,14.280,4.756,25.346,0.193,0.268,-35.387
Average,MSFT,19.703,5.329,11.835,0.216,0.288,-14.866
2013-01-01_2015-01-01,TSLA,508.907,87.046,48.822,1.460,2.271,-37.615
2014-01-01_2016-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,TSLA,-48.280,-20.506,50.194,-0.265,-0.368,-72.807
2022-01-01_2024-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TSLA,46.063,6.654,9.902,0.119,0.190,-11.042
2005-01-01_2007-01-01,NFLX,131.451,33.923,39.222,0.864,1.264,-41.367
2006-01-01_2008-01-01,NFLX,3.159,1.085,36.710,0.133,0.194,-49.273
2007-01-01_2009-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,NFLX,135.197,34.454,47.522,0.799,1.097,-55.921
2009-01-01_2011-01-01,NFLX,459.921,81.687,42.426,1.544,2.566,-25.247
2010-01-01_2012-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NFLX,40.540,8.397,9.216,0.186,0.285,-9.545
2004-01-01_2006-01-01,AMZN,-9.862,-3.535,31.582,-0.048,-0.036,-41.438
2005-01-01_2007-01-01,AMZN,-0.538,-0.187,29.725,0.047,0.083,-46.917
2006-01-01_2008-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
