Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,5.939,2.020,13.080,-0.009,0.006,-16.137
2005-01-01_2007-01-01,MSFT,14.197,4.729,14.830,0.187,0.252,-23.029
2006-01-01_2008-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2008-01-01_2010-01-01,MSFT,-7.461,-2.648,24.302,-0.111,-0.130,-42.769
2009-01-01_2011-01-01,MSFT,44.953,13.733,24.712,0.524,0.693,-26.057
2010-01-01_2012-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2011-01-01_2013-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,MSFT,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,MSFT,12.240,4.101,24.050,0.164,0.235,-36.941
2022-01-01_2024-01-01,MSFT,14.280,4.756,25.346,0.193,0.268,-35.387
Average,MSFT,4.429,1.405,6.648,0.050,0.070,-9.491
2013-01-01_2015-01-01,TSLA,508.907,87.046,48.822,1.460,2.271,-37.615
2014-01-01_2016-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,TSLA,-0.687,-0.239,32.126,0.061,0.088,-49.045
2016-01-01_2018-01-01,TSLA,36.902,11.553,27.098,0.430,0.589,-30.170
2017-01-01_2019-01-01,TSLA,46.944,14.293,39.818,0.457,0.677,-34.737
2018-01-01_2020-01-01,TSLA,31.859,10.061,44.634,0.369,0.514,-52.586
2019-01-01_2021-01-01,TSLA,1025.308,131.154,59.636,1.654,2.270,-60.287
2020-01-01_2022-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2021-01-01_2023-01-01,TSLA,-48.280,-20.506,50.194,-0.265,-0.368,-72.807
2022-01-01_2024-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
Average,TSLA,160.095,23.336,30.233,0.417,0.604,-33.725
2005-01-01_2007-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2006-01-01_2008-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2007-01-01_2009-01-01,NFLX,26.867,8.598,47.688,0.352,0.425,-55.921
2008-01-01_2010-01-01,NFLX,135.197,34.454,47.522,0.799,1.097,-55.921
2009-01-01_2011-01-01,NFLX,459.921,81.687,42.426,1.544,2.566,-25.247
2010-01-01_2012-01-01,NFLX,32.021,10.152,51.398,0.398,0.498,-78.523
2011-01-01_2013-01-01,NFLX,-48.137,-20.355,55.503,-0.172,-0.241,-81.739
2012-01-01_2014-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2013-01-01_2015-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2014-01-01_2016-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,NFLX,148.989,37.192,39.332,0.920,1.446,-36.505
2016-01-01_2018-01-01,NFLX,73.766,21.206,30.914,0.679,0.941,-29.636
2017-01-01_2019-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2019-01-01_2021-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2020-01-01_2022-01-01,NFLX,82.972,23.261,32.686,0.711,1.025,-22.618
2021-01-01_2023-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
Average,NFLX,50.644,10.900,19.304,0.291,0.431,-21.451
2004-01-01_2006-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2005-01-01_2007-01-01,AMZN,-0.538,-0.187,29.725,0.047,0.083,-46.917
2006-01-01_2008-01-01,AMZN,115.779,30.598,37.906,0.810,1.256,-38.705
2007-01-01_2009-01-01,AMZN,33.431,10.514,49.138,0.381,0.579,-65.153
2008-01-01_2010-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2009-01-01_2011-01-01,AMZN,229.702,51.216,34.177,1.287,2.333,-27.539
2010-01-01_2012-01-01,AMZN,32.731,10.358,29.468,0.381,0.521,-29.765
2011-01-01_2013-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,AMZN,122.144,31.872,24.174,1.140,1.814,-15.600
2013-01-01_2015-01-01,AMZN,18.445,6.043,24.612,0.242,0.296,-29.404
2014-01-01_2016-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2015-01-01_2017-01-01,AMZN,133.320,34.135,24.970,1.178,1.925,-29.356
2016-01-01_2018-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2017-01-01_2019-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2018-01-01_2020-01-01,AMZN,54.343,16.235,25.002,0.608,0.784,-34.002
2019-01-01_2021-01-01,AMZN,112.744,29.864,26.120,1.017,1.446,-22.578
2020-01-01_2022-01-01,AMZN,77.087,21.874,26.307,0.770,1.096,-22.313
2021-01-01_2023-01-01,AMZN,-46.375,-19.499,32.236,-0.603,-0.791,-55.573
2022-01-01_2024-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AMZN,46.464,11.738,19.149,0.382,0.597,-21.942
Average,All,52.720,10.292,17.272,0.267,0.401,-20.009
