Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,-2.229,-0.900,8.564,-0.431,-0.540,-10.825
2005-01-01_2007-01-01,MSFT,3.661,1.460,9.636,-0.146,-0.122,-17.292
2006-01-01_2008-01-01,MSFT,-3.497,-1.421,9.760,-0.417,-0.510,-15.388
2007-01-01_2009-01-01,MSFT,3.495,1.388,13.106,-0.085,-0.078,-18.247
2008-01-01_2010-01-01,MSFT,43.754,15.651,14.239,0.791,1.237,-13.797
2009-01-01_2011-01-01,MSFT,2.409,0.960,8.679,-0.225,-0.263,-9.396
2010-01-01_2012-01-01,MSFT,-13.464,-5.664,11.665,-0.683,-0.870,-27.736
2011-01-01_2013-01-01,MSFT,-12.357,-5.155,12.510,-0.590,-0.783,-26.363
2012-01-01_2014-01-01,MSFT,-0.597,-0.240,11.137,-0.254,-0.281,-13.345
2013-01-01_2015-01-01,MSFT,-9.545,-3.945,9.058,-0.722,-0.848,-11.238
2014-01-01_2016-01-01,MSFT,-23.895,-10.378,12.021,-1.056,-1.396,-29.597
2015-01-01_2017-01-01,MSFT,-10.481,-4.346,13.846,-0.464,-0.628,-25.345
2016-01-01_2018-01-01,MSFT,-5.475,-2.245,6.090,-0.842,-1.010,-10.456
2017-01-01_2019-01-01,MSFT,0.620,0.249,9.831,-0.255,-0.309,-9.069
2018-01-01_2020-01-01,MSFT,64.578,22.131,13.743,1.183,1.719,-8.706
2019-01-01_2021-01-01,MSFT,16.760,6.404,14.361,0.246,0.405,-17.647
2020-01-01_2022-01-01,MSFT,70.787,23.917,18.802,0.977,1.463,-17.647
2021-01-01_2023-01-01,MSFT,1.161,0.467,15.674,-0.103,-0.113,-14.187
2022-01-01_2024-01-01,MSFT,-3.253,-1.325,16.247,-0.197,-0.242,-19.306
Average,MSFT,6.444,1.948,12.051,-0.172,-0.167,-16.610
2013-01-01_2015-01-01,TSLA,-18.756,-7.997,22.978,-0.366,-0.437,-36.193
2014-01-01_2016-01-01,TSLA,4.452,1.763,21.805,0.030,0.069,-28.661
2015-01-01_2017-01-01,TSLA,-13.112,-5.484,17.299,-0.406,-0.490,-37.791
2016-01-01_2018-01-01,TSLA,-12.751,-5.351,17.106,-0.406,-0.531,-26.172
2017-01-01_2019-01-01,TSLA,-43.004,-20.224,23.712,-0.907,-1.096,-45.701
2018-01-01_2020-01-01,TSLA,-7.222,-2.963,25.850,-0.111,-0.127,-45.677
2019-01-01_2021-01-01,TSLA,595.019,117.437,55.585,1.500,2.240,-59.211
2020-01-01_2022-01-01,TSLA,548.056,111.427,47.692,1.613,2.511,-33.307
2021-01-01_2023-01-01,TSLA,-6.718,-2.765,30.423,-0.049,-0.046,-52.941
2022-01-01_2024-01-01,TSLA,-46.558,-22.325,28.996,-0.783,-1.036,-64.098
Average,TSLA,99.941,16.352,29.144,0.011,0.106,-42.975
2005-01-01_2007-01-01,NFLX,156.782,46.264,30.699,1.186,1.985,-19.703
2006-01-01_2008-01-01,NFLX,33.034,12.156,20.511,0.457,0.806,-19.221
2007-01-01_2009-01-01,NFLX,-40.488,-18.800,30.411,-0.599,-0.768,-53.767
2008-01-01_2010-01-01,NFLX,-23.480,-10.167,28.680,-0.324,-0.399,-38.357
2009-01-01_2011-01-01,NFLX,-25.654,-11.215,19.134,-0.649,-0.649,-37.057
2010-01-01_2012-01-01,NFLX,24.562,9.260,17.758,0.364,0.602,-25.580
2011-01-01_2013-01-01,NFLX,51.418,18.114,29.789,0.547,0.898,-40.892
2012-01-01_2014-01-01,NFLX,-10.685,-4.433,29.960,-0.104,-0.107,-44.913
2013-01-01_2015-01-01,NFLX,-39.093,-18.042,24.844,-0.745,-0.752,-50.044
2014-01-01_2016-01-01,NFLX,64.061,21.977,26.498,0.695,1.262,-27.070
2015-01-01_2017-01-01,NFLX,-30.918,-13.793,19.582,-0.776,-1.032,-36.604
2016-01-01_2018-01-01,NFLX,-35.809,-16.368,13.589,-1.390,-1.455,-36.756
2017-01-01_2019-01-01,NFLX,-20.835,-8.963,17.900,-0.579,-0.656,-37.730
2018-01-01_2020-01-01,NFLX,-9.204,-3.800,19.657,-0.254,-0.334,-34.569
2019-01-01_2021-01-01,NFLX,-20.053,-8.576,16.985,-0.599,-0.767,-27.797
2020-01-01_2022-01-01,NFLX,-24.640,-10.715,12.840,-1.009,-1.355,-27.857
2021-01-01_2023-01-01,NFLX,53.936,18.997,15.916,0.885,1.941,-10.375
2022-01-01_2024-01-01,NFLX,57.353,20.055,27.958,0.621,1.048,-23.126
Average,NFLX,8.905,1.219,22.373,-0.126,0.015,-32.856
2004-01-01_2006-01-01,AMZN,-34.918,-15.832,22.551,-0.745,-0.910,-38.511
2005-01-01_2007-01-01,AMZN,2.259,0.905,19.282,-0.034,-0.016,-27.700
2006-01-01_2008-01-01,AMZN,74.225,24.999,31.003,0.701,1.456,-27.123
2007-01-01_2009-01-01,AMZN,-3.639,-1.477,24.449,-0.073,-0.077,-26.022
2008-01-01_2010-01-01,AMZN,65.079,22.240,32.537,0.621,1.156,-26.065
2009-01-01_2011-01-01,AMZN,-16.551,-7.003,12.772,-0.718,-0.855,-26.545
2010-01-01_2012-01-01,AMZN,-12.215,-5.117,14.709,-0.480,-0.574,-32.484
2011-01-01_2013-01-01,AMZN,-15.650,-6.601,13.440,-0.646,-0.781,-22.177
2012-01-01_2014-01-01,AMZN,-11.735,-4.885,9.434,-0.788,-1.098,-18.735
2013-01-01_2015-01-01,AMZN,9.367,3.658,16.992,0.088,0.154,-24.054
2014-01-01_2016-01-01,AMZN,43.577,15.620,19.293,0.622,1.032,-24.600
2015-01-01_2017-01-01,AMZN,-5.147,-2.098,12.447,-0.357,-0.455,-21.117
2016-01-01_2018-01-01,AMZN,-9.929,-4.129,6.575,-1.050,-1.220,-13.828
2017-01-01_2019-01-01,AMZN,9.362,3.662,12.351,0.070,0.147,-11.253
2018-01-01_2020-01-01,AMZN,-6.078,-2.485,14.411,-0.317,-0.386,-22.668
2019-01-01_2021-01-01,AMZN,-20.859,-8.947,12.347,-0.906,-1.139,-23.767
2020-01-01_2022-01-01,AMZN,-28.164,-12.412,10.746,-1.391,-1.753,-31.191
2021-01-01_2023-01-01,AMZN,20.595,7.843,19.836,0.284,0.470,-19.212
2022-01-01_2024-01-01,AMZN,7.904,3.115,20.525,0.077,0.149,-22.796
Average,AMZN,3.552,0.582,17.142,-0.265,-0.247,-24.203
Average,All,20.449,3.538,18.922,-0.159,-0.099,-27.221
