Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,-1.744,-0.925,3.829,-1.136,-1.365,-5.785
2005-01-01_2007-01-01,MSFT,1.757,0.930,3.594,-0.796,-0.882,-4.248
2006-01-01_2008-01-01,MSFT,-12.454,-6.799,7.655,-1.191,-1.728,-19.137
2007-01-01_2009-01-01,MSFT,-4.999,-2.673,4.775,-1.206,-1.592,-7.613
2008-01-01_2010-01-01,MSFT,9.408,4.854,9.844,0.059,0.306,-12.279
2009-01-01_2011-01-01,MSFT,7.215,3.749,8.027,-0.052,0.204,-5.973
2010-01-01_2012-01-01,MSFT,-3.793,-2.035,3.504,-1.505,-1.548,-4.627
2011-01-01_2013-01-01,MSFT,15.638,7.978,6.215,0.436,2.138,-2.568
2012-01-01_2014-01-01,MSFT,-1.252,-0.663,10.633,-0.350,-0.331,-13.818
2013-01-01_2015-01-01,MSFT,3.953,2.069,8.302,-0.207,-0.102,-7.537
2014-01-01_2016-01-01,MSFT,-4.855,-2.595,7.029,-0.795,-1.043,-8.883
2015-01-01_2017-01-01,MSFT,-12.972,-7.077,9.059,-1.022,-1.286,-18.311
2016-01-01_2018-01-01,MSFT,7.692,4.018,9.570,-0.011,0.231,-6.715
2017-01-01_2019-01-01,MSFT,4.780,2.503,10.554,-0.115,0.009,-11.398
2018-01-01_2020-01-01,MSFT,17.723,9.003,7.875,0.453,1.017,-10.051
2019-01-01_2021-01-01,MSFT,14.826,7.561,11.860,0.238,0.558,-9.259
2020-01-01_2022-01-01,MSFT,16.747,8.506,8.872,0.369,0.962,-5.619
2021-01-01_2023-01-01,MSFT,5.482,2.878,4.898,-0.259,0.000,-3.741
2022-01-01_2024-01-01,MSFT,11.713,6.066,10.481,0.147,0.564,-10.508
Average,MSFT,3.940,1.966,7.714,-0.366,-0.205,-8.846
2013-01-01_2015-01-01,TSLA,14.516,7.424,17.194,0.192,0.533,-10.841
2014-01-01_2016-01-01,TSLA,-2.056,-1.092,6.433,-0.681,-0.785,-8.667
2015-01-01_2017-01-01,TSLA,0.000,0.000,0.000,0.000,0.000,-0.000
2016-01-01_2018-01-01,TSLA,7.913,4.132,13.663,0.027,0.199,-13.835
2017-01-01_2019-01-01,TSLA,-13.618,-7.458,8.567,-1.124,-1.498,-13.886
2018-01-01_2020-01-01,TSLA,29.198,14.493,11.153,0.698,2.012,-6.503
2019-01-01_2021-01-01,TSLA,319.957,113.084,40.007,1.596,3.615,-31.665
2020-01-01_2022-01-01,TSLA,86.724,38.987,24.360,1.041,2.237,-17.305
2021-01-01_2023-01-01,TSLA,14.481,7.455,15.254,0.202,0.563,-17.287
2022-01-01_2024-01-01,TSLA,-6.677,-3.607,10.871,-0.565,-0.641,-15.093
Average,TSLA,45.044,17.342,14.750,0.139,0.624,-13.508
2005-01-01_2007-01-01,NFLX,-12.703,-6.968,14.202,-0.611,-0.801,-20.043
2006-01-01_2008-01-01,NFLX,-7.195,-3.876,7.666,-0.863,-1.032,-13.239
2007-01-01_2009-01-01,NFLX,-13.447,-7.346,23.013,-0.326,-0.389,-24.778
2008-01-01_2010-01-01,NFLX,27.666,13.743,17.728,0.453,1.072,-14.726
2009-01-01_2011-01-01,NFLX,56.379,26.644,27.074,0.678,1.495,-24.910
2010-01-01_2012-01-01,NFLX,-5.382,-2.899,17.096,-0.284,-0.355,-18.964
2011-01-01_2013-01-01,NFLX,0.000,0.000,0.000,0.000,0.000,-0.000
2012-01-01_2014-01-01,NFLX,102.630,45.222,37.117,0.845,2.982,-14.038
2013-01-01_2015-01-01,NFLX,-6.706,-3.601,15.175,-0.375,-0.489,-14.853
2014-01-01_2016-01-01,NFLX,-8.883,-4.796,17.985,-0.355,-0.603,-27.414
2015-01-01_2017-01-01,NFLX,-12.109,-6.592,7.839,-1.138,-1.482,-12.946
2016-01-01_2018-01-01,NFLX,5.409,2.840,11.837,-0.070,0.065,-12.915
2017-01-01_2019-01-01,NFLX,30.943,15.341,15.725,0.565,1.326,-14.703
2018-01-01_2020-01-01,NFLX,-5.005,-2.676,3.640,-1.593,-1.953,-5.927
2019-01-01_2021-01-01,NFLX,-15.271,-8.366,13.886,-0.717,-1.076,-19.081
2020-01-01_2022-01-01,NFLX,-4.811,-2.566,9.698,-0.555,-0.705,-9.587
2021-01-01_2023-01-01,NFLX,4.214,2.219,7.552,-0.220,-0.104,-8.573
2022-01-01_2024-01-01,NFLX,10.531,5.467,14.262,0.102,0.355,-14.493
Average,NFLX,8.126,3.433,14.528,-0.248,-0.094,-15.066
2004-01-01_2006-01-01,AMZN,-16.349,-9.000,10.993,-0.979,-1.119,-18.469
2005-01-01_2007-01-01,AMZN,-9.826,-5.350,11.495,-0.656,-0.727,-15.052
2006-01-01_2008-01-01,AMZN,69.151,32.084,28.408,0.767,3.037,-10.717
2007-01-01_2009-01-01,AMZN,0.708,0.373,5.449,-0.594,-0.550,-8.994
2008-01-01_2010-01-01,AMZN,34.102,16.730,22.006,0.483,1.863,-8.408
2009-01-01_2011-01-01,AMZN,46.416,22.315,23.642,0.622,2.143,-10.046
2010-01-01_2012-01-01,AMZN,-10.050,-5.476,16.870,-0.418,-0.536,-23.712
2011-01-01_2013-01-01,AMZN,-8.656,-4.671,11.635,-0.599,-0.731,-21.599
2012-01-01_2014-01-01,AMZN,20.228,10.222,13.550,0.365,1.016,-7.895
2013-01-01_2015-01-01,AMZN,12.335,6.338,10.427,0.168,0.641,-5.922
2014-01-01_2016-01-01,AMZN,27.207,13.557,16.700,0.462,1.342,-10.482
2015-01-01_2017-01-01,AMZN,12.200,6.270,11.443,0.157,0.462,-11.764
2016-01-01_2018-01-01,AMZN,22.017,11.159,9.130,0.573,1.298,-6.327
2017-01-01_2019-01-01,AMZN,53.263,25.364,12.663,1.205,2.337,-7.350
2018-01-01_2020-01-01,AMZN,-0.262,-0.139,1.716,-2.191,-2.700,-2.665
2019-01-01_2021-01-01,AMZN,25.115,12.538,14.032,0.478,1.008,-8.915
2020-01-01_2022-01-01,AMZN,4.165,2.175,4.671,-0.391,-0.303,-4.017
2021-01-01_2023-01-01,AMZN,0.000,0.000,0.000,0.000,0.000,-0.000
2022-01-01_2024-01-01,AMZN,2.673,1.412,9.675,-0.222,-0.158,-12.699
Average,AMZN,14.970,7.153,12.342,-0.041,0.438,-10.265
Average,All,14.485,6.189,11.971,-0.164,0.136,-11.657
