Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,4.400,1.502,6.427,-0.197,-0.300,-9.171
2005-01-01_2007-01-01,MSFT,-2.488,-0.872,9.316,-0.364,-0.421,-18.016
2006-01-01_2008-01-01,MSFT,-12.798,-4.636,10.318,-0.694,-0.809,-23.798
2007-01-01_2009-01-01,MSFT,-20.212,-7.518,14.858,-0.650,-0.858,-24.467
2008-01-01_2010-01-01,MSFT,-9.753,-3.485,16.211,-0.320,-0.435,-22.059
2009-01-01_2011-01-01,MSFT,-4.841,-1.703,11.202,-0.362,-0.505,-21.977
2010-01-01_2012-01-01,MSFT,-8.145,-2.910,9.835,-0.552,-0.752,-18.603
2011-01-01_2013-01-01,MSFT,4.905,1.671,9.067,-0.099,-0.149,-10.437
2012-01-01_2014-01-01,MSFT,6.138,2.083,7.774,-0.077,-0.113,-10.440
2013-01-01_2015-01-01,MSFT,5.525,1.879,7.622,-0.106,-0.150,-9.894
2014-01-01_2016-01-01,MSFT,2.962,1.016,8.493,-0.187,-0.260,-12.019
2015-01-01_2017-01-01,MSFT,-1.130,-0.393,9.250,-0.316,-0.454,-8.577
2016-01-01_2018-01-01,MSFT,-1.599,-0.559,7.712,-0.418,-0.603,-9.662
2017-01-01_2019-01-01,MSFT,-6.227,-2.204,8.698,-0.553,-0.693,-11.437
2018-01-01_2020-01-01,MSFT,-11.671,-4.205,10.090,-0.669,-0.859,-13.689
2019-01-01_2021-01-01,MSFT,21.450,6.948,13.543,0.345,0.509,-7.591
2020-01-01_2022-01-01,MSFT,21.079,6.835,13.890,0.332,0.497,-7.917
2021-01-01_2023-01-01,MSFT,-7.883,-2.814,12.102,-0.420,-0.606,-18.869
2022-01-01_2024-01-01,MSFT,18.066,5.942,11.913,0.295,0.443,-13.251
Average,MSFT,-0.117,-0.180,10.438,-0.264,-0.343,-14.309
2013-01-01_2015-01-01,TSLA,59.664,17.582,24.032,0.668,1.112,-16.330
2014-01-01_2016-01-01,TSLA,31.091,9.824,16.923,0.462,0.745,-18.280
2015-01-01_2017-01-01,TSLA,-22.010,-8.245,17.515,-0.573,-0.785,-35.880
2016-01-01_2018-01-01,TSLA,-28.911,-11.185,16.386,-0.822,-1.065,-31.130
2017-01-01_2019-01-01,TSLA,-0.800,-0.278,23.025,-0.028,-0.042,-32.560
2018-01-01_2020-01-01,TSLA,4.801,1.636,24.598,0.067,0.099,-23.756
2019-01-01_2021-01-01,TSLA,78.895,22.270,31.984,0.695,1.036,-32.863
2020-01-01_2022-01-01,TSLA,90.486,24.952,32.443,0.756,1.169,-32.866
2021-01-01_2023-01-01,TSLA,14.786,4.910,24.245,0.195,0.301,-27.503
2022-01-01_2024-01-01,TSLA,57.929,17.215,24.798,0.645,0.953,-27.874
Average,TSLA,28.593,7.868,23.595,0.207,0.352,-27.904
2005-01-01_2007-01-01,NFLX,1.553,0.537,14.919,-0.088,-0.129,-31.469
2006-01-01_2008-01-01,NFLX,-26.363,-10.065,13.993,-0.899,-1.202,-33.050
2007-01-01_2009-01-01,NFLX,38.606,11.964,21.569,0.492,0.865,-20.503
2008-01-01_2010-01-01,NFLX,77.400,21.915,22.134,0.870,1.580,-16.944
2009-01-01_2011-01-01,NFLX,1.999,0.687,17.685,-0.041,-0.061,-26.202
2010-01-01_2012-01-01,NFLX,16.302,5.389,20.164,0.214,0.320,-24.383
2011-01-01_2013-01-01,NFLX,32.560,10.249,25.143,0.393,0.667,-32.967
2012-01-01_2014-01-01,NFLX,15.577,5.139,22.647,0.201,0.331,-32.970
2013-01-01_2015-01-01,NFLX,29.200,9.273,15.029,0.468,0.704,-21.562
2014-01-01_2016-01-01,NFLX,34.740,10.873,14.826,0.570,0.906,-21.191
2015-01-01_2017-01-01,NFLX,19.998,6.514,14.530,0.303,0.488,-21.195
2016-01-01_2018-01-01,NFLX,22.052,7.172,11.492,0.402,0.659,-7.836
2017-01-01_2019-01-01,NFLX,7.725,2.613,14.667,0.048,0.064,-18.030
2018-01-01_2020-01-01,NFLX,11.900,3.969,14.993,0.137,0.192,-18.011
2019-01-01_2021-01-01,NFLX,53.509,15.969,14.366,0.897,1.421,-9.626
2020-01-01_2022-01-01,NFLX,39.553,12.211,14.532,0.662,0.998,-10.850
2021-01-01_2023-01-01,NFLX,0.929,0.322,18.160,-0.056,-0.091,-22.309
2022-01-01_2024-01-01,NFLX,43.834,13.467,18.169,0.622,1.089,-20.533
Average,NFLX,23.393,7.122,17.168,0.288,0.489,-21.646
2004-01-01_2006-01-01,AMZN,-9.288,-3.318,15.747,-0.321,-0.383,-27.662
2005-01-01_2007-01-01,AMZN,-18.356,-6.806,15.166,-0.581,-0.686,-26.208
2006-01-01_2008-01-01,AMZN,-18.546,-6.864,14.387,-0.627,-0.817,-33.421
2007-01-01_2009-01-01,AMZN,-6.642,-2.351,21.769,-0.138,-0.204,-25.920
2008-01-01_2010-01-01,AMZN,12.667,4.209,24.195,0.166,0.275,-23.964
2009-01-01_2011-01-01,AMZN,19.320,6.305,17.805,0.263,0.450,-27.574
2010-01-01_2012-01-01,AMZN,18.241,5.997,15.348,0.263,0.385,-20.331
2011-01-01_2013-01-01,AMZN,28.373,9.031,14.338,0.468,0.718,-16.041
2012-01-01_2014-01-01,AMZN,7.280,2.462,11.968,0.016,0.023,-13.941
2013-01-01_2015-01-01,AMZN,-11.924,-4.300,12.536,-0.523,-0.631,-15.463
2014-01-01_2016-01-01,AMZN,1.298,0.447,14.382,-0.104,-0.147,-17.805
2015-01-01_2017-01-01,AMZN,11.828,3.945,14.960,0.134,0.222,-24.336
2016-01-01_2018-01-01,AMZN,9.136,3.085,11.720,0.065,0.096,-18.013
2017-01-01_2019-01-01,AMZN,9.663,3.249,12.308,0.081,0.107,-11.606
2018-01-01_2020-01-01,AMZN,3.282,1.124,13.188,-0.074,-0.095,-12.303
2019-01-01_2021-01-01,AMZN,20.071,6.527,14.274,0.307,0.434,-12.300
2020-01-01_2022-01-01,AMZN,0.253,0.087,14.681,-0.122,-0.164,-18.502
2021-01-01_2023-01-01,AMZN,-15.780,-5.795,19.225,-0.368,-0.496,-26.009
2022-01-01_2024-01-01,AMZN,35.236,11.062,20.803,0.466,0.667,-17.562
Average,AMZN,5.058,1.479,15.726,-0.033,-0.013,-20.472
Average,All,12.135,3.508,15.789,0.025,0.084,-20.144
