Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,4.793,1.896,8.681,-0.126,-0.106,-7.287
2005-01-01_2007-01-01,MSFT,10.539,4.123,8.023,0.107,0.257,-11.933
2006-01-01_2008-01-01,MSFT,4.607,1.827,11.361,-0.081,-0.072,-16.813
2007-01-01_2009-01-01,MSFT,7.477,2.936,13.371,0.024,0.084,-14.713
2008-01-01_2010-01-01,MSFT,47.924,16.983,15.709,0.797,1.220,-16.980
2009-01-01_2011-01-01,MSFT,-5.208,-2.124,8.711,-0.554,-0.752,-18.168
2010-01-01_2012-01-01,MSFT,-14.266,-6.018,11.304,-0.739,-0.946,-27.767
2011-01-01_2013-01-01,MSFT,-8.557,-3.526,11.645,-0.506,-0.646,-17.833
2012-01-01_2014-01-01,MSFT,-8.293,-3.414,10.703,-0.549,-0.628,-13.198
2013-01-01_2015-01-01,MSFT,-15.668,-6.609,8.827,-1.039,-1.174,-17.438
2014-01-01_2016-01-01,MSFT,-13.653,-5.720,12.929,-0.610,-0.787,-21.477
2015-01-01_2017-01-01,MSFT,2.670,1.063,13.529,-0.100,-0.097,-16.610
2016-01-01_2018-01-01,MSFT,-6.616,-2.722,6.183,-0.902,-1.051,-10.830
2017-01-01_2019-01-01,MSFT,-2.982,-1.209,9.622,-0.404,-0.481,-9.311
2018-01-01_2020-01-01,MSFT,56.796,19.780,13.524,1.067,1.530,-9.466
2019-01-01_2021-01-01,MSFT,-18.522,-7.879,16.544,-0.577,-0.726,-29.054
2020-01-01_2022-01-01,MSFT,28.560,10.589,17.791,0.429,0.638,-23.238
2021-01-01_2023-01-01,MSFT,-10.051,-4.181,15.089,-0.404,-0.541,-17.143
2022-01-01_2024-01-01,MSFT,-0.204,-0.082,16.025,-0.130,-0.146,-18.186
Average,MSFT,3.123,0.827,12.083,-0.226,-0.233,-16.708
2013-01-01_2015-01-01,TSLA,4.271,1.692,22.275,0.028,0.076,-17.777
2014-01-01_2016-01-01,TSLA,12.428,4.813,18.727,0.150,0.237,-24.968
2015-01-01_2017-01-01,TSLA,3.292,1.308,17.878,-0.027,-0.003,-27.592
2016-01-01_2018-01-01,TSLA,-18.759,-8.035,17.242,-0.557,-0.755,-23.944
2017-01-01_2019-01-01,TSLA,-41.980,-19.651,23.043,-0.911,-1.107,-42.141
2018-01-01_2020-01-01,TSLA,24.031,9.026,23.220,0.316,0.465,-32.177
2019-01-01_2021-01-01,TSLA,644.084,123.462,52.223,1.612,2.470,-41.888
2020-01-01_2022-01-01,TSLA,316.811,77.162,46.134,1.297,1.943,-33.449
2021-01-01_2023-01-01,TSLA,12.105,4.715,27.458,0.167,0.250,-37.774
2022-01-01_2024-01-01,TSLA,7.442,2.937,26.508,0.103,0.176,-36.951
Average,TSLA,96.372,19.743,27.471,0.218,0.375,-31.866
2005-01-01_2007-01-01,NFLX,-1.658,-0.672,19.262,-0.108,-0.117,-26.903
2006-01-01_2008-01-01,NFLX,8.719,3.417,22.914,0.102,0.183,-32.455
2007-01-01_2009-01-01,NFLX,-49.506,-23.982,31.801,-0.752,-0.956,-60.322
2008-01-01_2010-01-01,NFLX,-44.975,-21.285,30.168,-0.701,-0.889,-52.890
2009-01-01_2011-01-01,NFLX,-26.751,-11.743,21.454,-0.587,-0.665,-41.204
2010-01-01_2012-01-01,NFLX,6.049,2.396,18.049,0.029,0.072,-36.430
2011-01-01_2013-01-01,NFLX,54.201,18.980,25.312,0.628,1.004,-33.418
2012-01-01_2014-01-01,NFLX,149.348,44.287,42.003,0.921,1.609,-37.789
2013-01-01_2015-01-01,NFLX,53.575,18.786,23.781,0.648,1.010,-17.967
2014-01-01_2016-01-01,NFLX,18.384,7.007,24.901,0.237,0.430,-37.772
2015-01-01_2017-01-01,NFLX,18.984,7.224,29.843,0.245,0.418,-46.174
2016-01-01_2018-01-01,NFLX,-34.790,-15.835,13.664,-1.339,-1.424,-37.439
2017-01-01_2019-01-01,NFLX,-14.614,-6.152,16.887,-0.458,-0.520,-30.619
2018-01-01_2020-01-01,NFLX,9.584,3.741,19.024,0.100,0.182,-22.125
2019-01-01_2021-01-01,NFLX,-6.262,-2.557,17.821,-0.232,-0.298,-21.915
2020-01-01_2022-01-01,NFLX,-33.239,-14.945,16.308,-1.039,-1.261,-37.152
2021-01-01_2023-01-01,NFLX,16.462,6.337,18.726,0.220,0.351,-24.773
2022-01-01_2024-01-01,NFLX,37.020,13.541,27.025,0.443,0.727,-21.463
Average,NFLX,8.919,1.586,23.275,-0.091,-0.008,-34.378
2004-01-01_2006-01-01,AMZN,-29.451,-13.063,17.503,-0.845,-1.217,-37.875
2005-01-01_2007-01-01,AMZN,11.866,4.625,19.482,0.141,0.254,-24.970
2006-01-01_2008-01-01,AMZN,112.702,35.437,30.562,0.951,1.979,-22.340
2007-01-01_2009-01-01,AMZN,13.538,5.227,23.585,0.175,0.276,-21.708
2008-01-01_2010-01-01,AMZN,13.535,5.217,21.864,0.172,0.266,-26.351
2009-01-01_2011-01-01,AMZN,-8.513,-3.507,12.773,-0.450,-0.527,-19.845
2010-01-01_2012-01-01,AMZN,-17.438,-7.435,15.060,-0.618,-0.790,-39.170
2011-01-01_2013-01-01,AMZN,-4.175,-1.697,13.157,-0.302,-0.348,-18.178
2012-01-01_2014-01-01,AMZN,-7.581,-3.114,8.313,-0.698,-0.860,-22.367
2013-01-01_2015-01-01,AMZN,2.225,0.887,16.742,-0.063,-0.049,-19.687
2014-01-01_2016-01-01,AMZN,51.285,18.072,19.245,0.725,1.193,-21.808
2015-01-01_2017-01-01,AMZN,7.798,3.059,12.314,0.025,0.092,-17.322
2016-01-01_2018-01-01,AMZN,-4.822,-1.973,7.288,-0.657,-0.781,-11.793
2017-01-01_2019-01-01,AMZN,3.616,1.438,14.186,-0.066,-0.047,-13.158
2018-01-01_2020-01-01,AMZN,10.251,3.994,14.098,0.098,0.172,-19.711
2019-01-01_2021-01-01,AMZN,-19.281,-8.223,14.300,-0.714,-0.983,-25.102
2020-01-01_2022-01-01,AMZN,-32.226,-14.431,12.586,-1.344,-1.723,-35.684
2021-01-01_2023-01-01,AMZN,28.140,10.514,18.365,0.417,0.679,-15.449
2022-01-01_2024-01-01,AMZN,21.927,8.322,18.820,0.311,0.521,-21.951
Average,AMZN,8.074,2.281,16.329,-0.144,-0.100,-22.867
Average,All,20.258,4.319,18.689,-0.099,-0.041,-25.597
