Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2004-01-01_2006-01-01,MSFT,4.384,1.496,2.992,-0.478,-0.793,-3.219
2005-01-01_2007-01-01,MSFT,0.066,0.023,3.527,-0.815,-1.058,-3.821
2006-01-01_2008-01-01,MSFT,9.852,3.311,6.626,0.078,0.118,-4.817
2007-01-01_2009-01-01,MSFT,37.448,11.639,21.550,0.478,0.841,-17.845
2008-01-01_2010-01-01,MSFT,14.589,4.820,25.425,0.195,0.277,-33.708
2009-01-01_2011-01-01,MSFT,28.960,9.203,12.836,0.519,0.785,-9.584
2010-01-01_2012-01-01,MSFT,7.511,2.549,6.509,-0.036,-0.052,-10.005
2011-01-01_2013-01-01,MSFT,3.649,1.248,6.022,-0.256,-0.395,-5.933
2012-01-01_2014-01-01,MSFT,8.667,2.919,2.735,-0.017,-0.036,-1.581
2013-01-01_2015-01-01,MSFT,10.482,3.511,6.563,0.107,0.184,-7.355
2014-01-01_2016-01-01,MSFT,31.577,9.965,11.377,0.632,0.860,-9.825
2015-01-01_2017-01-01,MSFT,23.126,7.467,11.309,0.432,0.608,-11.857
2016-01-01_2018-01-01,MSFT,-5.680,-2.012,4.180,-1.173,-1.416,-7.894
2017-01-01_2019-01-01,MSFT,44.183,13.523,8.403,1.199,2.265,-4.365
2018-01-01_2020-01-01,MSFT,68.043,19.682,11.679,1.343,2.174,-12.897
2019-01-01_2021-01-01,MSFT,28.783,9.138,11.873,0.545,1.014,-9.499
2020-01-01_2022-01-01,MSFT,8.033,2.707,17.289,0.071,0.097,-20.804
2021-01-01_2023-01-01,MSFT,26.011,8.368,14.172,0.429,0.637,-12.515
2022-01-01_2024-01-01,MSFT,6.916,2.352,11.295,0.000,0.001,-12.422
Average,MSFT,18.768,5.890,10.335,0.171,0.322,-10.523
2013-01-01_2015-01-01,TSLA,-0.710,-0.246,1.180,-2.712,-3.255,-1.292
2014-01-01_2016-01-01,TSLA,21.634,7.014,13.824,0.342,0.670,-13.596
2015-01-01_2017-01-01,TSLA,9.905,3.323,15.271,0.097,0.131,-32.296
2016-01-01_2018-01-01,TSLA,5.627,1.921,18.828,0.038,0.052,-19.825
2017-01-01_2019-01-01,TSLA,19.069,6.237,25.207,0.247,0.366,-43.131
2018-01-01_2020-01-01,TSLA,117.864,30.938,23.155,1.149,2.152,-16.641
2019-01-01_2021-01-01,TSLA,49.139,14.817,22.983,0.585,0.974,-18.557
2020-01-01_2022-01-01,TSLA,43.850,13.393,25.460,0.501,0.864,-22.515
2021-01-01_2023-01-01,TSLA,39.866,12.369,22.297,0.499,0.820,-21.051
2022-01-01_2024-01-01,TSLA,64.960,19.003,27.161,0.668,0.927,-40.102
Average,TSLA,37.121,10.877,19.537,0.142,0.370,-22.901
2005-01-01_2007-01-01,NFLX,9.502,3.205,16.740,0.094,0.149,-18.706
2006-01-01_2008-01-01,NFLX,-17.958,-6.631,15.518,-0.555,-0.752,-31.624
2007-01-01_2009-01-01,NFLX,11.814,3.941,25.822,0.165,0.231,-27.717
2008-01-01_2010-01-01,NFLX,-0.688,-0.239,17.710,-0.091,-0.123,-20.879
2009-01-01_2011-01-01,NFLX,19.152,6.254,9.009,0.389,0.779,-11.644
2010-01-01_2012-01-01,NFLX,24.248,7.839,16.095,0.357,1.053,-8.818
2011-01-01_2013-01-01,NFLX,11.121,3.718,26.637,0.159,0.224,-39.299
2012-01-01_2014-01-01,NFLX,33.203,10.434,22.438,0.423,0.596,-41.108
2013-01-01_2015-01-01,NFLX,4.993,1.701,19.834,0.033,0.049,-18.969
2014-01-01_2016-01-01,NFLX,11.408,3.810,9.315,0.130,0.195,-11.298
2015-01-01_2017-01-01,NFLX,36.416,11.348,20.523,0.480,0.804,-19.014
2016-01-01_2018-01-01,NFLX,-1.608,-0.562,11.247,-0.258,-0.392,-19.320
2017-01-01_2019-01-01,NFLX,65.624,19.112,18.428,0.880,1.339,-14.028
2018-01-01_2020-01-01,NFLX,47.513,14.404,11.666,0.958,1.543,-9.544
2019-01-01_2021-01-01,NFLX,22.801,7.358,11.213,0.426,0.595,-10.930
2020-01-01_2022-01-01,NFLX,53.910,16.074,18.021,0.753,1.064,-12.624
2021-01-01_2023-01-01,NFLX,-10.990,-3.966,20.142,-0.247,-0.335,-28.510
2022-01-01_2024-01-01,NFLX,-22.733,-8.574,21.085,-0.460,-0.635,-39.383
Average,NFLX,16.540,4.957,17.302,0.202,0.355,-21.301
2004-01-01_2006-01-01,AMZN,-27.527,-10.546,13.718,-0.959,-1.201,-27.657
2005-01-01_2007-01-01,AMZN,-21.247,-7.967,11.857,-0.890,-1.187,-29.670
2006-01-01_2008-01-01,AMZN,23.485,7.586,13.415,0.387,1.046,-11.740
2007-01-01_2009-01-01,AMZN,-0.282,-0.098,18.855,-0.068,-0.094,-30.933
2008-01-01_2010-01-01,AMZN,47.788,14.457,20.715,0.611,1.005,-18.141
2009-01-01_2011-01-01,AMZN,10.817,3.619,6.478,0.124,0.214,-6.093
2010-01-01_2012-01-01,AMZN,-1.385,-0.484,0.583,-5.910,0.000,-1.385
