Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,-12.756,-14.001,39.786,-0.249,-0.211,-44.655
Average,TSLA,-12.756,-14.001,39.786,-0.249,-0.211,-44.655
2022-10-05_2023-06-10,NFLX,-0.710,-0.784,15.161,-0.182,-0.135,-13.244
Average,NFLX,-0.710,-0.784,15.161,-0.182,-0.135,-13.244
2022-10-05_2023-06-10,AMZN,-7.105,-7.823,22.438,-0.381,-0.402,-20.615
Average,AMZN,-7.105,-7.823,22.438,-0.381,-0.402,-20.615
2022-10-05_2023-06-10,MSFT,31.619,35.481,15.463,1.759,1.844,-3.475
Average,MSFT,31.619,35.481,15.463,1.759,1.844,-3.475
2022-10-05_2023-06-10,COIN,-24.371,-26.562,37.101,-0.705,-0.560,-40.733
Average,COIN,-24.371,-26.562,37.101,-0.705,-0.560,-40.733
2022-10-05_2023-06-10,NIO,25.476,28.509,25.678,0.940,1.031,-16.623
Average,NIO,25.476,28.509,25.678,0.940,1.031,-16.623
2022-10-05_2023-06-10,GOOG,7.526,8.350,15.891,0.365,0.287,-13.522
Average,GOOG,7.526,8.350,15.891,0.365,0.287,-13.522
2022-10-05_2023-06-10,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,AAPL,0.000,0.000,0.000,0.000,0.000,-0.000
Average,All,2.460,2.896,21.440,0.193,0.232,-19.108
