Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,-37.645,-55.501,37.194,-1.633,-2.380,-42.620
Average,TSLA,-37.645,-55.501,37.194,-1.633,-2.380,-42.620
2022-10-05_2023-06-10,NFLX,-10.314,-17.024,16.835,-1.018,-0.760,-18.615
Average,NFLX,-10.314,-17.024,16.835,-1.018,-0.760,-18.615
2022-10-05_2023-06-10,AMZN,-12.345,-20.218,20.171,-0.977,-0.779,-22.500
Average,AMZN,-12.345,-20.218,20.171,-0.977,-0.779,-22.500
2022-10-05_2023-06-10,MSFT,32.076,61.111,21.055,1.641,3.907,-8.750
Average,MSFT,32.076,61.111,21.055,1.641,3.907,-8.750
2022-10-05_2023-06-10,COIN,1.908,3.293,82.983,0.295,0.610,-47.479
Average,COIN,1.908,3.293,82.983,0.295,0.610,-47.479
2022-10-05_2023-06-10,NIO,22.047,40.713,32.879,0.810,1.398,-17.976
Average,NIO,22.047,40.713,32.879,0.810,1.398,-17.976
2022-10-05_2023-06-10,GOOG,-18.892,-30.160,20.559,-1.453,-1.370,-27.229
Average,GOOG,-18.892,-30.160,20.559,-1.453,-1.370,-27.229
2022-10-05_2023-06-10,AAPL,21.054,38.756,15.679,1.423,3.525,-6.030
Average,AAPL,21.054,38.756,15.679,1.423,3.525,-6.030
Average,All,-0.264,2.621,30.919,-0.114,0.519,-23.900
