Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-05_2023-06-10,TSLA,2.782,4.817,37.512,0.137,0.305,-18.492
Average,TSLA,2.782,4.817,37.512,0.137,0.305,-18.492
2022-10-05_2023-06-10,NFLX,-11.402,-18.741,15.879,-1.188,-0.880,-18.315
Average,NFLX,-11.402,-18.741,15.879,-1.188,-0.880,-18.315
2022-10-05_2023-06-10,AMZN,-15.807,-25.544,21.447,-1.157,-1.179,-26.129
Average,AMZN,-15.807,-25.544,21.447,-1.157,-1.179,-26.129
2022-10-05_2023-06-10,MSFT,30.361,57.542,21.569,1.526,3.605,-8.888
Average,MSFT,30.361,57.542,21.569,1.526,3.605,-8.888
2022-10-05_2023-06-10,COIN,0.536,0.921,78.933,0.256,0.533,-35.917
Average,COIN,0.536,0.921,78.933,0.256,0.533,-35.917
2022-10-05_2023-06-10,NIO,10.535,18.733,38.341,0.392,0.814,-20.640
Average,NIO,10.535,18.733,38.341,0.392,0.814,-20.640
2022-10-05_2023-06-10,GOOG,-12.005,-19.686,20.974,-0.909,-0.899,-23.009
Average,GOOG,-12.005,-19.686,20.974,-0.909,-0.899,-23.009
2022-10-05_2023-06-10,AAPL,25.257,47.116,16.312,1.648,4.017,-6.114
Average,AAPL,25.257,47.116,16.312,1.648,4.017,-6.114
Average,All,3.782,8.145,31.371,0.088,0.790,-19.688
