Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,-20.483,-27.192,55.910,-0.342,-0.448,-52.729
Average,TSLA,-20.483,-27.192,55.910,-0.342,-0.448,-52.729
2022-10-06_2023-04-10,NFLX,43.079,64.215,41.523,1.326,2.161,-20.184
Average,NFLX,43.079,64.215,41.523,1.326,2.161,-20.184
2022-10-06_2023-04-10,AMZN,-13.250,-17.866,35.624,-0.460,-0.654,-31.546
Average,AMZN,-13.250,-17.866,35.624,-0.460,-0.654,-31.546
2022-10-06_2023-04-10,MSFT,21.171,30.459,28.327,0.974,1.379,-14.192
Average,MSFT,21.171,30.459,28.327,0.974,1.379,-14.192
2022-10-06_2023-04-10,COIN,-12.729,-17.181,86.718,0.170,0.277,-54.402
Average,COIN,-12.729,-17.181,86.718,0.170,0.277,-54.402
Average,All,3.558,6.487,49.621,0.334,0.543,-34.611
