Period,ticker,total_return (%),annual_return (%),annual_volatility (%),sharpe_ratio,sortino_ratio,max_drawdown
2022-10-06_2023-04-10,TSLA,-5.540,-16.066,38.602,-0.293,-0.460,-18.517
Average,TSLA,-5.540,-16.066,38.602,-0.293,-0.460,-18.517
2022-10-06_2023-04-10,NFLX,-8.285,-23.341,20.477,-1.020,-0.853,-15.942
Average,NFLX,-8.285,-23.341,20.477,-1.020,-0.853,-15.942
2022-10-06_2023-04-10,AMZN,-12.345,-33.297,27.036,-1.079,-1.319,-22.500
Average,AMZN,-12.345,-33.297,27.036,-1.079,-1.319,-22.500
2022-10-06_2023-04-10,MSFT,18.300,67.607,20.832,1.516,4.240,-8.750
Average,MSFT,18.300,67.607,20.832,1.516,4.240,-8.750
2022-10-06_2023-04-10,COIN,15.215,54.534,90.853,0.566,1.340,-33.219
Average,COIN,15.215,54.534,90.853,0.566,1.340,-33.219
Average,All,1.469,9.888,39.560,-0.062,0.590,-19.786
